id_commune;id_election;id_candidat;inscrits;abstentions;votants;blancs;nuls;exprimes;pct_abs_ins;pct_vot_ins;pct_blancs_ins;pct_blancs_vot;pct_nuls_ins;pct_nuls_vot;pct_exprimes_ins;pct_exprimes_vot;voix;pct_voix_ins;pct_voix_exprimes;date_integration_gold
69-19;2017_T2;CAND_001;4714;1302;3412;292;91;3029;27.62;72.38;6.19;8.56;1.93;2.67;64.26;88.77;1814;38.48;59.89;2026-03-24T19:55:58.226396
69-19;2017_T2;CAND_002;4714;1302;3412;292;91;3029;27.62;72.38;6.19;8.56;1.93;2.67;64.26;88.77;1215;25.77;40.11;2026-03-24T19:55:58.226396
69-20;2017_T2;CAND_001;494;93;401;36;6;359;18.83;81.17;7.29;8.98;1.21;1.5;72.67;89.53;243;49.19;67.69;2026-03-24T19:55:58.226396
69-20;2017_T2;CAND_002;494;93;401;36;6;359;18.83;81.17;7.29;8.98;1.21;1.5;72.67;89.53;116;23.48;32.31;2026-03-24T19:55:58.226396
69-21;2017_T2;CAND_001;1632;350;1282;128;31;1123;21.45;78.55;7.84;9.98;1.9;2.42;68.81;87.6;757;46.38;67.41;2026-03-24T19:55:58.226396
69-21;2017_T2;CAND_002;1632;350;1282;128;31;1123;21.45;78.55;7.84;9.98;1.9;2.42;68.81;87.6;366;22.43;32.59;2026-03-24T19:55:58.226396
69-22;2017_T2;CAND_001;377;61;316;41;4;271;16.18;83.82;10.88;12.97;1.06;1.27;71.88;85.76;159;42.18;58.67;2026-03-24T19:55:58.226396
69-22;2017_T2;CAND_002;377;61;316;41;4;271;16.18;83.82;10.88;12.97;1.06;1.27;71.88;85.76;112;29.71;41.33;2026-03-24T19:55:58.226396
69-23;2017_T2;CAND_001;1133;197;936;68;19;849;17.39;82.61;6.0;7.26;1.68;2.03;74.93;90.71;489;43.16;57.6;2026-03-24T19:55:58.226396
69-23;2017_T2;CAND_002;1133;197;936;68;19;849;17.39;82.61;6.0;7.26;1.68;2.03;74.93;90.71;360;31.77;42.4;2026-03-24T19:55:58.226396
69-24;2017_T2;CAND_001;3077;603;2474;253;42;2179;19.6;80.4;8.22;10.23;1.36;1.7;70.82;88.08;1474;47.9;67.65;2026-03-24T19:55:58.226396
69-24;2017_T2;CAND_002;3077;603;2474;253;42;2179;19.6;80.4;8.22;10.23;1.36;1.7;70.82;88.08;705;22.91;32.35;2026-03-24T19:55:58.226396
69-26;2017_T2;CAND_001;344;65;279;32;10;237;18.9;81.1;9.3;11.47;2.91;3.58;68.9;84.95;144;41.86;60.76;2026-03-24T19:55:58.226396
69-26;2017_T2;CAND_002;344;65;279;32;10;237;18.9;81.1;9.3;11.47;2.91;3.58;68.9;84.95;93;27.03;39.24;2026-03-24T19:55:58.226396
69-27;2017_T2;CAND_001;8734;2313;6421;551;137;5733;26.48;73.52;6.31;8.58;1.57;2.13;65.64;89.29;4292;49.14;74.86;2026-03-24T19:55:58.226396
69-27;2017_T2;CAND_002;8734;2313;6421;551;137;5733;26.48;73.52;6.31;8.58;1.57;2.13;65.64;89.29;1441;16.5;25.14;2026-03-24T19:55:58.226396
69-28;2017_T2;CAND_001;4416;783;3633;336;60;3237;17.73;82.27;7.61;9.25;1.36;1.65;73.3;89.1;2321;52.56;71.7;2026-03-24T19:55:58.226396
69-28;2017_T2;CAND_002;4416;783;3633;336;60;3237;17.73;82.27;7.61;9.25;1.36;1.65;73.3;89.1;916;20.74;28.3;2026-03-24T19:55:58.226396
69-29;2017_T2;CAND_001;21956;5763;16193;1167;393;14633;26.25;73.75;5.32;7.21;1.79;2.43;66.65;90.37;10908;49.68;74.54;2026-03-24T19:55:58.226396
69-29;2017_T2;CAND_002;21956;5763;16193;1167;393;14633;26.25;73.75;5.32;7.21;1.79;2.43;66.65;90.37;3725;16.97;25.46;2026-03-24T19:55:58.226396
69-30;2017_T2;CAND_001;622;114;508;51;15;442;18.33;81.67;8.2;10.04;2.41;2.95;71.06;87.01;264;42.44;59.73;2026-03-24T19:55:58.226396
69-30;2017_T2;CAND_002;622;114;508;51;15;442;18.33;81.67;8.2;10.04;2.41;2.95;71.06;87.01;178;28.62;40.27;2026-03-24T19:55:58.226396
69-31;2017_T2;CAND_001;853;122;731;83;15;633;14.3;85.7;9.73;11.35;1.76;2.05;74.21;86.59;359;42.09;56.71;2026-03-24T19:55:58.226396
69-31;2017_T2;CAND_002;853;122;731;83;15;633;14.3;85.7;9.73;11.35;1.76;2.05;74.21;86.59;274;32.12;43.29;2026-03-24T19:55:58.226396
69-32;2017_T2;CAND_001;1448;294;1154;121;34;999;20.3;79.7;8.36;10.49;2.35;2.95;68.99;86.57;606;41.85;60.66;2026-03-24T19:55:58.226396
69-32;2017_T2;CAND_002;1448;294;1154;121;34;999;20.3;79.7;8.36;10.49;2.35;2.95;68.99;86.57;393;27.14;39.34;2026-03-24T19:55:58.226396
69-33;2017_T2;CAND_001;1970;297;1673;145;30;1498;15.08;84.92;7.36;8.67;1.52;1.79;76.04;89.54;1092;55.43;72.9;2026-03-24T19:55:58.226396
69-33;2017_T2;CAND_002;1970;297;1673;145;30;1498;15.08;84.92;7.36;8.67;1.52;1.79;76.04;89.54;406;20.61;27.1;2026-03-24T19:55:58.226396
69-34;2017_T2;CAND_001;31795;9338;22457;1629;473;20355;29.37;70.63;5.12;7.25;1.49;2.11;64.02;90.64;16402;51.59;80.58;2026-03-24T19:55:58.226396
69-34;2017_T2;CAND_002;31795;9338;22457;1629;473;20355;29.37;70.63;5.12;7.25;1.49;2.11;64.02;90.64;3953;12.43;19.42;2026-03-24T19:55:58.226396
69-35;2017_T2;CAND_001;313;63;250;32;4;214;20.13;79.87;10.22;12.8;1.28;1.6;68.37;85.6;145;46.33;67.76;2026-03-24T19:55:58.226396
69-35;2017_T2;CAND_002;313;63;250;32;4;214;20.13;79.87;10.22;12.8;1.28;1.6;68.37;85.6;69;22.04;32.24;2026-03-24T19:55:58.226396
69-36;2017_T2;CAND_001;764;125;639;69;10;560;16.36;83.64;9.03;10.8;1.31;1.56;73.3;87.64;296;38.74;52.86;2026-03-24T19:55:58.226396
69-36;2017_T2;CAND_002;764;125;639;69;10;560;16.36;83.64;9.03;10.8;1.31;1.56;73.3;87.64;264;34.55;47.14;2026-03-24T19:55:58.226396
69-37;2017_T2;CAND_001;580;119;461;37;17;407;20.52;79.48;6.38;8.03;2.93;3.69;70.17;88.29;220;37.93;54.05;2026-03-24T19:55:58.226396
69-37;2017_T2;CAND_002;580;119;461;37;17;407;20.52;79.48;6.38;8.03;2.93;3.69;70.17;88.29;187;32.24;45.95;2026-03-24T19:55:58.226396
69-38;2017_T2;CAND_001;694;142;552;63;13;476;20.46;79.54;9.08;11.41;1.87;2.36;68.59;86.23;259;37.32;54.41;2026-03-24T19:55:58.226396
69-38;2017_T2;CAND_002;694;142;552;63;13;476;20.46;79.54;9.08;11.41;1.87;2.36;68.59;86.23;217;31.27;45.59;2026-03-24T19:55:58.226396
69-39;2017_T2;CAND_001;487;98;389;31;17;341;20.12;79.88;6.37;7.97;3.49;4.37;70.02;87.66;199;40.86;58.36;2026-03-24T19:55:58.226396
69-39;2017_T2;CAND_002;487;98;389;31;17;341;20.12;79.88;6.37;7.97;3.49;4.37;70.02;87.66;142;29.16;41.64;2026-03-24T19:55:58.226396
69-40;2017_T2;CAND_001;3827;821;3006;228;76;2702;21.45;78.55;5.96;7.58;1.99;2.53;70.6;89.89;2069;54.06;76.57;2026-03-24T19:55:58.226396
69-40;2017_T2;CAND_002;3827;821;3006;228;76;2702;21.45;78.55;5.96;7.58;1.99;2.53;70.6;89.89;633;16.54;23.43;2026-03-24T19:55:58.226396
69-42;2017_T2;CAND_001;416;59;357;39;6;312;14.18;85.82;9.38;10.92;1.44;1.68;75.0;87.39;191;45.91;61.22;2026-03-24T19:55:58.226396
