id_commune;code_departement;libelle_departement;code_commune;libelle_commune
69-166;69;Rhône;166;Riverie
69-167;69;Rhône;167;Rivolet
69-168;69;Rhône;168;Rochetaillée-sur-Saône
69-169;69;Rhône;169;Ronno
69-170;69;Rhône;170;Rontalon
69-171;69;Rhône;171;Sain-Bel
69-172;69;Rhône;172;Salles-Arbuissonnas-en-Beaujolais
69-173;69;Rhône;173;Sarcey
69-174;69;Rhône;174;Les Sauvages
69-175;69;Rhône;175;Savigny
69-176;69;Rhône;176;Soucieu-en-Jarrest
69-177;69;Rhône;177;Sourcieux-les-Mines
69-178;69;Rhône;178;Souzy
69-179;69;Rhône;179;Saint-Andéol-le-Château
69-180;69;Rhône;180;Saint-André-la-Côte
69-181;69;Rhône;181;Saint-Appolinaire
69-182;69;Rhône;182;Saint-Bonnet-des-Bruyères
69-183;69;Rhône;183;Saint-Bonnet-le-Troncy
69-184;69;Rhône;184;Sainte-Catherine
69-185;69;Rhône;185;Saint-Christophe-la-Montagne
69-186;69;Rhône;186;Saint-Clément-de-Vers
69-187;69;Rhône;187;Saint-Clément-les-Places
69-188;69;Rhône;188;Saint-Clément-sous-Valsonne
69-189;69;Rhône;189;Sainte-Colombe
69-190;69;Rhône;190;Sainte-Consorce
69-191;69;Rhône;191;Saint-Cyr-au-Mont-d'Or
69-192;69;Rhône;192;Saint-Cyr-le-Chatoux
69-193;69;Rhône;193;Saint-Cyr-sur-le-Rhône
69-194;69;Rhône;194;Saint-Didier-au-Mont-d'Or
69-196;69;Rhône;196;Saint-Didier-sur-Beaujeu
69-197;69;Rhône;197;Saint-Etienne-des-Oullières
69-198;69;Rhône;198;Saint-Etienne-la-Varenne
69-199;69;Rhône;199;Saint-Fons
69-200;69;Rhône;200;Saint-Forgeux
69-201;69;Rhône;201;Sainte-Foy-l'Argentière
69-202;69;Rhône;202;Sainte-Foy-lès-Lyon
69-203;69;Rhône;203;Saint-Genis-l'Argentière
69-204;69;Rhône;204;Saint-Genis-Laval
69-205;69;Rhône;205;Saint-Genis-les-Ollières
69-206;69;Rhône;206;Saint-Georges-de-Reneins
69-207;69;Rhône;207;Saint-Germain-au-Mont-d'Or
69-208;69;Rhône;208;Saint-Germain-Nuelles
69-209;69;Rhône;209;Saint-Igny-de-Vers
69-210;69;Rhône;210;Saint-Jacques-des-Arrêts
69-211;69;Rhône;211;Saint-Jean-d'Ardières
69-212;69;Rhône;212;Saint-Jean-des-Vignes
69-213;69;Rhône;213;Saint-Jean-de-Touslas
69-214;69;Rhône;214;Saint-Jean-la-Bussière
69-215;69;Rhône;215;Saint-Julien
69-216;69;Rhône;216;Saint-Julien-sur-Bibost
69-217;69;Rhône;217;Saint-Just-d'Avray
69-218;69;Rhône;218;Saint-Lager
69-219;69;Rhône;219;Saint-Laurent-d'Agny
69-220;69;Rhône;220;Saint-Laurent-de-Chamousset
69-223;69;Rhône;223;Saint-Loup
69-224;69;Rhône;224;Saint-Mamert
69-225;69;Rhône;225;Saint-Marcel-l'Eclairé
69-227;69;Rhône;227;Saint-Martin-en-Haut
69-228;69;Rhône;228;Chabanière
69-229;69;Rhône;229;Saint-Nizier-d'Azergues
69-230;69;Rhône;230;Sainte-Paule
69-231;69;Rhône;231;Saint-Pierre-la-Palud
69-233;69;Rhône;233;Saint-Romain-au-Mont-d'Or
69-234;69;Rhône;234;Saint-Romain-de-Popey
69-235;69;Rhône;235;Saint-Romain-en-Gal
69-236;69;Rhône;236;Saint-Romain-en-Gier
69-238;69;Rhône;238;Saint-Symphorien-sur-Coise
69-239;69;Rhône;239;Saint-Vérand
