id_commune;id_election;inscrits;abstentions;votants;blancs;nuls;blancs_et_nuls;exprimes;pct_abs_ins;pct_vot_ins;pct_blancs_ins;pct_blancs_vot;pct_nuls_ins;pct_nuls_vot;pct_blancs_et_nuls_ins;pct_blancs_et_nuls_vot;pct_exprimes_ins;pct_exprimes_vot;date_integration_gold
69204;2022_T2;14757;3406;11351;606;180;786;10565;23.08;76.92;4.11;5.34;1.22;1.59;5.33;6.92;71.59;93.08;2026-03-28T02:12:43.523187
69205;2022_T2;3817;741;3076;178;44;222;2854;19.41;80.59;4.66;5.79;1.15;1.43;5.82;7.22;74.77;92.78;2026-03-28T02:12:43.523187
69206;2022_T2;3379;786;2593;123;35;158;2435;23.26;76.74;3.64;4.74;1.04;1.35;4.68;6.09;72.06;93.91;2026-03-28T02:12:43.523187
69207;2022_T2;2175;553;1622;103;32;135;1487;25.43;74.57;4.74;6.35;1.47;1.97;6.21;8.32;68.37;91.68;2026-03-28T02:12:43.523187
69208;2022_T2;1761;308;1453;92;29;121;1332;17.49;82.51;5.22;6.33;1.65;2.0;6.87;8.33;75.64;91.67;2026-03-28T02:12:43.523187
69209;2022_T2;486;128;358;16;5;21;337;26.34;73.66;3.29;4.47;1.03;1.4;4.32;5.87;69.34;94.13;2026-03-28T02:12:43.523187
69212;2022_T2;385;72;313;22;5;27;286;18.7;81.3;5.71;7.03;1.3;1.6;7.01;8.63;74.29;91.37;2026-03-28T02:12:43.523187
69214;2022_T2;908;180;728;48;11;59;669;19.82;80.18;5.29;6.59;1.21;1.51;6.5;8.1;73.68;91.9;2026-03-28T02:12:43.523187
69215;2022_T2;699;113;586;30;4;34;552;16.17;83.83;4.29;5.12;0.57;0.68;4.86;5.8;78.97;94.2;2026-03-28T02:12:43.523187
69216;2022_T2;420;89;331;29;7;36;295;21.19;78.81;6.9;8.76;1.67;2.11;8.57;10.88;70.24;89.12;2026-03-28T02:12:43.523187
69217;2022_T2;608;137;471;35;10;45;426;22.53;77.47;5.76;7.43;1.64;2.12;7.4;9.55;70.07;90.45;2026-03-28T02:12:43.523187
69218;2022_T2;793;193;600;34;7;41;559;24.34;75.66;4.29;5.67;0.88;1.17;5.17;6.83;70.49;93.17;2026-03-28T02:12:43.523187
69219;2022_T2;1835;420;1415;88;16;104;1311;22.89;77.11;4.8;6.22;0.87;1.13;5.67;7.35;71.44;92.65;2026-03-28T02:12:43.523187
69220;2022_T2;1403;304;1099;62;20;82;1017;21.67;78.33;4.42;5.64;1.43;1.82;5.84;7.46;72.49;92.54;2026-03-28T02:12:43.523187
69225;2022_T2;461;93;368;27;12;39;329;20.17;79.83;5.86;7.34;2.6;3.26;8.46;10.6;71.37;89.4;2026-03-28T02:12:43.523187
69227;2022_T2;3183;662;2521;172;47;219;2302;20.8;79.2;5.4;6.82;1.48;1.86;6.88;8.69;72.32;91.31;2026-03-28T02:12:43.523187
