id_commune;id_election;id_candidat;id_nuance;voix;pct_voix_ins;pct_voix_exprimes;date_integration_gold
69104;2012_T1;CAND_002;FN;69;21.43;26.64;2026-04-01T19:19:28.745445
69104;2012_T1;CAND_003;UMP;74;22.98;28.57;2026-04-01T19:19:28.745445
69104;2012_T1;CAND_004;FI;26;8.07;10.04;2026-04-01T19:19:28.745445
69104;2012_T1;CAND_005;EXG;4;1.24;1.54;2026-04-01T19:19:28.745445
69104;2012_T1;CAND_006;EXG;4;1.24;1.54;2026-04-01T19:19:28.745445
69104;2012_T1;CAND_007;DIV;0;0.0;0.0;2026-04-01T19:19:28.745445
69104;2012_T1;CAND_008;MODEM;23;7.14;8.88;2026-04-01T19:19:28.745445
69104;2012_T1;CAND_009;DLF;7;2.17;2.7;2026-04-01T19:19:28.745445
69104;2012_T1;CAND_010;SOC;48;14.91;18.53;2026-04-01T19:19:28.745445
69105;2012_T1;CAND_001;ECO;14;1.97;2.27;2026-04-01T19:19:28.745445
69105;2012_T1;CAND_002;FN;108;15.17;17.48;2026-04-01T19:19:28.745445
69105;2012_T1;CAND_003;UMP;237;33.29;38.35;2026-04-01T19:19:28.745445
69105;2012_T1;CAND_004;FI;43;6.04;6.96;2026-04-01T19:19:28.745445
69105;2012_T1;CAND_005;EXG;6;0.84;0.97;2026-04-01T19:19:28.745445
69105;2012_T1;CAND_006;EXG;5;0.7;0.81;2026-04-01T19:19:28.745445
69105;2012_T1;CAND_007;DIV;2;0.28;0.32;2026-04-01T19:19:28.745445
69105;2012_T1;CAND_008;MODEM;63;8.85;10.19;2026-04-01T19:19:28.745445
69105;2012_T1;CAND_009;DLF;11;1.54;1.78;2026-04-01T19:19:28.745445
69105;2012_T1;CAND_010;SOC;129;18.12;20.87;2026-04-01T19:19:28.745445
69106;2012_T1;CAND_001;ECO;20;2.9;3.14;2026-04-01T19:19:28.745445
69106;2012_T1;CAND_002;FN;134;19.42;21.07;2026-04-01T19:19:28.745445
69106;2012_T1;CAND_003;UMP;250;36.23;39.31;2026-04-01T19:19:28.745445
69106;2012_T1;CAND_004;FI;24;3.48;3.77;2026-04-01T19:19:28.745445
69106;2012_T1;CAND_005;EXG;7;1.01;1.1;2026-04-01T19:19:28.745445
69106;2012_T1;CAND_006;EXG;1;0.14;0.16;2026-04-01T19:19:28.745445
69106;2012_T1;CAND_007;DIV;3;0.43;0.47;2026-04-01T19:19:28.745445
69106;2012_T1;CAND_008;MODEM;62;8.99;9.75;2026-04-01T19:19:28.745445
69106;2012_T1;CAND_009;DLF;12;1.74;1.89;2026-04-01T19:19:28.745445
69106;2012_T1;CAND_010;SOC;123;17.83;19.34;2026-04-01T19:19:28.745445
69107;2012_T1;CAND_001;ECO;7;0.95;1.15;2026-04-01T19:19:28.745445
69107;2012_T1;CAND_002;FN;134;18.11;21.93;2026-04-01T19:19:28.745445
69107;2012_T1;CAND_003;UMP;178;24.05;29.13;2026-04-01T19:19:28.745445
69107;2012_T1;CAND_004;FI;60;8.11;9.82;2026-04-01T19:19:28.745445
69107;2012_T1;CAND_005;EXG;8;1.08;1.31;2026-04-01T19:19:28.745445
69107;2012_T1;CAND_006;EXG;6;0.81;0.98;2026-04-01T19:19:28.745445
69107;2012_T1;CAND_007;DIV;0;0.0;0.0;2026-04-01T19:19:28.745445
69107;2012_T1;CAND_008;MODEM;69;9.32;11.29;2026-04-01T19:19:28.745445
69107;2012_T1;CAND_009;DLF;12;1.62;1.96;2026-04-01T19:19:28.745445
69107;2012_T1;CAND_010;SOC;137;18.51;22.42;2026-04-01T19:19:28.745445
69108;2012_T1;CAND_001;ECO;14;2.43;2.79;2026-04-01T19:19:28.745445
69108;2012_T1;CAND_002;FN;111;19.27;22.11;2026-04-01T19:19:28.745445
69108;2012_T1;CAND_003;UMP;153;26.56;30.48;2026-04-01T19:19:28.745445
69108;2012_T1;CAND_004;FI;50;8.68;9.96;2026-04-01T19:19:28.745445
69108;2012_T1;CAND_005;EXG;12;2.08;2.39;2026-04-01T19:19:28.745445
69108;2012_T1;CAND_006;EXG;5;0.87;1.0;2026-04-01T19:19:28.745445
69108;2012_T1;CAND_007;DIV;2;0.35;0.4;2026-04-01T19:19:28.745445
69108;2012_T1;CAND_008;MODEM;51;8.85;10.16;2026-04-01T19:19:28.745445
69108;2012_T1;CAND_009;DLF;10;1.74;1.99;2026-04-01T19:19:28.745445
69108;2012_T1;CAND_010;SOC;94;16.32;18.73;2026-04-01T19:19:28.745445
69109;2012_T1;CAND_001;ECO;9;1.5;1.79;2026-04-01T19:19:28.745445
69109;2012_T1;CAND_002;FN;133;22.09;26.39;2026-04-01T19:19:28.745445
69109;2012_T1;CAND_003;UMP;170;28.24;33.73;2026-04-01T19:19:28.745445
69109;2012_T1;CAND_004;FI;35;5.81;6.94;2026-04-01T19:19:28.745445
69109;2012_T1;CAND_005;EXG;7;1.16;1.39;2026-04-01T19:19:28.745445
69109;2012_T1;CAND_006;EXG;4;0.66;0.79;2026-04-01T19:19:28.745445
69109;2012_T1;CAND_007;DIV;1;0.17;0.2;2026-04-01T19:19:28.745445
69109;2012_T1;CAND_008;MODEM;61;10.13;12.1;2026-04-01T19:19:28.745445
69109;2012_T1;CAND_009;DLF;14;2.33;2.78;2026-04-01T19:19:28.745445
69109;2012_T1;CAND_010;SOC;70;11.63;13.89;2026-04-01T19:19:28.745445
69110;2012_T1;CAND_001;ECO;23;1.65;1.93;2026-04-01T19:19:28.745445
69110;2012_T1;CAND_002;FN;241;17.26;20.24;2026-04-01T19:19:28.745445
69110;2012_T1;CAND_003;UMP;444;31.81;37.28;2026-04-01T19:19:28.745445
69110;2012_T1;CAND_004;FI;92;6.59;7.72;2026-04-01T19:19:28.745445
69110;2012_T1;CAND_005;EXG;11;0.79;0.92;2026-04-01T19:19:28.745445
69110;2012_T1;CAND_006;EXG;7;0.5;0.59;2026-04-01T19:19:28.745445
69110;2012_T1;CAND_007;DIV;5;0.36;0.42;2026-04-01T19:19:28.745445
69110;2012_T1;CAND_008;MODEM;141;10.1;11.84;2026-04-01T19:19:28.745445
69110;2012_T1;CAND_009;DLF;69;4.94;5.79;2026-04-01T19:19:28.745445
69110;2012_T1;CAND_010;SOC;158;11.32;13.27;2026-04-01T19:19:28.745445
69111;2012_T1;CAND_001;ECO;13;3.02;3.51;2026-04-01T19:19:28.745445
69111;2012_T1;CAND_002;FN;56;13.02;15.14;2026-04-01T19:19:28.745445
69111;2012_T1;CAND_003;UMP;115;26.74;31.08;2026-04-01T19:19:28.745445
69111;2012_T1;CAND_004;FI;29;6.74;7.84;2026-04-01T19:19:28.745445
69111;2012_T1;CAND_005;EXG;7;1.63;1.89;2026-04-01T19:19:28.745445
69111;2012_T1;CAND_006;EXG;2;0.47;0.54;2026-04-01T19:19:28.745445
69111;2012_T1;CAND_007;DIV;2;0.47;0.54;2026-04-01T19:19:28.745445
69111;2012_T1;CAND_008;MODEM;47;10.93;12.7;2026-04-01T19:19:28.745445
69111;2012_T1;CAND_009;DLF;6;1.4;1.62;2026-04-01T19:19:28.745445
69111;2012_T1;CAND_010;SOC;93;21.63;25.14;2026-04-01T19:19:28.745445
69112;2012_T1;CAND_001;ECO;105;2.56;3.05;2026-04-01T19:19:28.745445
69112;2012_T1;CAND_002;FN;529;12.91;15.38;2026-04-01T19:19:28.745445
69112;2012_T1;CAND_003;UMP;1295;31.59;37.65;2026-04-01T19:19:28.745445
69112;2012_T1;CAND_004;FI;265;6.46;7.7;2026-04-01T19:19:28.745445
69112;2012_T1;CAND_005;EXG;20;0.49;0.58;2026-04-01T19:19:28.745445
69112;2012_T1;CAND_006;EXG;6;0.15;0.17;2026-04-01T19:19:28.745445
69112;2012_T1;CAND_007;DIV;10;0.24;0.29;2026-04-01T19:19:28.745445
69112;2012_T1;CAND_008;MODEM;437;10.66;12.7;2026-04-01T19:19:28.745445
69112;2012_T1;CAND_009;DLF;65;1.59;1.89;2026-04-01T19:19:28.745445
69112;2012_T1;CAND_010;SOC;708;17.27;20.58;2026-04-01T19:19:28.745445
69113;2012_T1;CAND_001;ECO;15;2.7;3.1;2026-04-01T19:19:28.745445
69113;2012_T1;CAND_002;FN;86;15.47;17.77;2026-04-01T19:19:28.745445
69113;2012_T1;CAND_003;UMP;129;23.2;26.65;2026-04-01T19:19:28.745445
69113;2012_T1;CAND_004;FI;57;10.25;11.78;2026-04-01T19:19:28.745445
69113;2012_T1;CAND_005;EXG;6;1.08;1.24;2026-04-01T19:19:28.745445
69113;2012_T1;CAND_006;EXG;4;0.72;0.83;2026-04-01T19:19:28.745445
69113;2012_T1;CAND_007;DIV;1;0.18;0.21;2026-04-01T19:19:28.745445
69113;2012_T1;CAND_008;MODEM;81;14.57;16.74;2026-04-01T19:19:28.745445
69113;2012_T1;CAND_009;DLF;12;2.16;2.48;2026-04-01T19:19:28.745445
69113;2012_T1;CAND_010;SOC;93;16.73;19.21;2026-04-01T19:19:28.745445
69114;2012_T1;CAND_001;ECO;20;1.5;1.72;2026-04-01T19:19:28.745445
69114;2012_T1;CAND_002;FN;279;20.9;24.01;2026-04-01T19:19:28.745445
69114;2012_T1;CAND_003;UMP;437;32.73;37.61;2026-04-01T19:19:28.745445
69114;2012_T1;CAND_004;FI;81;6.07;6.97;2026-04-01T19:19:28.745445
69114;2012_T1;CAND_005;EXG;8;0.6;0.69;2026-04-01T19:19:28.745445
69114;2012_T1;CAND_006;EXG;12;0.9;1.03;2026-04-01T19:19:28.745445
69114;2012_T1;CAND_007;DIV;3;0.22;0.26;2026-04-01T19:19:28.745445
69114;2012_T1;CAND_008;MODEM;110;8.24;9.47;2026-04-01T19:19:28.745445
69114;2012_T1;CAND_009;DLF;26;1.95;2.24;2026-04-01T19:19:28.745445
69114;2012_T1;CAND_010;SOC;186;13.93;16.01;2026-04-01T19:19:28.745445
69115;2012_T1;CAND_001;ECO;49;1.58;1.87;2026-04-01T19:19:28.745445
69115;2012_T1;CAND_002;FN;499;16.04;19.05;2026-04-01T19:19:28.745445
69115;2012_T1;CAND_003;UMP;900;28.93;34.35;2026-04-01T19:19:28.745445
69115;2012_T1;CAND_004;FI;228;7.33;8.7;2026-04-01T19:19:28.745445
69115;2012_T1;CAND_005;EXG;21;0.68;0.8;2026-04-01T19:19:28.745445
69115;2012_T1;CAND_006;EXG;11;0.35;0.42;2026-04-01T19:19:28.745445
69115;2012_T1;CAND_007;DIV;3;0.1;0.11;2026-04-01T19:19:28.745445
69115;2012_T1;CAND_008;MODEM;285;9.16;10.88;2026-04-01T19:19:28.745445
69115;2012_T1;CAND_009;DLF;51;1.64;1.95;2026-04-01T19:19:28.745445
69115;2012_T1;CAND_010;SOC;573;18.42;21.87;2026-04-01T19:19:28.745445
69116;2012_T1;CAND_001;ECO;52;2.26;2.54;2026-04-01T19:19:28.745445
69116;2012_T1;CAND_002;FN;251;10.9;12.24;2026-04-01T19:19:28.745445
69116;2012_T1;CAND_003;UMP;1047;45.46;51.07;2026-04-01T19:19:28.745445
69116;2012_T1;CAND_004;FI;92;3.99;4.49;2026-04-01T19:19:28.745445
69116;2012_T1;CAND_005;EXG;12;0.52;0.59;2026-04-01T19:19:28.745445
69116;2012_T1;CAND_006;EXG;3;0.13;0.15;2026-04-01T19:19:28.745445
69116;2012_T1;CAND_007;DIV;3;0.13;0.15;2026-04-01T19:19:28.745445
69116;2012_T1;CAND_008;MODEM;250;10.86;12.2;2026-04-01T19:19:28.745445
69116;2012_T1;CAND_009;DLF;35;1.52;1.71;2026-04-01T19:19:28.745445
69116;2012_T1;CAND_010;SOC;305;13.24;14.88;2026-04-01T19:19:28.745445
69117;2012_T1;CAND_001;ECO;39;1.6;1.86;2026-04-01T19:19:28.745445
69117;2012_T1;CAND_002;FN;314;12.88;14.98;2026-04-01T19:19:28.745445
69117;2012_T1;CAND_003;UMP;907;37.22;43.27;2026-04-01T19:19:28.745445
69117;2012_T1;CAND_004;FI;112;4.6;5.34;2026-04-01T19:19:28.745445
69117;2012_T1;CAND_005;EXG;13;0.53;0.62;2026-04-01T19:19:28.745445
69117;2012_T1;CAND_006;EXG;7;0.29;0.33;2026-04-01T19:19:28.745445
69117;2012_T1;CAND_007;DIV;3;0.12;0.14;2026-04-01T19:19:28.745445
69117;2012_T1;CAND_008;MODEM;299;12.27;14.27;2026-04-01T19:19:28.745445
69117;2012_T1;CAND_009;DLF;39;1.6;1.86;2026-04-01T19:19:28.745445
69117;2012_T1;CAND_010;SOC;363;14.9;17.32;2026-04-01T19:19:28.745445
69118;2012_T1;CAND_001;ECO;28;1.61;1.89;2026-04-01T19:19:28.745445
69118;2012_T1;CAND_002;FN;372;21.37;25.15;2026-04-01T19:19:28.745445
69118;2012_T1;CAND_003;UMP;443;25.45;29.95;2026-04-01T19:19:28.745445
69118;2012_T1;CAND_004;FI;161;9.25;10.89;2026-04-01T19:19:28.745445
69118;2012_T1;CAND_005;EXG;17;0.98;1.15;2026-04-01T19:19:28.745445
69118;2012_T1;CAND_006;EXG;10;0.57;0.68;2026-04-01T19:19:28.745445
69118;2012_T1;CAND_007;DIV;3;0.17;0.2;2026-04-01T19:19:28.745445
69118;2012_T1;CAND_008;MODEM;127;7.29;8.59;2026-04-01T19:19:28.745445
69118;2012_T1;CAND_009;DLF;32;1.84;2.16;2026-04-01T19:19:28.745445
69118;2012_T1;CAND_010;SOC;286;16.43;19.34;2026-04-01T19:19:28.745445
69119;2012_T1;CAND_001;ECO;16;2.2;2.7;2026-04-01T19:19:28.745445
69119;2012_T1;CAND_002;FN;175;24.07;29.56;2026-04-01T19:19:28.745445
69119;2012_T1;CAND_003;UMP;137;18.84;23.14;2026-04-01T19:19:28.745445
69119;2012_T1;CAND_004;FI;53;7.29;8.95;2026-04-01T19:19:28.745445
69119;2012_T1;CAND_005;EXG;11;1.51;1.86;2026-04-01T19:19:28.745445
69119;2012_T1;CAND_006;EXG;7;0.96;1.18;2026-04-01T19:19:28.745445
69119;2012_T1;CAND_007;DIV;1;0.14;0.17;2026-04-01T19:19:28.745445
69119;2012_T1;CAND_008;MODEM;54;7.43;9.12;2026-04-01T19:19:28.745445
69119;2012_T1;CAND_009;DLF;16;2.2;2.7;2026-04-01T19:19:28.745445
69119;2012_T1;CAND_010;SOC;122;16.78;20.61;2026-04-01T19:19:28.745445
69012;2012_T1;CAND_001;ECO;20;4.25;4.98;2026-04-01T19:19:28.745445
69012;2012_T1;CAND_002;FN;77;16.35;19.15;2026-04-01T19:19:28.745445
69012;2012_T1;CAND_003;UMP;138;29.3;34.33;2026-04-01T19:19:28.745445
69012;2012_T1;CAND_004;FI;38;8.07;9.45;2026-04-01T19:19:28.745445
69012;2012_T1;CAND_005;EXG;4;0.85;1.0;2026-04-01T19:19:28.745445
69012;2012_T1;CAND_006;EXG;0;0.0;0.0;2026-04-01T19:19:28.745445
69012;2012_T1;CAND_007;DIV;5;1.06;1.24;2026-04-01T19:19:28.745445
69012;2012_T1;CAND_008;MODEM;39;8.28;9.7;2026-04-01T19:19:28.745445
69012;2012_T1;CAND_009;DLF;10;2.12;2.49;2026-04-01T19:19:28.745445
69012;2012_T1;CAND_010;SOC;71;15.07;17.66;2026-04-01T19:19:28.745445
69120;2012_T1;CAND_001;ECO;9;1.98;2.41;2026-04-01T19:19:28.745445
69120;2012_T1;CAND_002;FN;87;19.16;23.26;2026-04-01T19:19:28.745445
69120;2012_T1;CAND_003;UMP;118;25.99;31.55;2026-04-01T19:19:28.745445
69120;2012_T1;CAND_004;FI;35;7.71;9.36;2026-04-01T19:19:28.745445
69120;2012_T1;CAND_005;EXG;2;0.44;0.53;2026-04-01T19:19:28.745445
69120;2012_T1;CAND_006;EXG;7;1.54;1.87;2026-04-01T19:19:28.745445
69120;2012_T1;CAND_007;DIV;0;0.0;0.0;2026-04-01T19:19:28.745445
69120;2012_T1;CAND_008;MODEM;43;9.47;11.5;2026-04-01T19:19:28.745445
69120;2012_T1;CAND_009;DLF;17;3.74;4.55;2026-04-01T19:19:28.745445
69120;2012_T1;CAND_010;SOC;56;12.33;14.97;2026-04-01T19:19:28.745445
69121;2012_T1;CAND_001;ECO;47;2.75;3.25;2026-04-01T19:19:28.745445
69121;2012_T1;CAND_002;FN;263;15.37;18.19;2026-04-01T19:19:28.745445
69121;2012_T1;CAND_003;UMP;510;29.81;35.27;2026-04-01T19:19:28.745445
69121;2012_T1;CAND_004;FI;107;6.25;7.4;2026-04-01T19:19:28.745445
69121;2012_T1;CAND_005;EXG;6;0.35;0.41;2026-04-01T19:19:28.745445
69121;2012_T1;CAND_006;EXG;11;0.64;0.76;2026-04-01T19:19:28.745445
69121;2012_T1;CAND_007;DIV;6;0.35;0.41;2026-04-01T19:19:28.745445
69121;2012_T1;CAND_008;MODEM;189;11.05;13.07;2026-04-01T19:19:28.745445
69121;2012_T1;CAND_009;DLF;33;1.93;2.28;2026-04-01T19:19:28.745445
69121;2012_T1;CAND_010;SOC;274;16.01;18.95;2026-04-01T19:19:28.745445
69122;2012_T1;CAND_001;ECO;14;1.1;1.29;2026-04-01T19:19:28.745445
69122;2012_T1;CAND_002;FN;205;16.15;18.88;2026-04-01T19:19:28.745445
69122;2012_T1;CAND_003;UMP;477;37.59;43.92;2026-04-01T19:19:28.745445
69122;2012_T1;CAND_004;FI;57;4.49;5.25;2026-04-01T19:19:28.745445
69122;2012_T1;CAND_005;EXG;9;0.71;0.83;2026-04-01T19:19:28.745445
69122;2012_T1;CAND_006;EXG;2;0.16;0.18;2026-04-01T19:19:28.745445
69122;2012_T1;CAND_007;DIV;0;0.0;0.0;2026-04-01T19:19:28.745445
69122;2012_T1;CAND_008;MODEM;103;8.12;9.48;2026-04-01T19:19:28.745445
69122;2012_T1;CAND_009;DLF;23;1.81;2.12;2026-04-01T19:19:28.745445
69122;2012_T1;CAND_010;SOC;196;15.45;18.05;2026-04-01T19:19:28.745445
69123;2012_T1;CAND_001;ECO;9416;3.22;4.09;2026-04-01T19:19:28.745445
69123;2012_T1;CAND_002;FN;22718;7.76;9.87;2026-04-01T19:19:28.745445
69123;2012_T1;CAND_003;UMP;70311;24.01;30.54;2026-04-01T19:19:28.745445
69123;2012_T1;CAND_004;FI;27240;9.3;11.83;2026-04-01T19:19:28.745445
69123;2012_T1;CAND_005;EXG;1746;0.6;0.76;2026-04-01T19:19:28.745445
69123;2012_T1;CAND_006;EXG;915;0.31;0.4;2026-04-01T19:19:28.745445
69123;2012_T1;CAND_007;DIV;605;0.21;0.26;2026-04-01T19:19:28.745445
69123;2012_T1;CAND_008;MODEM;24531;8.38;10.66;2026-04-01T19:19:28.745445
69123;2012_T1;CAND_009;DLF;3103;1.06;1.35;2026-04-01T19:19:28.745445
69123;2012_T1;CAND_010;SOC;69629;23.77;30.25;2026-04-01T19:19:28.745445
69124;2012_T1;CAND_001;ECO;9;2.44;2.94;2026-04-01T19:19:28.745445
69124;2012_T1;CAND_002;FN;72;19.51;23.53;2026-04-01T19:19:28.745445
69124;2012_T1;CAND_003;UMP;77;20.87;25.16;2026-04-01T19:19:28.745445
69124;2012_T1;CAND_004;FI;44;11.92;14.38;2026-04-01T19:19:28.745445
69124;2012_T1;CAND_005;EXG;2;0.54;0.65;2026-04-01T19:19:28.745445
69124;2012_T1;CAND_006;EXG;4;1.08;1.31;2026-04-01T19:19:28.745445
69124;2012_T1;CAND_007;DIV;0;0.0;0.0;2026-04-01T19:19:28.745445
69124;2012_T1;CAND_008;MODEM;28;7.59;9.15;2026-04-01T19:19:28.745445
69124;2012_T1;CAND_009;DLF;12;3.25;3.92;2026-04-01T19:19:28.745445
69124;2012_T1;CAND_010;SOC;58;15.72;18.95;2026-04-01T19:19:28.745445
69125;2012_T1;CAND_001;ECO;17;2.47;2.71;2026-04-01T19:19:28.745445
69125;2012_T1;CAND_002;FN;104;15.09;16.59;2026-04-01T19:19:28.745445
69125;2012_T1;CAND_003;UMP;257;37.3;40.99;2026-04-01T19:19:28.745445
69125;2012_T1;CAND_004;FI;37;5.37;5.9;2026-04-01T19:19:28.745445
69125;2012_T1;CAND_005;EXG;6;0.87;0.96;2026-04-01T19:19:28.745445
69125;2012_T1;CAND_006;EXG;1;0.15;0.16;2026-04-01T19:19:28.745445
