id_departement;annee;insee_pop;insee_log
69;2016;1835903;904462
69;2017;1843319;914980
69;2018;1859524;926576
69;2019;1875747;937544
69;2020;1883437;949531
69;2021;1893692;964037
69;2022;1907982;977442
69;2023;1914667;977442
69;2024;1914667;977442
69;2025;1914667;977442
