id_commune;annee;id_indicateur_securite;nombre;taux_pour_mille;est_diffuse;complement_info_nombre;complement_info_taux;source_dataset;source_dataset_timestamp;date_refresh
69001;2018;SEC_016;0.0;0.0;diff;0.0;0.0;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2018;SEC_017;2.1884058;1.8951874;ndiff;2.1884058;1.8951874;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2018;SEC_018;1.2857143;0.2534482;ndiff;1.2857143;0.2534482;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2019;SEC_001;2.6691729;5.3905365;ndiff;2.6691729;5.3905365;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2019;SEC_002;3.0082645;3.3806061;ndiff;3.0082645;3.3806061;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2019;SEC_003;3.2042254;3.2569093;ndiff;3.2042254;3.2569093;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2019;SEC_006;0.0;0.0;diff;0.0;0.0;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2019;SEC_007;2.0375;0.9346518;ndiff;2.0375;0.9346518;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2019;SEC_008;0.0;0.0;diff;0.0;0.0;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2019;SEC_010;0.0;0.0;diff;0.0;0.0;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2019;SEC_011;2.7631579;1.4341598;ndiff;2.7631579;1.4341598;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2019;SEC_012;0.0;0.0;diff;0.0;0.0;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2019;SEC_013;0.0;0.0;diff;0.0;0.0;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2019;SEC_014;0.0;0.0;diff;0.0;0.0;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2019;SEC_015;2.7333333;1.7024614;ndiff;2.7333333;1.7024614;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2019;SEC_016;0.0;0.0;diff;0.0;0.0;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2019;SEC_017;2.379562;2.0873752;ndiff;2.379562;2.0873752;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2019;SEC_018;1.2121212;0.2372939;ndiff;1.2121212;0.2372939;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2020;SEC_001;2.1136364;4.2710148;ndiff;2.1136364;4.2710148;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2020;SEC_002;2.5511811;2.8387933;ndiff;2.5511811;2.8387933;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
69001;2020;SEC_003;3.6666667;3.8760284;ndiff;3.6666667;3.8760284;securite_commune;2026-03-23 14:13:09.597346;2026-03-23
