id_commune,target_macron_wins_2022_t2,abstentions_2017_t1,abstentions_2017_t2,blancs_2017_t1,blancs_2017_t2,exprimes_2017_t1,exprimes_2017_t2,inscrits_2017_t1,inscrits_2017_t2,insee_log_2021,insee_log_2022,insee_pop_2021,insee_pop_2022,nuls_2017_t1,nuls_2017_t2,pct_abs_ins_2017_t1,pct_abs_ins_2017_t2,pct_blancs_ins_2017_t1,pct_blancs_ins_2017_t2,pct_nuls_ins_2017_t1,pct_nuls_ins_2017_t2,pct_vot_ins_2017_t1,pct_vot_ins_2017_t2,sec_rate_cambriolages_de_logement_2021,sec_rate_cambriolages_de_logement_2022,sec_rate_destructions_et_degradations_volontaires_2021,sec_rate_destructions_et_degradations_volontaires_2022,sec_rate_escroqueries_et_fraudes_aux_moyens_de_paiement_2021,sec_rate_escroqueries_et_fraudes_aux_moyens_de_paiement_2022,sec_rate_trafic_de_stupefiants_2021,sec_rate_trafic_de_stupefiants_2022,sec_rate_usage_de_stupefiants_2021,sec_rate_usage_de_stupefiants_2022,sec_rate_usage_de_stupefiants_afd_2021,sec_rate_usage_de_stupefiants_afd_2022,sec_rate_violences_physiques_hors_cadre_familial_2021,sec_rate_violences_physiques_hors_cadre_familial_2022,sec_rate_violences_physiques_intrafamiliales_2021,sec_rate_violences_physiques_intrafamiliales_2022,sec_rate_violences_sexuelles_2021,sec_rate_violences_sexuelles_2022,sec_rate_vols_avec_armes_2021,sec_rate_vols_avec_armes_2022,sec_rate_vols_d_accessoires_sur_vehicules_2021,sec_rate_vols_d_accessoires_sur_vehicules_2022,sec_rate_vols_dans_les_vehicules_2021,sec_rate_vols_dans_les_vehicules_2022,sec_rate_vols_de_vehicule_2021,sec_rate_vols_de_vehicule_2022,sec_rate_vols_sans_violence_contre_des_personnes_2021,sec_rate_vols_sans_violence_contre_des_personnes_2022,sec_rate_vols_violents_sans_arme_2021,sec_rate_vols_violents_sans_arme_2022,share_arthaud_2017_t1,share_asselineau_2017_t1,share_cheminade_2017_t1,share_dupont_aignan_2017_t1,share_fillon_2017_t1,share_hamon_2017_t1,share_lassalle_2017_t1,share_le_pen_2017_t1,share_le_pen_2017_t2,share_macron_2017_t1,share_macron_2017_t2,share_melenchon_2017_t1,share_poutou_2017_t1,votants_2017_t1,votants_2017_t2
69-012,1,71.0,84.0,14.0,34.0,423.0,379.0,508.0,508.0,285.0,285.0,603.0,616.0,0.0,11.0,13.98,16.54,2.76,6.69,0.0,2.17,86.02,83.46,5.4772311,5.1599952,3.4469802,3.5081804,4.6269327,5.0485131,0.0,0.0,1.1568634,1.306157,0.0,0.0,0.0,0.0,0.0,1.9820933,0.9771534,1.0619796,0.0,0.0,1.0621681,1.1839424,0.0,0.0,0.0,1.4076726,2.0730405,2.2745888,0.0,0.0,0.24,0.24,0.24,6.62,21.04,6.38,0.47,29.79,43.54,19.39,56.46,14.18,1.42,437.0,424.0
69-013,1,553.0,592.0,47.0,166.0,2036.0,1851.0,2644.0,2644.0,1772.0,1772.0,4215.0,4408.0,8.0,35.0,20.92,22.39,1.78,6.28,0.3,1.32,79.08,77.61,10.7224073,12.9797562,3.3214709,9.3012704,5.6939502,4.9909256,0.2719703,0.3375502,1.1568634,1.306157,1.1494177,1.7948427,1.448111,1.4219906,2.6097272,4.0834846,0.9771534,1.0619796,0.1021803,0.1055371,1.0621681,2.0417423,3.5587189,3.6297641,1.1862396,1.4076726,2.8469751,2.4954628,0.2640282,0.0,0.44,0.69,0.15,5.65,23.77,4.81,0.74,28.93,42.57,20.28,57.43,14.05,0.49,2091.0,2052.0
69-014,1,116.0,139.0,5.0,42.0,662.0,594.0,786.0,786.0,470.0,470.0,1115.0,1108.0,3.0,11.0,14.76,17.68,0.64,5.34,0.38,1.4,85.24,82.32,5.4772311,5.1599952,3.4469802,3.5081804,4.6269327,5.0485131,0.0,0.3375502,0.0,1.306157,0.0,0.0,0.0,0.0,1.6599958,1.9820933,0.9771534,1.0619796,0.0,0.0,1.0621681,1.1839424,0.0,0.0,1.3269747,1.4076726,2.0730405,2.2745888,0.2640282,0.0,1.36,1.21,0.15,12.69,18.28,7.25,0.76,24.02,34.85,21.9,65.15,12.39,0.0,670.0,647.0
69-016,1,18.0,30.0,5.0,13.0,105.0,83.0,128.0,128.0,88.0,88.0,122.0,122.0,0.0,2.0,14.06,23.44,3.91,10.16,0.0,1.56,85.94,76.56,0.0,0.0,0.0,0.0,4.6269327,5.0485131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6599958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,11.43,23.81,0.95,1.9,27.62,43.37,20.0,56.63,9.52,1.9,110.0,98.0
69-017,1,116.0,116.0,7.0,58.0,464.0,411.0,589.0,589.0,353.0,353.0,752.0,758.0,2.0,4.0,19.69,19.69,1.19,9.85,0.34,0.68,80.31,80.31,5.4772311,5.1599952,3.4469802,3.5081804,4.6269327,5.0485131,0.0,0.0,1.1568634,1.306157,1.1494177,1.7948427,0.0,0.0,1.6599958,1.9820933,0.9771534,1.0619796,0.0,0.0,0.0,0.0,0.0,0.0,1.3269747,1.4076726,0.0,2.2745888,0.0,0.0,1.08,0.43,0.22,7.76,24.35,6.03,1.51,21.12,36.5,21.55,63.5,14.66,1.29,473.0,473.0
69-018,0,321.0,348.0,23.0,122.0,983.0,841.0,1331.0,1331.0,1238.0,1238.0,2123.0,2103.0,4.0,20.0,24.12,26.15,1.73,9.17,0.3,1.5,75.88,73.85,5.4772311,5.1599952,10.3626943,7.6081788,4.6269327,5.0485131,0.2719703,0.3375502,1.1568634,1.306157,0.0,0.0,1.448111,2.3775559,1.6599958,7.1326676,0.9771534,1.0619796,0.0,0.0,1.0621681,1.1839424,1.6728256,1.5184457,1.3269747,1.4076726,2.0730405,2.2745888,0.2640282,0.3546356,0.61,0.61,0.0,7.73,25.64,3.76,1.53,26.04,44.71,21.57,55.29,11.9,0.61,1010.0,983.0
69-019,1,1152.0,1302.0,79.0,292.0,3460.0,3029.0,4720.0,4714.0,6117.0,6117.0,13542.0,13767.0,29.0,91.0,24.41,27.62,1.67,6.19,0.61,1.93,75.59,72.38,4.2506114,7.3568275,6.2029242,6.8279218,5.3167922,5.7383598,0.2719703,0.3375502,2.7322404,1.5253868,1.1494177,1.7948427,2.8060848,2.6875863,2.8799291,3.268686,1.8461084,2.6149488,0.1021803,0.1055371,0.7384434,1.0169245,1.7722641,2.179124,1.2553537,1.8885741,6.8675233,5.8109973,0.2640282,0.3546356,0.66,1.3,0.09,6.18,19.71,4.83,0.78,26.68,40.11,22.46,59.89,16.47,0.84,3568.0,3412.0
69-020,1,81.0,93.0,7.0,36.0,405.0,359.0,494.0,494.0,285.0,285.0,705.0,717.0,1.0,6.0,16.4,18.83,1.42,7.29,0.2,1.21,83.6,81.17,5.4772311,5.1599952,3.4469802,3.5081804,4.6269327,5.0485131,0.0,0.0,1.1568634,0.0,0.0,0.0,1.448111,1.4219906,1.6599958,1.9820933,0.0,1.0619796,0.0,0.0,1.0621681,1.1839424,1.6728256,1.5184457,1.3269747,1.4076726,2.0730405,2.2745888,0.0,0.0,0.74,1.48,0.0,1.73,14.07,7.16,1.23,23.7,32.31,27.41,67.69,20.25,2.22,413.0,401.0
69-021,1,247.0,350.0,28.0,128.0,1346.0,1123.0,1632.0,1632.0,1137.0,1137.0,2348.0,2351.0,11.0,31.0,15.13,21.45,1.72,7.84,0.67,1.9,84.87,78.55,5.4772311,5.1599952,6.3884157,3.8281582,8.5178876,7.6563165,0.2719703,0.3375502,1.1568634,1.306157,0.0,0.0,1.448111,1.4219906,1.6599958,3.4028073,0.9771534,1.0619796,0.0,0.0,1.0621681,1.1839424,1.6728256,1.5184457,1.3269747,1.4076726,2.0730405,2.2745888,0.0,0.0,0.22,2.38,0.22,7.65,18.28,6.24,0.89,19.61,32.59,22.44,67.41,20.65,1.41,1385.0,1282.0
69-022,1,47.0,61.0,9.0,41.0,321.0,271.0,377.0,377.0,263.0,263.0,542.0,543.0,0.0,4.0,12.47,16.18,2.39,10.88,0.0,1.06,87.53,83.82,5.4772311,5.1599952,3.4469802,3.5081804,4.6269327,5.0485131,0.0,0.0,0.0,0.0,0.0,0.0,1.448111,1.4219906,0.0,1.9820933,0.9771534,1.0619796,0.0,0.0,0.0,0.0,1.6728256,1.5184457,1.3269747,1.4076726,0.0,0.0,0.0,0.0,0.62,0.62,0.31,8.41,23.99,4.67,1.25,25.23,41.33,18.69,58.67,15.26,0.93,330.0,316.0
69-023,1,177.0,197.0,19.0,68.0,936.0,849.0,1133.0,1133.0,725.0,725.0,1669.0,1692.0,1.0,19.0,15.62,17.39,1.68,6.0,0.09,1.68,84.38,82.61,5.4772311,5.1599952,3.4469802,3.5081804,4.6269327,5.0485131,0.2719703,0.3375502,1.1568634,1.306157,0.0,0.0,1.448111,1.4219906,1.6599958,1.9820933,0.9771534,1.0619796,0.0,0.0,1.0621681,1.1839424,0.0,1.5184457,1.3269747,1.4076726,2.0730405,2.2745888,0.2640282,0.0,0.11,0.64,0.11,8.55,29.27,3.42,1.07,25.96,42.4,20.73,57.6,9.94,0.21,956.0,936.0
69-024,1,514.0,603.0,40.0,253.0,2502.0,2179.0,3078.0,3077.0,2000.0,2000.0,4155.0,4143.0,22.0,42.0,16.7,19.6,1.3,8.22,0.71,1.36,83.3,80.4,5.4772311,5.1599952,5.0541516,8.6893555,5.5354994,4.8274197,0.2719703,0.3375502,1.1568634,1.306157,1.1494177,1.7948427,3.1287605,2.1723389,1.9253911,1.4482259,0.9771534,1.0619796,0.0,0.0,1.0621681,1.1839424,1.6728256,1.5184457,1.3269747,1.4076726,3.1287605,5.3101617,0.0,0.0,0.52,0.8,0.16,6.2,22.94,6.04,1.16,20.62,32.35,26.62,67.65,13.99,0.96,2564.0,2474.0
