id_commune;id_year;nb_menages_fiscaux;nb_personnes_menages_fiscaux;mediane_niveau_vie_euros;pct_menages_imposables
69020;2016;230.0;626.0;25315.9420289855;
69020;2017;240.0;661.0;24540.0;
69020;2018;251.0;679.0;25540.0;
69020;2019;250.0;675.0;26960.0;
69020;2020;252.0;668.0;27360.0;
69020;2021;259.0;673.0;29010.0;
69021;2014;872.0;2204.5;22089.0;61.0
69021;2015;891.0;2242.0;21884.0;60.0
69021;2016;909.0;2268.0;22600.9523809524;57.0
69021;2017;923.0;2293.0;22910.0;58.0
69021;2018;920.0;2241.0;23290.0;55.0
69021;2019;933.0;2258.0;23310.0;61.0
69021;2020;955.0;2267.0;24210.0;54.0
69021;2021;965.0;2274.0;24500.0;58.0
69022;2014;208.0;562.0;21459.3333333333;
69022;2015;213.0;560.0;21751.25;
69022;2016;218.0;567.0;22551.75;
69022;2017;206.0;536.0;23770.0;
69022;2018;209.0;537.0;23620.0;
69022;2019;210.0;520.0;23480.0;
69022;2020;194.0;466.0;23910.0;
69022;2021;210.0;506.0;24520.0;
69023;2014;577.0;1565.5;23602.6086956522;
69023;2015;585.0;1567.5;24231.7391304348;
69023;2016;588.0;1562.0;24244.5;
69023;2017;602.0;1564.0;24110.0;
69023;2018;602.0;1563.0;25730.0;
69023;2019;595.0;1527.0;25300.0;
69023;2020;607.0;1546.0;25230.0;
69023;2021;617.0;1576.0;27320.0;
69024;2014;978.0;2379.5;23156.8;65.0
69024;2015;981.0;2359.5;23365.0;64.0
69024;2016;1644.0;4017.5;23743.0769230769;62.0
69024;2017;1695.0;4100.0;24050.0;63.0
69024;2018;1695.0;4104.0;24780.0;62.0
69024;2019;1733.0;4144.0;25040.0;68.0
69024;2020;1777.0;4237.0;25760.0;62.0
69024;2021;1809.0;4328.0;26650.0;64.0
69026;2014;180.0;498.0;24046.7857142857;
69026;2015;174.0;493.0;23343.0;
69026;2016;181.0;508.5;23992.5;
69026;2017;181.0;504.0;23630.0;
69026;2018;181.0;506.0;24130.0;
69026;2019;177.0;491.0;24700.0;
69026;2020;181.0;488.0;26450.0;
69026;2021;188.0;517.0;26280.0;
69027;2014;4635.0;11548.0;23663.5;70.0
69027;2015;4617.0;11455.0;24050.6451612903;66.0
69027;2016;4665.0;11506.5;24327.1428571429;63.0
69027;2017;4806.0;11725.0;24490.0;64.0
69027;2018;5037.0;12031.0;25090.0;63.0
69027;2019;5196.0;12310.0;25250.0;68.0
69027;2020;5255.0;12385.0;25810.0;62.0
69027;2021;5284.0;12267.0;26720.0;64.0
69028;2014;2212.0;5990.0;26182.3076923077;76.0
69028;2015;2316.0;6217.0;26469.5;73.0
69028;2016;2334.0;6199.5;27070.7142857143;70.0
69028;2017;2392.0;6369.0;27320.0;69.0
69028;2018;2452.0;6460.0;27980.0;69.0
69028;2019;2571.0;6724.0;28110.0;74.0
69028;2020;2602.0;6808.0;29020.0;68.0
69028;2021;2621.0;6809.0;29700.0;70.0
69029;2014;15930.0;37885.5;19565.3333333333;59.0
69029;2015;16194.0;38152.5;19808.8888888889;57.0
69029;2016;16517.0;38853.5;19727.0;53.0
69029;2017;16494.0;38640.0;20110.0;53.0
69029;2018;16419.0;38062.0;20580.0;52.0
69029;2019;16939.0;39129.0;20920.0;59.0
69029;2020;16958.0;39070.0;21330.0;52.0
69029;2021;16960.0;38686.0;21950.0;54.0
69030;2014;336.0;871.5;20327.2;
69030;2015;330.0;866.0;20975.5;
69030;2016;327.0;840.5;22036.4;
69030;2017;321.0;819.0;23180.0;
69030;2018;326.0;809.0;22440.0;
69030;2019;315.0;779.0;22840.0;
69030;2020;329.0;840.0;23820.0;
69030;2021;333.0;817.0;24700.0;
69031;2014;495.0;1345.5;22434.3333333333;
69031;2015;506.0;1369.0;22065.2380952381;
69031;2016;518.0;1426.5;22102.1212121212;
69031;2017;507.0;1400.0;22910.0;
69031;2018;512.0;1389.0;23600.0;
69031;2019;520.0;1406.0;23810.0;
69031;2020;522.0;1390.0;24770.0;
69031;2021;507.0;1358.0;25730.0;
69032;2014;756.0;1965.5;22939.5238095238;
69032;2015;759.0;1964.5;23265.3333333333;
69032;2016;771.0;1977.0;23751.6;
69032;2017;787.0;1994.0;24770.0;
