feature,coefficient,abs_coefficient
share_nuance_rn_2022_t1,-1.468017194114786,1.468017194114786
share_nuance_rem_2022_t1,1.3686492131647803,1.3686492131647803
pct_blancs_ins_2017_t2,-0.7382964980666604,0.7382964980666604
share_nuance_dlf_2017_t1,0.6948309763116116,0.6948309763116116
share_nuance_lr_2022_t1,0.6803390512569963,0.6803390512569963
sec_rate_violences_physiques_hors_cadre_familial,-0.6403857370382432,0.6403857370382432
pct_vot_ins_2022_t2,-0.6214719003955503,0.6214719003955503
pct_abs_ins_2022_t2,0.6214719003955496,0.6214719003955496
share_nuance_com_2022_t1,0.5940001451841908,0.5940001451841908
sec_rate_escroqueries_et_fraudes_aux_moyens_de_paiement,0.5842962827669105,0.5842962827669105
share_nuance_rn_2017_t2,-0.5829668762682215,0.5829668762682215
share_nuance_rem_2017_t2,0.5829668762682214,0.5829668762682214
sec_rate_vols_d_accessoires_sur_vehicules,-0.5080517743427491,0.5080517743427491
sec_rate_trafic_de_stupefiants,0.5053863799428044,0.5053863799428044
share_nuance_eelv_2022_t1,0.49441551970680536,0.49441551970680536
pct_blancs_ins_2022_t2,-0.43020878070176244,0.43020878070176244
share_nuance_div_2017_t1,-0.42037793227105147,0.42037793227105147
share_nuance_soc_2017_t1,0.4077317768856332,0.4077317768856332
sec_rate_cambriolages_de_logement,-0.3812380617231861,0.3812380617231861
share_nuance_dlf_2022_t1,-0.37706030586864814,0.37706030586864814
nuls_2022_t1,0.36344168936565147,0.36344168936565147
sec_rate_vols_sans_violence_contre_des_personnes,-0.3484700638562916,0.3484700638562916
sec_rate_violences_sexuelles,0.34841524909515714,0.34841524909515714
sec_rate_vols_violents_sans_arme,-0.31641970334531316,0.31641970334531316
share_nuance_fi_2017_t1,0.31374436206174705,0.31374436206174705
share_nuance_soc_2022_t1,-0.30506644868006644,0.30506644868006644
pct_abs_ins_2017_t2,-0.30102637735611176,0.30102637735611176
pct_vot_ins_2017_t2,0.3010263773561048,0.3010263773561048
share_nuance_rn_2017_t1,-0.2893440282691339,0.2893440282691339
sec_rate_vols_avec_armes,0.28826738216665104,0.28826738216665104
share_nuance_rem_2017_t1,-0.2769890499858543,0.2769890499858543
pct_nuls_ins_2022_t1,0.27340165577541736,0.27340165577541736
pct_nuls_ins_2022_t2,0.23528020082997742,0.23528020082997742
sec_rate_usage_de_stupefiants_afd,0.20304205248967966,0.20304205248967966
pct_abs_ins_2017_t1,-0.20063192229720644,0.20063192229720644
pct_vot_ins_2017_t1,0.20063192229719964,0.20063192229719964
pct_vot_ins_2022_t1,0.18784844470355985,0.18784844470355985
pct_abs_ins_2022_t1,-0.18784844470355808,0.18784844470355808
nuls_2017_t1,0.1749956255396269,0.1749956255396269
share_nuance_res_2022_t1,-0.16768068084857024,0.16768068084857024
sec_rate_violences_physiques_intrafamiliales,-0.15331795726708752,0.15331795726708752
share_nuance_exg_2022_t1,-0.14567229964808912,0.14567229964808912
share_nuance_rec_2022_t1,-0.14489268390475632,0.14489268390475632
sec_count_usage_de_stupefiants,-0.1333243343507557,0.1333243343507557
blancs_2017_t2,-0.13272062125639209,0.13272062125639209
sec_rate_destructions_et_degradations_volontaires,0.11259152644779094,0.11259152644779094
sec_count_vols_violents_sans_arme,-0.10961909408512643,0.10961909408512643
pct_blancs_ins_2022_t1,0.1080812852113711,0.1080812852113711
blancs_2022_t1,0.09394083119891194,0.09394083119891194
exprimes_2017_t1,-0.0929584919058172,0.0929584919058172
nuls_2017_t2,0.09232043977830014,0.09232043977830014
sec_count_vols_sans_violence_contre_des_personnes,-0.0906587884390333,0.0906587884390333
votants_2017_t1,-0.08955262962312503,0.08955262962312503
sec_rate_vols_de_vehicule,0.08691898996600923,0.08691898996600923
votants_2017_t2,-0.07974625544152576,0.07974625544152576
exprimes_2017_t2,-0.07966099594867049,0.07966099594867049
sec_count_trafic_de_stupefiants,-0.07585450026030083,0.07585450026030083
insee_log,-0.07395274166663567,0.07395274166663567
share_nuance_exg_2017_t1,-0.07219589928112373,0.07219589928112373
sec_count_vols_d_accessoires_sur_vehicules,0.06792349451370966,0.06792349451370966
sec_count_escroqueries_et_fraudes_aux_moyens_de_paiement,-0.06256212262937062,0.06256212262937062
inscrits_2017_t1,-0.06045837497651467,0.06045837497651467
inscrits_2017_t2,-0.0604282944558243,0.0604282944558243
abstentions_2022_t2,0.05951314394794231,0.05951314394794231
sec_count_usage_de_stupefiants_afd,-0.058513013216297365,0.058513013216297365
share_nuance_fi_2022_t1,0.05365975441891189,0.05365975441891189
sec_count_violences_sexuelles,-0.05203880505559182,0.05203880505559182
abstentions_2022_t1,0.051087452594571446,0.051087452594571446
sec_rate_vols_dans_les_vehicules,0.05038131288474947,0.05038131288474947
pct_blancs_ins_2017_t1,-0.05013221845407635,0.05013221845407635
sec_rate_usage_de_stupefiants,-0.048595518945760544,0.048595518945760544
pct_nuls_ins_2017_t1,0.045032146809233065,0.045032146809233065
sec_count_cambriolages_de_logement,-0.04466931507963177,0.04466931507963177
blancs_2017_t1,0.03674620647391711,0.03674620647391711
sec_count_violences_physiques_hors_cadre_familial,-0.03665717759768049,0.03665717759768049
sec_count_violences_physiques_intrafamiliales,0.033220376640625354,0.033220376640625354
sec_count_destructions_et_degradations_volontaires,0.03241316966702758,0.03241316966702758
share_nuance_lr_2017_t1,-0.031005610064982026,0.031005610064982026
sec_count_vols_de_vehicule,-0.03046016058715184,0.03046016058715184
nuls_2022_t2,0.024489168524594457,0.024489168524594457
share_nuance_res_2017_t1,-0.02236502646772178,0.02236502646772178
abstentions_2017_t1,0.01826996054403858,0.01826996054403858
exprimes_2022_t2,-0.017758376501043602,0.017758376501043602
votants_2022_t2,-0.01700996170056365,0.01700996170056365
blancs_2022_t2,-0.0169873025163992,0.0169873025163992
sec_count_vols_avec_armes,-0.016394282967148673,0.016394282967148673
abstentions_2017_t2,-0.01570010407093265,0.01570010407093265
inscrits_2022_t1,0.009937682791982604,0.009937682791982604
inscrits_2022_t2,0.009599858449399309,0.009599858449399309
pct_nuls_ins_2017_t2,0.009088264016002434,0.009088264016002434
exprimes_2022_t1,-0.00907604746254254,0.00907604746254254
insee_pop,0.007446432845645436,0.007446432845645436
votants_2022_t1,-0.006056192345580218,0.006056192345580218
sec_count_vols_dans_les_vehicules,-0.005231516743298419,0.005231516743298419
