id_commune,libelle_commune,vulnerability_score,rank,pct_abs_ins,predicted_abstention,libelle_nuance,predicted_nuance
69102,Joux,-0.22086407423651241,68.0,18.21,17.78716759405068,Front National,Front National
69162,Quincié-en-Beaujolais,-0.22849727025358355,69.0,19.67,18.67674218835029,La République en marche,Front National
69110,Larajasse,-0.2368824377775703,70.0,19.69,18.84101017915241,La République en marche,Front National
69165,Régnié-Durette,-0.24300904148454663,71.0,14.73,16.339673278748872,La République en marche,Front National
69228,Chabanière,-0.24452676395125764,72.0,15.6,16.64441638985025,La République en marche,La République en marche
69228,Saint-Maurice-sur-Dargoire,-0.24452676395125764,72.0,15.6,16.64441638985025,La République en marche,La République en marche
69139,Montrottier,-0.24511875334029926,73.0,17.83,18.46432059764135,La République en marche,Front National
69151,Le Perréon,-0.24714824050206038,74.0,15.81,16.37559462874955,Front National,Front National
69281,Marennes,-0.2479571815489672,75.0,17.82,16.521374415719308,La République en marche,La République en marche
69124,Marchampt,-0.24804791909856325,76.0,21.85,21.310409815298343,La République en marche,Front National
69220,Saint-Laurent-de-Chamousset,-0.24858588325500092,77.0,19.2,18.599983217045256,La République en marche,La République en marche
69039,Chamelet,-0.26258212229502575,78.0,17.27,17.683956390168962,Front National,Front National
69236,Saint-Romain-en-Gier,-0.26549268378748025,79.0,20.84,18.32691518741487,Front National,Front National
69078,Duerne,-0.2659777773695559,80.0,12.69,16.025266335262152,La République en marche,Front National
69014,Aveize,-0.26668961172876293,81.0,17.65,17.633343500747454,La République en marche,Front National
69060,Claveisolles,-0.2671686079081017,82.0,15.74,18.39226998293756,Front National,Front National
69203,Saint-Genis-l'Argentière,-0.27630560766507317,83.0,21.58,20.592203647412564,Front National,Front National
69024,Val d'Oingt,-0.27722709153636055,84.0,18.77,18.007691361598393,La République en marche,La République en marche
69024,Le Bois-d'Oingt,-0.27722709153636055,84.0,18.77,18.007691361598393,La République en marche,La République en marche
69032,Bully,-0.2784523613801471,85.0,16.63,16.53220269148865,La République en marche,La République en marche
69070,Cublize,-0.27963394201826247,86.0,19.3,18.31536818880132,Front National,Front National
69062,Coise,-0.29704237088821267,87.0,14.49,16.91609644403208,La République en marche,Front National
69099,Haute-Rivoire,-0.30112515865340295,88.0,19.41,19.018035731658426,Front National,Front National
69257,Vaux-en-Beaujolais,-0.3038150767714633,89.0,19.93,18.20114472614857,Front National,Front National
69169,Ronno,-0.325662892230681,90.0,15.37,17.305924254758118,La République en marche,Front National
69167,Rivolet,-0.32649893847245354,91.0,13.57,16.589940051833263,La République en marche,Front National
69120,Longessaigne,-0.33302579841383206,92.0,17.63,17.166411483885483,La République en marche,Front National
69002,Aigueperse,-0.33510031366451803,93.0,26.73,24.331297936764052,Front National,Front National
69097,Les Haies,-0.33534615960638625,94.0,19.08,16.88573228814834,Front National,Front National
69103,Juliénas,-0.338216373191522,95.0,15.04,17.124770211650908,La République en marche,Front National
69119,Longes,-0.3388759556032954,96.0,16.11,18.171489293331987,Front National,Front National
69188,Saint-Clément-sous-Valsonne,-0.34187301954776494,97.0,20.9,18.72044264592841,Front National,Front National
69291,Saint-Symphorien-d'Ozon,-0.34511240358936685,98.0,21.48,20.722809640929732,La République en marche,La République en marche
69245,Ternand,-0.346988405576204,99.0,16.72,16.497327777612977,La République en marche,Front National
69145,Odenas,-0.34894738417031645,100.0,17.81,17.153811792035,La République en marche,Front National
69160,Poule-les-Echarmeaux,-0.3583991542102653,101.0,18.99,19.445714979337694,Front National,Front National
69026,Le Breuil,-0.3688176167696118,102.0,20.16,17.119153929610587,La République en marche,La République en marche
69200,Saint-Forgeux,-0.3746176510139229,103.0,22.03,20.024421394204374,Front National,Front National
69166,Riverie,-0.3764741544806416,104.0,14.89,15.650208440604747,La République en marche,La République en marche
69007,Ampuis,-0.3789208344888619,105.0,18.94,18.868331442306445,La République en marche,La République en marche
69038,Chambost-Longessaigne,-0.3796023778184739,106.0,17.15,17.612188568552096,La République en marche,Front National
69285,Pusignan,-0.3822193256074218,107.0,20.89,20.94826153000145,Front National,Front National
69170,Rontalon,-0.38435936576054247,108.0,17.69,17.441227708956912,Front National,Front National
69023,Blacé,-0.38528055187204324,109.0,16.19,15.614306030782018,La République en marche,La République en marche
69218,Saint-Lager,-0.3858144964080724,110.0,24.09,20.485992009160885,Front National,Front National
69163,Quincieux,-0.3873216039420284,111.0,17.0,17.527140749578486,Front National,La République en marche
69017,Bagnols,-0.38870645363471823,112.0,15.27,16.622442165394713,La République en marche,La République en marche
69278,Genay,-0.3904734872809709,113.0,20.6,20.899830663014956,La République en marche,La République en marche
69164,Ranchal,-0.3935235312368462,114.0,24.28,23.668264601672373,Front National,Front National
69111,Légny,-0.39889341885830776,115.0,15.74,16.622442165394713,La République en marche,La République en marche
69288,Saint-Laurent-de-Mure,-0.40168857905946814,116.0,22.18,21.61475374557524,Front National,Front National
69113,Létra,-0.4063904659638381,117.0,14.83,17.252911405813997,La République en marche,Front National
69184,Sainte-Catherine,-0.41163999291465597,118.0,15.15,16.719739695741055,La République en marche,Front National
69219,Saint-Laurent-d'Agny,-0.4165434255461777,119.0,18.65,17.776996655248965,La République en marche,La République en marche
69036,Cercié,-0.4214445945405683,120.0,19.39,18.351849268690916,Front National,Front National
69261,Vernay,-0.4251229116071407,121.0,14.55,15.06880895692405,La République en marche,Front National
69059,Civrieux-d'Azergues,-0.4303388585358686,122.0,15.86,16.033701689579093,La République en marche,La République en marche
69080,Echalas,-0.4326548793719539,123.0,16.64,15.924754330695945,Front National,La République en marche
69239,Saint-Vérand,-0.4334126279246671,124.0,18.1,17.846350034063953,La République en marche,La République en marche
69105,Lacenas,-0.4362456246781395,125.0,14.7,16.96519847435479,La République en marche,La République en marche
69215,Saint-Julien,-0.43855555593194856,126.0,17.77,16.734670451072066,La République en marche,La République en marche
69252,Trèves,-0.43880523351089734,127.0,23.32,19.194029754796468,La République en marche,Front National
69074,Denicé,-0.4416572107500324,128.0,13.73,14.460020365640345,La République en marche,La République en marche
69045,Charentay,-0.4451114500778819,129.0,16.83,17.393101912107156,Front National,Front National
69196,Saint-Didier-sur-Beaujeu,-0.4463022806164275,130.0,19.96,18.742135778750804,Front National,Front National
69067,Courzieu,-0.4500156166123908,131.0,24.11,23.012616954128827,La République en marche,Front National
69109,Lantignié,-0.4521913869642812,132.0,18.99,18.85023901268303,La République en marche,Front National
69108,Lancié,-0.4686165853919113,133.0,15.8,18.346050267447332,La République en marche,Front National
69055,Les Chères,-0.46933711830515296,134.0,16.21,16.710958500418638,La République en marche,La République en marche
69005,Ambérieux,-0.47727566204244104,135.0,14.74,15.61726465937385,Front National,Front National
69037,Chambost-Allières,-0.4779298145180244,136.0,16.67,18.301148116680746,Front National,Front National
69056,Chessy-les-Mines,-0.4821352463458726,137.0,15.29,16.246066564052192,La République en marche,La République en marche
69056,Chessy,-0.4821352463458726,137.0,15.29,16.246066564052192,La République en marche,La République en marche
69183,Saint-Bonnet-le-Troncy,-0.48280613661109656,138.0,17.24,19.345384305395836,Front National,Front National
69031,Brussieu,-0.48387144734514703,139.0,16.65,17.308149695209607,Front National,Front National
69178,Souzy,-0.4900639360764231,140.0,17.92,17.671603804991076,Front National,Front National
69051,Chaussan,-0.49265062112130376,141.0,13.34,15.516868799648643,La République en marche,La République en marche
69246,Theizé,-0.49799421465946947,142.0,13.7,15.456156465052572,La République en marche,La République en marche
69137,Montmelas-Saint-Sorlin,-0.501867399180743,143.0,12.01,15.790469030396062,La France insoumise,La République en marche
69061,Cogny,-0.5030730023480209,144.0,15.36,14.56324333033415,La République en marche,La République en marche
69042,La Chapelle-sur-Coise,-0.5163738415613143,145.0,13.39,15.531288276014081,Front National,Front National
69090,Frontenas,-0.5164202066430151,146.0,20.11,17.411617730873093,La République en marche,La République en marche
69231,Saint-Pierre-la-Palud,-0.5195598785400257,147.0,21.78,20.638028108406886,La République en marche,La République en marche
69297,Ternay,-0.5201094356976366,148.0,20.53,20.35933333112628,La République en marche,La République en marche
69121,Lozanne,-0.5213177167712723,149.0,17.32,17.426719356451258,La République en marche,La République en marche
69260,Vernaison,-0.5220520223381974,150.0,18.13,18.182251534769254,La République en marche,La République en marche
69174,Les Sauvages,-0.5241539431403355,151.0,20.98,19.175835811935286,La République en marche,Front National
69182,Saint-Bonnet-des-Bruyères,-0.5248450485841867,152.0,20.73,19.89047130356166,Front National,Front National
69187,Saint-Clément-les-Places,-0.5273006052396851,153.0,14.75,15.278751448069402,La République en marche,Front National
69065,Corcelles-en-Beaujolais,-0.5275670953174868,154.0,21.43,19.50514189505899,Front National,Front National
69053,Chénas,-0.5433309456462336,155.0,21.19,18.294951870582267,La République en marche,Front National
69240,Saint-Vincent-de-Reins,-0.5435683196417921,156.0,24.07,23.817196548815115,Front National,Front National
69085,Fleurieu-sur-Saône,-0.5442064775473012,157.0,17.05,16.345202591236152,La République en marche,La République en marche
69030,Brullioles,-0.5443876352624001,158.0,18.89,18.346713365091954,La République en marche,Front National
69198,Saint-Etienne-la-Varenne,-0.5476868392702564,159.0,17.08,17.05913298622649,Front National,Front National
69012,Les Ardillats,-0.5610210553780899,160.0,15.45,15.39728540155203,La République en marche,Front National
69209,Saint-Igny-de-Vers,-0.5669769460321898,161.0,25.62,24.73592140702672,Front National,Front National
69253,Tupin-et-Semons,-0.567567020484211,162.0,20.5,18.00865233483991,Front National,La République en marche
69229,Saint-Nizier-d'Azergues,-0.5733581201663839,163.0,21.88,21.759777688516316,Front National,Front National
69125,Marcilly-d'Azergues,-0.5749823891518,164.0,14.7,14.779628243911693,La République en marche,La République en marche
69020,Belmont-d'Azergues,-0.596830204611017,165.0,11.58,13.893875760869427,La République en marche,La République en marche
69004,Alix,-0.6032396542511806,166.0,15.53,14.77971975462062,La République en marche,La République en marche
69296,Solaize,-0.6099803761100606,167.0,17.16,17.69728854583364,La République en marche,La République en marche
69022,Bibost,-0.6110721967839073,168.0,16.1,16.31727450325306,Front National,Front National
69008,Ancy,-0.6163217237347245,169.0,14.37,16.111430087592144,Front National,Front National
69131,Messimy,-0.6279391016546081,170.0,16.84,16.971355012911626,La République en marche,La République en marche
69173,Sarcey,-0.631477047611465,171.0,18.12,17.498929744899858,La République en marche,La République en marche
69230,Sainte-Paule,-0.635131618785615,172.0,19.47,17.21902779656379,La République en marche,Front National
69104,Jullié,-0.6445690402194483,173.0,15.79,16.32616598711178,La République en marche,Front National
69126,Marcy,-0.6603674345961119,174.0,14.82,15.409908153246747,La République en marche,La République en marche
69283,Mions,-0.6716173914059511,175.0,20.4,20.295488040931335,La République en marche,La République en marche
69082,Emeringes,-0.6782901945364676,176.0,13.85,14.71345615397392,La République en marche,Front National
69233,Saint-Romain-au-Mont-d'Or,-0.6814800132766503,177.0,15.49,14.888373325380845,La République en marche,La République en marche
69295,Simandres,-0.6841347000358452,178.0,14.18,14.916569906839552,Front National,La République en marche
69280,Jons,-0.685428048627525,179.0,22.66,20.789868840075158,Front National,La République en marche
69047,Charnay,-0.688009193775446,180.0,15.94,14.391042579093588,La République en marche,La République en marche
69132,Meys,-0.6960305834917551,181.0,16.58,17.09337089470631,Front National,Front National
69071,Curis-au-Mont-d'Or,-0.7025620012377184,182.0,13.45,14.149342123063233,La République en marche,La République en marche
69172,Salles-Arbuissonnas-en-Beaujolais,-0.7055728454339236,183.0,17.35,18.00477070004897,La République en marche,Front National
69265,Ville-sur-Jarnioux,-0.7076503110540348,184.0,12.52,14.056365381766595,La République en marche,La République en marche
69057,Chevinay,-0.7105393179112507,185.0,17.82,17.893312074256766,La République en marche,Front National
69217,Saint-Just-d'Avray,-0.7219399416972881,186.0,18.59,17.267907376265516,La République en marche,Front National
69258,Vauxrenard,-0.7369778427416361,187.0,14.93,15.152213633760114,La République en marche,Front National
69155,Pomeys,-0.7392377011270224,188.0,16.77,16.372706988658965,La République en marche,Front National
69075,Dième,-0.7489896456369601,189.0,10.94,13.006968279696016,Front National,Front National
69001,Affoux,-0.7584460948037363,190.0,18.99,18.791226015623952,Front National,Front National
69130,Meaux-la-Montagne,-0.7698486696662167,191.0,13.61,15.24115566842795,Front National,Front National
69058,Chiroubles,-0.7751786016663124,192.0,17.84,17.68773104481015,La République en marche,Front National
69272,Communay,-0.7759833929973117,193.0,16.9,17.212808550522976,La République en marche,La République en marche
69106,Lachassagne,-0.7823107008671678,194.0,11.44,13.523494082961214,La République en marche,La République en marche
69212,Saint-Jean-des-Vignes,-0.7863628302661766,195.0,16.88,15.99711860015527,La République en marche,La République en marche
69179,Beauvallon,-0.7985350939981404,196.0,16.43,16.985302744117043,La République en marche,La République en marche
69179,Saint-Andéol-le-Château,-0.7985350939981404,196.0,16.43,16.985302744117043,La République en marche,La République en marche
69138,Montromant,-0.8079066124425183,197.0,15.8,16.05421625790279,La République en marche,Front National
69141,Mornant,-0.8387846672327005,198.0,18.53,18.443564497293607,La République en marche,La République en marche
69068,Couzon-au-Mont-d'Or,-0.8482887673338095,199.0,19.38,18.958102001551897,La République en marche,La République en marche
69136,Montagny,-0.8644226005034028,200.0,16.1,16.437478189062023,La République en marche,La République en marche
69176,Soucieu-en-Jarrest,-0.8839658298681036,201.0,18.75,18.102237123599483,La République en marche,La République en marche
69083,Eveux,-0.8860869155735906,202.0,12.69,13.876938536809064,La République en marche,La République en marche
69186,Saint-Clément-de-Vers,-0.8907797812931552,203.0,18.46,18.898014583791625,Front National,Front National
69094,Grézieu-la-Varenne,-0.9317378172334189,204.0,18.87,18.413896361417176,La République en marche,La République en marche
69225,Saint-Marcel-l'Eclairé,-0.9362444370858948,205.0,16.92,16.516418146184375,La République en marche,Front National
69250,La Tour-de-Salvagny,-0.9461360127097973,206.0,14.15,14.332378488879872,La République en marche,La République en marche
69050,Châtillon,-0.955855574587166,207.0,19.42,18.026953353520163,La République en marche,La République en marche
69153,Poleymieux-au-Mont-d'Or,-0.9560230824503999,208.0,12.29,13.381841678847803,La République en marche,La République en marche
69193,Saint-Cyr-sur-le-Rhône,-0.9686880101823112,209.0,15.4,15.54276043858334,La République en marche,La République en marche
69069,Craponne,-0.9717100859021399,210.0,20.04,20.592339784373284,La République en marche,La République en marche
69241,Taluyers,-0.995807520470766,211.0,17.31,16.250243261988437,La République en marche,La République en marche
69249,Thurins,-1.0092056153165407,212.0,17.11,17.072171096815207,La République en marche,La République en marche
69054,Chénelette,-1.0104804857646463,213.0,15.97,14.941332436984093,Front National,Front National
69271,Chassieu,-1.0114074053652171,214.0,19.79,19.720694276022734,La République en marche,La République en marche
69255,Vaugneray,-1.0131966463996225,215.0,17.52,17.86917831479218,La République en marche,La République en marche
69177,Sourcieux-les-Mines,-1.02089565821252,216.0,15.92,15.327033387463326,La République en marche,La République en marche
69035,Cenves,-1.0982910797715055,217.0,18.45,17.317615210081186,La République en marche,Front National
69134,Moiré,-1.1128963346457772,218.0,17.1,15.677994782036588,La République en marche,La République en marche
69180,Saint-André-la-Côte,-1.142956354066902,219.0,14.81,15.360257634629498,La République en marche,La République en marche
69027,Brignais,-1.1470732930486816,220.0,23.21,22.269043428596742,La République en marche,La République en marche
69282,Meyzieu,-1.2129641804132034,221.0,26.48,26.26801939013998,La France insoumise,La France insoumise
69205,Saint-Genis-les-Ollières,-1.2678885292358586,222.0,15.42,15.21204854528085,La République en marche,La République en marche
69279,Jonage,-1.3175637592253322,223.0,18.35,18.42101279378952,La République en marche,La République en marche
69289,Saint-Pierre-de-Chandieu,-1.329671985362471,224.0,19.36,18.89988225793513,Front National,La République en marche
69154,Pollionnay,-1.3738432837453045,225.0,14.17,15.013945708660206,La République en marche,La République en marche
69089,Francheville,-1.3800742234790406,226.0,17.44,17.99657243732531,La République en marche,La République en marche
69127,Marcy-l'Etoile,-1.4812261271571436,227.0,16.43,16.403666605523654,La République en marche,La République en marche
69016,Azolette,-1.4966255305756067,228.0,21.54,21.481129688851684,La République en marche,Front National
69190,Sainte-Consorce,-1.5384593507842843,229.0,16.98,15.954491096243821,La République en marche,La République en marche
69140,Morancé,-1.559380746329051,230.0,13.79,14.245355242014982,La République en marche,La République en marche
69298,Toussieu,-1.5972910284993145,231.0,16.88,16.808173723372146,La République en marche,La République en marche
69208,Saint-Germain-sur-l'Arbresle,-1.6093350910050899,232.0,13.25,13.792277455743415,La République en marche,La République en marche
69208,Saint-Germain-Nuelles,-1.6093350910050899,232.0,13.25,13.792277455743415,La République en marche,La République en marche
69192,Saint-Cyr-le-Chatoux,-1.6348456668711777,233.0,5.34,6.108736300607604,La République en marche,La République en marche
69086,Fleurieux-sur-l'Arbresle,-1.6808437933749116,234.0,15.77,15.85403220393484,La République en marche,La République en marche
69122,Lucenay,-1.6852812679465745,235.0,14.16,14.65554193453349,La République en marche,La République en marche
69052,Chazay-d'Azergues,-1.6853097213455612,236.0,17.52,16.808766669494123,La République en marche,La République en marche
69148,Orliénas,-1.6904219346291987,237.0,14.95,15.584086749995427,La République en marche,La République en marche
69287,Saint-Bonnet-de-Mure,-1.7208174025151268,238.0,18.76,18.825323788706097,La République en marche,La République en marche
69156,Pommiers,-1.7301937885247431,239.0,15.93,15.643551013561876,La République en marche,La République en marche
69072,Dardilly,-1.7613829924652573,240.0,18.73,18.496643810849484,La République en marche,La République en marche
69270,Chaponnay,-1.7640741355735432,241.0,16.5,16.148085451417746,La République en marche,La République en marche
69133,Millery,-1.8248293007005152,242.0,15.54,16.09326638753271,La République en marche,La République en marche
69204,Saint-Genis-Laval,-1.8258880249711291,243.0,19.43,19.96578038085584,La République en marche,La République en marche
69028,Brindas,-1.827777277715423,244.0,15.95,16.270819180736915,La République en marche,La République en marche
69081,Ecully,-1.89193508493639,245.0,19.53,19.387743346720555,La République en marche,La République en marche
69268,Vourles,-2.0987557202660887,246.0,16.14,16.31333930101042,La République en marche,La République en marche
69284,Montanay,-2.11802517598638,247.0,14.59,14.84001429902019,La République en marche,La République en marche
69277,Genas,-2.13285345587985,248.0,18.68,18.59271942810668,La République en marche,La République en marche
69112,Lentilly,-2.1523464448890137,249.0,16.81,16.509297396923184,La République en marche,La République en marche
69043,Chaponost,-2.201169194281195,250.0,17.23,17.221401685434042,La République en marche,La République en marche
69049,Chasselay,-2.236559181559461,251.0,18.92,18.035346926578463,La République en marche,La République en marche
69117,Lissieu,-2.253289466561485,252.0,16.82,16.198419189455525,La République en marche,La République en marche
69293,Sathonay-Village,-2.5066759231791833,253.0,15.12,15.06765138066453,La République en marche,La République en marche
69046,Charly,-2.535244643114088,254.0,13.75,14.449684192453729,La République en marche,La République en marche
69116,Limonest,-2.5353025372598323,255.0,15.56,15.85376269388388,La République en marche,La République en marche
69087,Fontaines-Saint-Martin,-2.5656497271459813,256.0,16.85,16.1838937352589,La République en marche,La République en marche
69033,Cailloux-sur-Fontaines,-2.634143036901624,257.0,14.56,14.84426926108407,La République en marche,La République en marche
69076,Dommartin,-2.921237222678518,258.0,13.37,13.814017505464303,La République en marche,La République en marche
69044,Charbonnières-les-Bains,-2.962289338139466,259.0,14.01,14.415621434145258,La République en marche,La République en marche
69063,Collonges-au-Mont-d'Or,-2.979104024305155,260.0,17.8,17.697804777342622,La République en marche,La République en marche
69202,Sainte-Foy-lès-Lyon,-3.994445541151111,261.0,17.29,17.538827545423587,La République en marche,La République en marche
69034,Caluire-et-Cuire,-4.305036976140985,262.0,22.17,22.038351831181057,La République en marche,La République en marche
69191,Saint-Cyr-au-Mont-d'Or,-4.4005960200981455,263.0,18.41,18.0522652325977,La République en marche,La République en marche
69244,Tassin-la-Demi-Lune,-4.695423557660979,264.0,19.74,19.006740605140774,La République en marche,La République en marche
69194,Saint-Didier-au-Mont-d'Or,-4.790963904965907,265.0,16.51,16.31636453062781,La République en marche,La République en marche
69101,Jarnioux,,,,,,
69114,Liergues,,,,,,
69128,Mardore,,,,,,
69129,Marnand,,,,,,
69144,Nuelles,,,,,,
69146,Oingt,,,,,,
69147,Les Olmes,,,,,,
69015,Avenas,,,,,,
69150,Ouroux,,,,,,
69152,Pierre-Bénite,,,,,,
69158,Pont-Trambouze,,,,,,
69159,Pouilly-le-Monial,,,,,,
69185,Saint-Christophe,,,,,,
69195,Saint-Didier-sous-Riverie,,,,,,
69210,Saint-Jacques-des-Arrêts,,,,,,
69211,Saint-Jean-d'Ardières,,,,,,
69213,Saint-Jean-de-Touslas,,,,,,
