code_departement;libelle_departement;code_commune;libelle_commune;annee_election;tour;inscrits;abstentions;votants;blancs;nuls;blancs_et_nuls;exprimes;pct_abs_ins;pct_vot_ins;pct_blancs_ins;pct_blancs_vot;pct_nuls_ins;pct_nuls_vot;pct_blancs_et_nuls_ins;pct_blancs_et_nuls_vot;pct_exprimes_ins;pct_exprimes_vot;numero_panneau;sexe;nom;prenom;voix;pct_voix_ins;pct_voix_exprimes;nuance;source_dataset;date_refresh
69;RHONE;108;Lancié;2012;2;574;85;489;37;0;37;452;14.81;85.19;6.45;7.57;0.0;0.0;6.45;7.57;78.75;92.43;1;M;HOLLANDE;François;179;31.18;39.6;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;108;Lancié;2012;2;574;85;489;37;0;37;452;14.81;85.19;6.45;7.57;0.0;0.0;6.45;7.57;78.75;92.43;2;M;SARKOZY;Nicolas;273;47.56;60.4;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;109;Lantignié;2012;2;602;65;537;38;0;38;499;10.8;89.2;6.31;7.08;0.0;0.0;6.31;7.08;82.89;92.92;1;M;HOLLANDE;François;173;28.74;34.67;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;109;Lantignié;2012;2;602;65;537;38;0;38;499;10.8;89.2;6.31;7.08;0.0;0.0;6.31;7.08;82.89;92.92;2;M;SARKOZY;Nicolas;326;54.15;65.33;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;110;Larajasse;2012;2;1396;189;1207;72;0;72;1135;13.54;86.46;5.16;5.97;0.0;0.0;5.16;5.97;81.3;94.03;1;M;HOLLANDE;François;345;24.71;30.4;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;110;Larajasse;2012;2;1396;189;1207;72;0;72;1135;13.54;86.46;5.16;5.97;0.0;0.0;5.16;5.97;81.3;94.03;2;M;SARKOZY;Nicolas;790;56.59;69.6;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;111;Légny;2012;2;428;50;378;24;0;24;354;11.68;88.32;5.61;6.35;0.0;0.0;5.61;6.35;82.71;93.65;1;M;HOLLANDE;François;163;38.08;46.05;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;111;Légny;2012;2;428;50;378;24;0;24;354;11.68;88.32;5.61;6.35;0.0;0.0;5.61;6.35;82.71;93.65;2;M;SARKOZY;Nicolas;191;44.63;53.95;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;112;Lentilly;2012;2;4100;664;3436;120;0;120;3316;16.2;83.8;2.93;3.49;0.0;0.0;2.93;3.49;80.88;96.51;1;M;HOLLANDE;François;1243;30.32;37.48;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;112;Lentilly;2012;2;4100;664;3436;120;0;120;3316;16.2;83.8;2.93;3.49;0.0;0.0;2.93;3.49;80.88;96.51;2;M;SARKOZY;Nicolas;2073;50.56;62.52;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;113;Létra;2012;2;559;76;483;27;0;27;456;13.6;86.4;4.83;5.59;0.0;0.0;4.83;5.59;81.57;94.41;1;M;HOLLANDE;François;193;34.53;42.32;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;113;Létra;2012;2;559;76;483;27;0;27;456;13.6;86.4;4.83;5.59;0.0;0.0;4.83;5.59;81.57;94.41;2;M;SARKOZY;Nicolas;263;47.05;57.68;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;114;Liergues;2012;2;1327;176;1151;69;0;69;1082;13.26;86.74;5.2;5.99;0.0;0.0;5.2;5.99;81.54;94.01;1;M;HOLLANDE;François;345;26.0;31.89;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;114;Liergues;2012;2;1327;176;1151;69;0;69;1082;13.26;86.74;5.2;5.99;0.0;0.0;5.2;5.99;81.54;94.01;2;M;SARKOZY;Nicolas;737;55.54;68.11;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;115;Limas;2012;2;3151;488;2663;143;0;143;2520;15.49;84.51;4.54;5.37;0.0;0.0;4.54;5.37;79.97;94.63;1;M;HOLLANDE;François;978;31.04;38.81;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;115;Limas;2012;2;3151;488;2663;143;0;143;2520;15.49;84.51;4.54;5.37;0.0;0.0;4.54;5.37;79.97;94.63;2;M;SARKOZY;Nicolas;1542;48.94;61.19;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;116;Limonest;2012;2;2311;230;2081;74;0;74;2007;9.95;90.05;3.2;3.56;0.0;0.0;3.2;3.56;86.85;96.44;1;M;HOLLANDE;François;541;23.41;26.96;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;116;Limonest;2012;2;2311;230;2081;74;0;74;2007;9.95;90.05;3.2;3.56;0.0;0.0;3.2;3.56;86.85;96.44;2;M;SARKOZY;Nicolas;1466;63.44;73.04;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;117;Lissieu;2012;2;2437;304;2133;77;0;77;2056;12.47;87.53;3.16;3.61;0.0;0.0;3.16;3.61;84.37;96.39;1;M;HOLLANDE;François;612;25.11;29.77;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;117;Lissieu;2012;2;2437;304;2133;77;0;77;2056;12.47;87.53;3.16;3.61;0.0;0.0;3.16;3.61;84.37;96.39;2;M;SARKOZY;Nicolas;1444;59.25;70.23;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
