code_departement;libelle_departement;code_commune;libelle_commune;annee_election;tour;inscrits;abstentions;votants;blancs;nuls;blancs_et_nuls;exprimes;pct_abs_ins;pct_vot_ins;pct_blancs_ins;pct_blancs_vot;pct_nuls_ins;pct_nuls_vot;pct_blancs_et_nuls_ins;pct_blancs_et_nuls_vot;pct_exprimes_ins;pct_exprimes_vot;numero_panneau;sexe;nom;prenom;voix;pct_voix_ins;pct_voix_exprimes;nuance;source_dataset;date_refresh
69;RHONE;001;Affoux;2017;2;257;39;218;20;7;27;191;15.18;84.82;7.78;9.17;2.72;3.21;10.51;12.39;74.32;87.61;1;M;MACRON;Emmanuel;93;36.19;48.69;REM;2017-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:51
69;RHONE;001;Affoux;2017;2;257;39;218;20;7;27;191;15.18;84.82;7.78;9.17;2.72;3.21;10.51;12.39;74.32;87.61;2;F;LE PEN;Marine;98;38.13;51.31;FN;2017-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:51
69;RHONE;002;Aigueperse;2017;2;224;51;173;13;11;24;149;22.77;77.23;5.8;7.51;4.91;6.36;10.71;13.87;66.52;86.13;1;M;MACRON;Emmanuel;84;37.5;56.38;REM;2017-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:51
69;RHONE;002;Aigueperse;2017;2;224;51;173;13;11;24;149;22.77;77.23;5.8;7.51;4.91;6.36;10.71;13.87;66.52;86.13;2;F;LE PEN;Marine;65;29.02;43.62;FN;2017-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:51
69;RHONE;003;Albigny-sur-Saône;2017;2;1665;402;1263;110;26;136;1127;24.14;75.86;6.61;8.71;1.56;2.06;8.17;10.77;67.69;89.23;1;M;MACRON;Emmanuel;775;46.55;68.77;REM;2017-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:51
69;RHONE;003;Albigny-sur-Saône;2017;2;1665;402;1263;110;26;136;1127;24.14;75.86;6.61;8.71;1.56;2.06;8.17;10.77;67.69;89.23;2;F;LE PEN;Marine;352;21.14;31.23;FN;2017-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:51
69;RHONE;004;Alix;2017;2;455;95;360;42;4;46;314;20.88;79.12;9.23;11.67;0.88;1.11;10.11;12.78;69.01;87.22;1;M;MACRON;Emmanuel;204;44.84;64.97;REM;2017-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:51
69;RHONE;004;Alix;2017;2;455;95;360;42;4;46;314;20.88;79.12;9.23;11.67;0.88;1.11;10.11;12.78;69.01;87.22;2;F;LE PEN;Marine;110;24.18;35.03;FN;2017-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:51
69;RHONE;005;Ambérieux;2017;2;420;69;351;35;10;45;306;16.43;83.57;8.33;9.97;2.38;2.85;10.71;12.82;72.86;87.18;1;M;MACRON;Emmanuel;136;32.38;44.44;REM;2017-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:51
69;RHONE;005;Ambérieux;2017;2;420;69;351;35;10;45;306;16.43;83.57;8.33;9.97;2.38;2.85;10.71;12.82;72.86;87.18;2;F;LE PEN;Marine;170;40.48;55.56;FN;2017-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:51
