code_insee;nom_standard;typecom;typecom_texte;reg_code;reg_nom;dep_code;dep_nom;canton_code;canton_nom;epci_code;epci_nom;academie_code;academie_nom;code_postal;codes_postaux;zone_emploi;code_insee_centre_zone_emploi;code_unite_urbaine;nom_unite_urbaine;taille_unite_urbaine;type_commune_unite_urbaine;statut_commune_unite_urbaine;population;superficie_hectare;superficie_km2;densite;altitude_moyenne;altitude_minimale;altitude_maximale;latitude_mairie;longitude_mairie;latitude_centre;longitude_centre;grille_densite;grille_densite_texte;niveau_equipements_services;niveau_equipements_services_texte;gentile;extraction_source_url;ingestion_timestamp;source_file_name
69047;Charnay;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6904;Val d'Oingt;200040574;CC Beaujolais Pierres Dorées;10;Lyon;69380;69380;08421;69123;00760;Lyon;7;UNITE URBAINE;B;1039;728;7;143;348;206;446;45.891;4.668;45.891;4.661;6;Rural à habitat dispersé;1;centres locaux d'équipements et de services;Charnaysiens, Charnaysiennes;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69049;Chasselay;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6901;Anse;200040574;CC Beaujolais Pierres Dorées;10;Lyon;69380;69380;08421;69123;00760;Lyon;7;UNITE URBAINE;B;2828;1289;13;219;262;189;524;45.874;4.772;45.875;4.771;4;Ceintures urbaines;1;centres locaux d'équipements et de services;Chasselois, Chasseloises;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69050;Châtillon;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6904;Val d'Oingt;200040574;CC Beaujolais Pierres Dorées;10;Lyon;69380;69380;08421;69123;69000;;0;HORS UNITE URBAINE;H;2115;1077;11;196;260;199;334;45.877;4.645;45.871;4.642;4;Ceintures urbaines;1;centres locaux d'équipements et de services;Châtillonnais;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69051;Chaussan;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6908;Mornant;246900740;CC du Pays Mornantais (COPAMO);10;Lyon;69440;69440;08421;69123;69000;;0;HORS UNITE URBAINE;H;1208;793;8;152;537;378;753;45.633;4.639;45.638;4.634;3;Petites villes;0;communes non pôle;;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69052;Chazay-d'Azergues;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6901;Anse;200040574;CC Beaujolais Pierres Dorées;10;Lyon;69380;69380;08421;69123;00760;Lyon;7;UNITE URBAINE;B;4164;594;6;701;212;179;311;45.874;4.71;45.876;4.709;4;Ceintures urbaines;2;centres intermédiaires d'équipements et de services;Chazéens;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69053;Chénas;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6903;Belleville-en-Beaujolais;200067817;CC Saône-Beaujolais;10;Lyon;69840;69840;08434;69264;00554;Mâcon;5;UNITE URBAINE;B;538;819;8;66;332;215;515;46.212;4.72;46.216;4.708;6;Rural à habitat dispersé;0;communes non pôle;Chénaillons;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69054;Chénelette;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6911;Thizy-les-Bourgs;200040566;CA de l'Ouest Rhodanien;10;Lyon;69430;69430;08430;69243;69000;;0;HORS UNITE URBAINE;H;361;1101;11;33;704;552;940;46.166;4.491;46.169;4.491;6;Rural à habitat dispersé;0;communes non pôle;;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69055;Les Chères;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6901;Anse;200040574;CC Beaujolais Pierres Dorées;10;Lyon;69380;69380;08421;69123;00760;Lyon;7;UNITE URBAINE;B;1506;553;6;272;190;176;212;45.89;4.743;45.893;4.743;4;Ceintures urbaines;1;centres locaux d'équipements et de services;Chérois, Chéroise;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69056;Chessy;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6904;Val d'Oingt;200040574;CC Beaujolais Pierres Dorées;10;Lyon;69380;69380;08421;69123;69301;Val d'Oingt;3;UNITE URBAINE;C;2069;451;5;459;265;211;342;45.887;4.622;45.891;4.616;5;Bourgs ruraux;1;centres locaux d'équipements et de services;Cassissiens;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69057;Chevinay;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6902;L'Arbresle;246900625;CC du Pays de l'Arbresle (CCPA);10;Lyon;69210;69210;08421;69123;69000;;0;HORS UNITE URBAINE;H;587;870;9;67;450;245;760;45.77;4.608;45.774;4.597;6;Rural à habitat dispersé;0;communes non pôle;;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
