bureau_id;Code du département;Libellé du département;Code de la circonscription;Libellé de la circonscription;Code de la commune;Libellé de la commune;Code du b.vote;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;extraction_source_url;ingestion_timestamp;source_file_name
69_06_266_0078;69;Rhône;06;6ème circonscription;266;Villeurbanne;0078;1126;317;28.15;809;71.85;8;0.71;0.99;3;0.27;0.37;798;70.87;98.64;https://static.data.gouv.fr/resources/election-presidentielle-des-10-et-24-avril-2022-resultats-definitifs-du-1er-tour/20220414-152612/resultats-par-niveau-burvot-t1-france-entiere.xlsx;2026-03-07T20:42:59.836472;burvot_t1_france_entiere.xlsx
69_06_266_0079;69;Rhône;06;6ème circonscription;266;Villeurbanne;0079;711;262;36.85;449;63.15;7;0.98;1.56;1;0.14;0.22;441;62.03;98.22;https://static.data.gouv.fr/resources/election-presidentielle-des-10-et-24-avril-2022-resultats-definitifs-du-1er-tour/20220414-152612/resultats-par-niveau-burvot-t1-france-entiere.xlsx;2026-03-07T20:42:59.836472;burvot_t1_france_entiere.xlsx
69_06_266_0080;69;Rhône;06;6ème circonscription;266;Villeurbanne;0080;700;176;25.14;524;74.86;6;0.86;1.15;2;0.29;0.38;516;73.71;98.47;https://static.data.gouv.fr/resources/election-presidentielle-des-10-et-24-avril-2022-resultats-definitifs-du-1er-tour/20220414-152612/resultats-par-niveau-burvot-t1-france-entiere.xlsx;2026-03-07T20:42:59.836472;burvot_t1_france_entiere.xlsx
69_09_267_0001;69;Rhône;09;9ème circonscription;267;Villié-Morgon;0001;859;173;20.14;686;79.86;11;1.28;1.6;2;0.23;0.29;673;78.35;98.1;https://static.data.gouv.fr/resources/election-presidentielle-des-10-et-24-avril-2022-resultats-definitifs-du-1er-tour/20220414-152612/resultats-par-niveau-burvot-t1-france-entiere.xlsx;2026-03-07T20:42:59.836472;burvot_t1_france_entiere.xlsx
69_09_267_0002;69;Rhône;09;9ème circonscription;267;Villié-Morgon;0002;871;167;19.17;704;80.83;9;1.03;1.28;1;0.11;0.14;694;79.68;98.58;https://static.data.gouv.fr/resources/election-presidentielle-des-10-et-24-avril-2022-resultats-definitifs-du-1er-tour/20220414-152612/resultats-par-niveau-burvot-t1-france-entiere.xlsx;2026-03-07T20:42:59.836472;burvot_t1_france_entiere.xlsx
69_10_268_0001;69;Rhône;10;10ème circonscription;268;Vourles;0001;816;141;17.28;675;82.72;11;1.35;1.63;5;0.61;0.74;659;80.76;97.63;https://static.data.gouv.fr/resources/election-presidentielle-des-10-et-24-avril-2022-resultats-definitifs-du-1er-tour/20220414-152612/resultats-par-niveau-burvot-t1-france-entiere.xlsx;2026-03-07T20:42:59.836472;burvot_t1_france_entiere.xlsx
69_10_268_0002;69;Rhône;10;10ème circonscription;268;Vourles;0002;963;156;16.2;807;83.8;15;1.56;1.86;3;0.31;0.37;789;81.93;97.77;https://static.data.gouv.fr/resources/election-presidentielle-des-10-et-24-avril-2022-resultats-definitifs-du-1er-tour/20220414-152612/resultats-par-niveau-burvot-t1-france-entiere.xlsx;2026-03-07T20:42:59.836472;burvot_t1_france_entiere.xlsx
69_10_268_0003;69;Rhône;10;10ème circonscription;268;Vourles;0003;954;144;15.09;810;84.91;8;0.84;0.99;1;0.1;0.12;801;83.96;98.89;https://static.data.gouv.fr/resources/election-presidentielle-des-10-et-24-avril-2022-resultats-definitifs-du-1er-tour/20220414-152612/resultats-par-niveau-burvot-t1-france-entiere.xlsx;2026-03-07T20:42:59.836472;burvot_t1_france_entiere.xlsx
69_10_269_0001;69;Rhône;10;10ème circonscription;269;Yzeron;0001;763;111;14.55;652;85.45;13;1.7;1.99;1;0.13;0.15;638;83.62;97.85;https://static.data.gouv.fr/resources/election-presidentielle-des-10-et-24-avril-2022-resultats-definitifs-du-1er-tour/20220414-152612/resultats-par-niveau-burvot-t1-france-entiere.xlsx;2026-03-07T20:42:59.836472;burvot_t1_france_entiere.xlsx
69_11_270_0001;69;Rhône;11;11ème circonscription;270;Chaponnay;0001;1119;210;18.77;909;81.23;15;1.34;1.65;4;0.36;0.44;890;79.54;97.91;https://static.data.gouv.fr/resources/election-presidentielle-des-10-et-24-avril-2022-resultats-definitifs-du-1er-tour/20220414-152612/resultats-par-niveau-burvot-t1-france-entiere.xlsx;2026-03-07T20:42:59.836472;burvot_t1_france_entiere.xlsx
