code_departement;libelle_departement;code_commune;libelle_commune;annee_election;tour;inscrits;abstentions;votants;blancs;nuls;exprimes;pct_abs_ins;pct_vot_ins;pct_blancs_ins;pct_blancs_vot;pct_nuls_ins;pct_nuls_vot;pct_exprimes_ins;pct_exprimes_vot;numero_panneau;sexe;nom;prenom;voix;pct_voix_ins;pct_voix_exprimes;nuance;source_dataset;date_refresh
69;Rhône;013;Arnas;2022;2;2846;656;2190;131;37;2022;23.05;76.95;4.6;5.98;1.3;1.69;71.05;92.33;1;M;MACRON;Emmanuel;1125;39.53;55.64;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;013;Arnas;2022;2;2846;656;2190;131;37;2022;23.05;76.95;4.6;5.98;1.3;1.69;71.05;92.33;2;F;LE PEN;Marine;897;31.52;44.36;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;014;Aveize;2022;2;799;145;654;27;17;610;18.15;81.85;3.38;4.13;2.13;2.6;76.35;93.27;1;M;MACRON;Emmanuel;355;44.43;58.2;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;014;Aveize;2022;2;799;145;654;27;17;610;18.15;81.85;3.38;4.13;2.13;2.6;76.35;93.27;2;F;LE PEN;Marine;255;31.91;41.8;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;016;Azolette;2022;2;130;29;101;8;1;92;22.31;77.69;6.15;7.92;0.77;0.99;70.77;91.09;1;M;MACRON;Emmanuel;49;37.69;53.26;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;016;Azolette;2022;2;130;29;101;8;1;92;22.31;77.69;6.15;7.92;0.77;0.99;70.77;91.09;2;F;LE PEN;Marine;43;33.08;46.74;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;017;Bagnols;2022;2;583;115;468;24;6;438;19.73;80.27;4.12;5.13;1.03;1.28;75.13;93.59;1;M;MACRON;Emmanuel;257;44.08;58.68;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;017;Bagnols;2022;2;583;115;468;24;6;438;19.73;80.27;4.12;5.13;1.03;1.28;75.13;93.59;2;F;LE PEN;Marine;181;31.05;41.32;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;018;Beaujeu;2022;2;1298;315;983;60;10;913;24.27;75.73;4.62;6.1;0.77;1.02;70.34;92.88;1;M;MACRON;Emmanuel;449;34.59;49.18;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;018;Beaujeu;2022;2;1298;315;983;60;10;913;24.27;75.73;4.62;6.1;0.77;1.02;70.34;92.88;2;F;LE PEN;Marine;464;35.75;50.82;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;019;Belleville-en-Beaujolais;2022;2;8451;2506;5945;319;78;5548;29.65;70.35;3.77;5.37;0.92;1.31;65.65;93.32;1;M;MACRON;Emmanuel;2988;35.36;53.86;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;019;Belleville-en-Beaujolais;2022;2;8451;2506;5945;319;78;5548;29.65;70.35;3.77;5.37;0.92;1.31;65.65;93.32;2;F;LE PEN;Marine;2560;30.29;46.14;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;020;Belmont-d'Azergues;2022;2;518;88;430;36;6;388;16.99;83.01;6.95;8.37;1.16;1.4;74.9;90.23;1;M;MACRON;Emmanuel;227;43.82;58.51;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;020;Belmont-d'Azergues;2022;2;518;88;430;36;6;388;16.99;83.01;6.95;8.37;1.16;1.4;74.9;90.23;2;F;LE PEN;Marine;161;31.08;41.49;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;021;Bessenay;2022;2;1676;354;1322;93;18;1211;21.12;78.88;5.55;7.03;1.07;1.36;72.26;91.6;1;M;MACRON;Emmanuel;727;43.38;60.03;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;021;Bessenay;2022;2;1676;354;1322;93;18;1211;21.12;78.88;5.55;7.03;1.07;1.36;72.26;91.6;2;F;LE PEN;Marine;484;28.88;39.97;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;022;Bibost;2022;2;411;80;331;19;2;310;19.46;80.54;4.62;5.74;0.49;0.6;75.43;93.66;1;M;MACRON;Emmanuel;171;41.61;55.16;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;022;Bibost;2022;2;411;80;331;19;2;310;19.46;80.54;4.62;5.74;0.49;0.6;75.43;93.66;2;F;LE PEN;Marine;139;33.82;44.84;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;023;Blacé;2022;2;1154;203;951;57;21;873;17.59;82.41;4.94;5.99;1.82;2.21;75.65;91.8;1;M;MACRON;Emmanuel;468;40.55;53.61;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;023;Blacé;2022;2;1154;203;951;57;21;873;17.59;82.41;4.94;5.99;1.82;2.21;75.65;91.8;2;F;LE PEN;Marine;405;35.1;46.39;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;024;Val d'Oingt;2022;2;3284;706;2578;160;45;2373;21.5;78.5;4.87;6.21;1.37;1.75;72.26;92.05;1;M;MACRON;Emmanuel;1492;45.43;62.87;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;024;Val d'Oingt;2022;2;3284;706;2578;160;45;2373;21.5;78.5;4.87;6.21;1.37;1.75;72.26;92.05;2;F;LE PEN;Marine;881;26.83;37.13;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;026;Le Breuil;2022;2;372;85;287;11;4;272;22.85;77.15;2.96;3.83;1.08;1.39;73.12;94.77;1;M;MACRON;Emmanuel;142;38.17;52.21;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;026;Le Breuil;2022;2;372;85;287;11;4;272;22.85;77.15;2.96;3.83;1.08;1.39;73.12;94.77;2;F;LE PEN;Marine;130;34.95;47.79;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;027;Brignais;2022;2;9156;2428;6728;405;114;6209;26.52;73.48;4.42;6.02;1.25;1.69;67.81;92.29;1;M;MACRON;Emmanuel;4225;46.14;68.05;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
