bureau_id;Code du département;Libellé du département;Code de la circonscription;Libellé de la circonscription;Code de la commune;Libellé de la commune;Code du b.vote;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;extraction_source_url;ingestion_timestamp;source_file_name
69_13_282_0013;69;Rhône;13;13ème circonscription;282;Meyzieu;0013;959;242;25.23;717;74.77;56;5.84;7.81;8;0.83;1.12;653;68.09;91.07;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_13_282_0014;69;Rhône;13;13ème circonscription;282;Meyzieu;0014;903;204;22.59;699;77.41;65;7.2;9.3;19;2.1;2.72;615;68.11;87.98;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_13_282_0015;69;Rhône;13;13ème circonscription;282;Meyzieu;0015;779;218;27.98;561;72.02;39;5.01;6.95;9;1.16;1.6;513;65.85;91.44;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_13_282_0016;69;Rhône;13;13ème circonscription;282;Meyzieu;0016;883;243;27.52;640;72.48;30;3.4;4.69;11;1.25;1.72;599;67.84;93.59;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_13_282_0017;69;Rhône;13;13ème circonscription;282;Meyzieu;0017;915;268;29.29;647;70.71;41;4.48;6.34;13;1.42;2.01;593;64.81;91.65;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_13_282_0018;69;Rhône;13;13ème circonscription;282;Meyzieu;0018;966;267;27.64;699;72.36;48;4.97;6.87;15;1.55;2.15;636;65.84;90.99;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_13_282_0019;69;Rhône;13;13ème circonscription;282;Meyzieu;0019;639;150;23.47;489;76.53;44;6.89;9.0;10;1.56;2.04;435;68.08;88.96;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_13_282_0020;69;Rhône;13;13ème circonscription;282;Meyzieu;0020;906;304;33.55;602;66.45;40;4.42;6.64;18;1.99;2.99;544;60.04;90.37;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_13_282_0021;69;Rhône;13;13ème circonscription;282;Meyzieu;0021;781;279;35.72;502;64.28;33;4.23;6.57;4;0.51;0.8;465;59.54;92.63;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_13_282_0022;69;Rhône;13;13ème circonscription;282;Meyzieu;0022;946;238;25.16;708;74.84;55;5.81;7.77;7;0.74;0.99;646;68.29;91.24;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
