commune_id;Code du département;Libellé du département;Code de la commune;Libellé de la commune;Etat saisie;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;extraction_source_url;ingestion_timestamp;source_file_name
69_022;69;Rhône;022;Bibost;Complet;411;80;19.46;331;80.54;19;4.62;5.74;2;0.49;0.6;310;75.43;93.66;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_023;69;Rhône;023;Blacé;Complet;1154;203;17.59;951;82.41;57;4.94;5.99;21;1.82;2.21;873;75.65;91.8;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_024;69;Rhône;024;Val d'Oingt;Complet;3284;706;21.5;2578;78.5;160;4.87;6.21;45;1.37;1.75;2373;72.26;92.05;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_026;69;Rhône;026;Le Breuil;Complet;372;85;22.85;287;77.15;11;2.96;3.83;4;1.08;1.39;272;73.12;94.77;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_027;69;Rhône;027;Brignais;Complet;9156;2428;26.52;6728;73.48;405;4.42;6.02;114;1.25;1.69;6209;67.81;92.29;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_028;69;Rhône;028;Brindas;Complet;4821;916;19.0;3905;81.0;230;4.77;5.89;46;0.95;1.18;3629;75.27;92.93;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_029;69;Rhône;029;Bron;Complet;23355;7515;32.18;15840;67.82;956;4.09;6.04;317;1.36;2.0;14567;62.37;91.96;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_030;69;Rhône;030;Brullioles;Complet;651;136;20.89;515;79.11;24;3.69;4.66;12;1.84;2.33;479;73.58;93.01;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_031;69;Rhône;031;Brussieu;Complet;975;215;22.05;760;77.95;51;5.23;6.71;9;0.92;1.18;700;71.79;92.11;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_032;69;Rhône;032;Bully;Complet;1576;327;20.75;1249;79.25;71;4.51;5.68;14;0.89;1.12;1164;73.86;93.19;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_033;69;Rhône;033;Cailloux-sur-Fontaines;Complet;2122;358;16.87;1764;83.13;65;3.06;3.68;9;0.42;0.51;1690;79.64;95.8;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_034;69;Rhône;034;Caluire-et-Cuire;Complet;30445;8028;26.37;22417;73.63;1207;3.96;5.38;305;1.0;1.36;20905;68.66;93.26;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_035;69;Rhône;035;Cenves;Complet;336;67;19.94;269;80.06;22;6.55;8.18;12;3.57;4.46;235;69.94;87.36;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_036;69;Rhône;036;Cercié;Complet;814;165;20.27;649;79.73;37;4.55;5.7;9;1.11;1.39;603;74.08;92.91;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_037;69;Rhône;037;Chambost-Allières;Complet;594;124;20.88;470;79.12;28;4.71;5.96;12;2.02;2.55;430;72.39;91.49;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_038;69;Rhône;038;Chambost-Longessaigne;Complet;694;148;21.33;546;78.67;53;7.64;9.71;9;1.3;1.65;484;69.74;88.64;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_039;69;Rhône;039;Chamelet;Complet;527;119;22.58;408;77.42;34;6.45;8.33;6;1.14;1.47;368;69.83;90.2;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
