CODGEO,NBMENFISC20,NBPERSMENFISC20,MED20,PIMP20,TP6020,TP60AGE120,TP60AGE220,TP60AGE320,TP60AGE420,TP60AGE520,TP60AGE620,TP60TOL120,TP60TOL220,PACT20,PTSA20,PCHO20,PBEN20,PPEN20,PPAT20,PPSOC20,PPFAM20,PPMINI20,PPLOGT20,PIMPOT20,D120,D920,RD20,year,extraction_source_url,ingestion_timestamp,source_file_name
69030,329,840,23820,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69031,522,1390,24770,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69032,826,2118,26340,"61,0",s,s,s,s,s,s,s,s,s,"82,6","74,5","2,6","5,5","21,6","9,1","3,3","1,8","1,1","0,4","-16,6",15560,39900,"2,6",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69033,1075,2936,32510,"76,0",s,s,s,s,s,s,s,s,s,"87,3","78,1","2,6","6,6","21,3","13,2","1,9","1,1","0,6","0,2","-23,7",19200,56060,"2,9",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69034,19697,41990,26440,"64,0","10,0","16,0","13,0","12,0","10,0","7,0","5,0","5,0","20,0","74,9","66,7","2,9","5,3","26,9","16,4","3,6","1,3","1,5","0,8","-21,8",13380,51520,"3,9",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69035,168,405,23620,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69036,429,1100,22910,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69037,352,819,22490,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69038,387,943,21060,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69039,302,708,22710,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69040,2715,5921,26420,"62,0","10,0",s,s,s,s,s,s,s,"20,0","75,2","69,0","2,9","3,3","28,8","11,8","4,4","1,6","1,9","0,9","-20,2",13390,50040,"3,7",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69042,206,546,24390,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69043,3527,8980,30220,"71,0","5,0",s,s,s,s,s,s,s,"15,0","77,9","70,9","2,3","4,7","27,5","14,6","2,6","1,3","0,9","0,4","-22,6",16350,54240,"3,3",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69044,2360,5719,35920,"73,0","5,0",s,s,s,s,s,s,s,"13,0","78,1","68,9","2,7","6,5","27,0","19,7","1,9","0,8","0,8","0,3","-26,7",17020,71840,"4,2",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69045,512,1240,24390,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69046,1881,4936,32310,"74,0",s,s,s,s,s,s,s,s,s,"82,5","74,9","2,6","5,0","25,0","13,0","2,0","1,1","0,6","0,3","-22,5",17870,58150,"3,3",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69047,397,933,31010,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69049,1091,2666,32090,"72,0",s,s,s,s,s,s,s,s,s,"75,0","67,8","2,0","5,2","26,6","19,1","1,6","0,9","0,4","0,3","-22,3",18020,57370,"3,2",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69050,901,2240,27600,"63,0",s,s,s,s,s,s,s,s,s,"79,1","72,3","2,9","3,9","25,5","11,4","3,0","1,5","1,1","0,4","-19,0",16650,46630,"2,8",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69051,455,1243,25810,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69052,1640,4143,30150,"69,0",s,s,s,s,s,s,s,s,s,"80,3","72,9","2,9","4,5","27,1","9,7","2,2","1,2","0,7","0,3","-19,3",18090,49920,"2,8",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69053,198,487,24410,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69054,168,364,23460,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69055,595,1462,26350,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69056,772,2045,26190,"65,0",s,s,s,s,s,s,s,s,s,"84,2","78,5","3,3","2,4","22,1","5,9","3,7","2,2","1,1","0,4","-15,9",16290,40300,"2,5",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69057,230,591,25820,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69058,169,394,21390,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69059,619,1586,27750,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69060,250,561,21420,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69061,479,1172,28110,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69062,299,799,22070,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69063,1797,4538,33020,"72,0","6,0",s,s,s,s,s,s,s,s,"79,0","69,7","2,4","6,9","21,5","24,0","2,1","0,9","0,8","0,4","-26,6",15720,69570,"4,4",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69064,1770,3787,22620,"51,0","11,0",s,s,s,s,s,s,s,"21,0","69,5","62,5","2,9","4,1","31,2","9,5","5,3","2,1","2,2","1,0","-15,5",13090,38430,"2,9",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69065,370,913,24140,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69066,2038,4183,20860,"38,0","15,0",s,s,s,s,s,s,s,"32,0","55,9","49,8","3,0","3,1","40,4","9,5","6,5","2,2","3,0","1,3","-12,3",11990,33190,"2,8",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69067,509,1136,21470,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69068,998,2412,27070,"62,0","9,0",s,s,s,s,s,s,s,s,"78,4","69,3","3,4","5,7","24,5","14,1","3,4","1,4","1,3","0,7","-20,4",13820,48460,"3,5",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69069,5322,12183,26620,"63,0","8,0",s,"10,0","9,0",s,s,s,"5,0","16,0","76,0","69,8","2,7","3,5","28,5","10,0","3,9","1,7","1,5","0,7","-18,4",14500,45100,"3,1",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69070,556,1286,21260,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69071,452,1198,31830,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69072,3339,8815,31830,"72,0","7,0",s,s,s,s,s,s,s,"18,0","82,0","74,6","2,7","4,7","24,3","15,5","2,7","1,2","1,0","0,5","-24,5",15500,61110,"3,9",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69074,609,1554,26530,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69075,67,188,23240,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69076,1007,2671,33820,"76,0",s,s,s,s,s,s,s,s,s,"82,6","76,1","2,3","4,2","23,4","17,8","1,4","0,7","0,5","0,2","-25,2",18900,66880,"3,5",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69077,397,1055,23610,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69078,312,806,23360,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69080,714,1890,26200,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69081,7285,16758,28350,"64,0","11,0","29,0","18,0","12,0","12,0",s,s,"5,0","22,0","70,7","63,4","2,5","4,8","31,1","18,4","3,6","1,5","1,4","0,7","-23,8",12840,59220,"4,6",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69082,105,233,24100,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69083,446,1159,29070,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69084,567,1240,22750,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69085,559,1452,29320,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69086,945,2431,29120,"73,0",s,s,s,s,s,s,s,s,s,"80,4","75,2","2,1","3,1","25,9","10,7","2,1","1,3","0,6","0,2","-19,1",18710,45580,"2,4",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69087,1094,2852,33010,"72,0",s,s,s,s,s,s,s,s,s,"85,3","77,3","2,4","5,6","24,3","13,4","2,1","1,2","0,6","0,3","-25,1",16570,60920,"3,7",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69088,3242,7175,24630,"59,0","10,0",s,"15,0","13,0",s,s,s,s,"19,0","78,2","70,6","2,9","4,7","26,5","9,3","4,5","1,9","1,7","0,9","-18,5",13390,43600,"3,3",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
