CODGEO,NBMENFISC20,NBPERSMENFISC20,MED20,PIMP20,TP6020,TP60AGE120,TP60AGE220,TP60AGE320,TP60AGE420,TP60AGE520,TP60AGE620,TP60TOL120,TP60TOL220,PACT20,PTSA20,PCHO20,PBEN20,PPEN20,PPAT20,PPSOC20,PPFAM20,PPMINI20,PPLOGT20,PIMPOT20,D120,D920,RD20,year,extraction_source_url,ingestion_timestamp,source_file_name
69001,136,330,24170,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69002,116,236,18990,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69003,1058,2485,25740,"62,0","9,0",s,s,s,s,s,s,s,"22,0","81,9","74,7","3,0","4,2","22,8","10,6","4,5","1,7","2,0","0,8","-19,8",13640,45910,"3,4",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69004,264,708,26980,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69005,212,574,24930,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69006,2178,4682,20520,"39,0","15,0",s,s,"19,0",s,s,s,"7,0","28,0","60,4","52,8","3,0","4,6","34,8","9,5","7,8","2,7","3,5","1,6","-12,5",12190,33080,"2,7",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69007,1162,2672,26050,"64,0",s,s,s,s,s,s,s,s,s,"83,2","66,2","2,7","14,3","22,6","13,2","2,5","1,2","0,9","0,4","-21,5",16230,45220,"2,8",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69008,212,514,23800,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69009,2988,7326,24000,"55,0","9,0",s,"12,0","10,0",s,s,s,s,"19,0","81,4","75,2","2,8","3,4","21,9","7,1","5,4","2,6","1,9","0,9","-15,8",13800,38830,"2,8",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69010,2751,6193,22640,"53,0","13,0",s,"17,0","14,0",s,s,s,s,"25,0","75,8","69,8","3,2","2,8","25,4","6,1","6,8","2,6","2,9","1,3","-14,1",12210,35700,"2,9",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69012,226,545,22800,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69013,1584,3961,24640,"56,0","8,0",s,s,s,s,s,s,s,s,"75,9","69,2","2,9","3,8","26,6","8,9","4,4","2,2","1,5","0,7","-15,8",14120,39060,"2,8",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69014,391,1005,22600,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69016,52,115,21550,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69017,303,757,24820,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69018,869,1742,20610,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69019,5660,13233,21500,"46,0","13,0",s,"15,0","14,0","11,0","10,0",s,"5,0","24,0","74,5","68,6","3,7","2,2","24,1","6,8","7,4","3,1","3,0","1,3","-12,8",12610,33780,"2,7",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69020,252,668,27360,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69021,955,2267,24210,"54,0",s,s,s,s,s,s,s,s,s,"73,1","63,8","3,5","5,8","26,5","12,5","3,5","1,9","1,1","0,5","-15,6",15350,38870,"2,5",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69022,194,466,23910,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69023,607,1546,25230,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69024,1777,4237,25760,"62,0","6,0",s,s,s,s,s,s,s,s,"74,0","66,2","2,4","5,4","30,0","9,9","3,4","1,8","1,1","0,5","-17,3",15280,41070,"2,7",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69026,181,488,26450,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69027,5255,12385,25810,"62,0","9,0",s,"12,0","11,0","8,0",s,s,s,"20,0","76,5","69,8","2,9","3,8","27,5","9,3","4,4","1,8","1,8","0,8","-17,7",13870,43860,"3,2",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69028,2602,6808,29020,"68,0","5,0",s,s,s,s,s,s,s,s,"81,9","75,9","2,4","3,6","21,3","14,5","2,7","1,4","0,9","0,4","-20,4",16490,49760,"3,0",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
69029,16958,39070,21330,"52,0","19,0","23,0","24,0","25,0","18,0","14,0","11,0","7,0","32,0","74,2","66,7","3,4","4,1","26,5","7,9","7,8","2,8","3,3","1,7","-16,4",10770,39060,"3,6",2020,https://www.insee.fr/fr/statistiques/fichier/6692220/indic-struct-distrib-revenu-2020-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2020
