Code du département;Libellé du département;Code de la commune;Libellé de la commune;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs et nuls;% BlNuls/Ins;% BlNuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Sexe_1;Nom_1;Prénom_1;Voix_1;% Voix/Ins_1;% Voix/Exp_1;Sexe_2;Nom_2;Prénom_2;Voix_2;% Voix/Ins_2;% Voix/Exp_2;source_sheet_name;extraction_source_url;ingestion_timestamp;source_file_name
69;RHONE;69;Craponne;6988;1081;15.47;5907;84.53;284;4.06;4.81;5623;80.47;95.19;M;HOLLANDE;François;2312;33.09;41.12;M;SARKOZY;Nicolas;3311;47.38;58.88;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;70;Cublize;889;144;16.2;745;83.8;50;5.62;6.71;695;78.18;93.29;M;HOLLANDE;François;264;29.7;37.99;M;SARKOZY;Nicolas;431;48.48;62.01;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;71;Curis-au-Mont-d'Or;764;114;14.92;650;85.08;34;4.45;5.23;616;80.63;94.77;M;HOLLANDE;François;232;30.37;37.66;M;SARKOZY;Nicolas;384;50.26;62.34;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;72;Dardilly;6366;1049;16.48;5317;83.52;167;2.62;3.14;5150;80.9;96.86;M;HOLLANDE;François;1779;27.95;34.54;M;SARKOZY;Nicolas;3371;52.95;65.46;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;73;Dareizé;368;35;9.51;333;90.49;20;5.43;6.01;313;85.05;93.99;M;HOLLANDE;François;93;25.27;29.71;M;SARKOZY;Nicolas;220;59.78;70.29;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;74;Denicé;1049;109;10.39;940;89.61;42;4;4.47;898;85.61;95.53;M;HOLLANDE;François;327;31.17;36.41;M;SARKOZY;Nicolas;571;54.43;63.59;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;75;Dième;118;15;12.71;103;87.29;7;5.93;6.8;96;81.36;93.2;M;HOLLANDE;François;28;23.73;29.17;M;SARKOZY;Nicolas;68;57.63;70.83;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;76;Dommartin;2078;224;10.78;1854;89.22;73;3.51;3.94;1781;85.71;96.06;M;HOLLANDE;François;501;24.11;28.13;M;SARKOZY;Nicolas;1280;61.6;71.87;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;77;Dracé;667;124;18.59;543;81.41;34;5.1;6.26;509;76.31;93.74;M;HOLLANDE;François;141;21.14;27.7;M;SARKOZY;Nicolas;368;55.17;72.3;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;78;Duerne;540;67;12.41;473;87.59;31;5.74;6.55;442;81.85;93.45;M;HOLLANDE;François;135;25;30.54;M;SARKOZY;Nicolas;307;56.85;69.46;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;80;Echalas;1109;138;12.44;971;87.56;90;8.12;9.27;881;79.44;90.73;M;HOLLANDE;François;364;32.82;41.32;M;SARKOZY;Nicolas;517;46.62;58.68;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;81;Ecully;12057;2195;18.21;9862;81.79;363;3.01;3.68;9499;78.78;96.32;M;HOLLANDE;François;3059;25.37;32.2;M;SARKOZY;Nicolas;6440;53.41;67.8;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;82;Emeringes;181;16;8.84;165;91.16;12;6.63;7.27;153;84.53;92.73;M;HOLLANDE;François;36;19.89;23.53;M;SARKOZY;Nicolas;117;64.64;76.47;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;83;Eveux;810;75;9.26;735;90.74;37;4.57;5.03;698;86.17;94.97;M;HOLLANDE;François;300;37.04;42.98;M;SARKOZY;Nicolas;398;49.14;57.02;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;84;Fleurie;987;141;14.29;846;85.71;64;6.48;7.57;782;79.23;92.43;M;HOLLANDE;François;228;23.1;29.16;M;SARKOZY;Nicolas;554;56.13;70.84;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;85;Fleurieu-sur-Saône;975;108;11.08;867;88.92;31;3.18;3.58;836;85.74;96.42;M;HOLLANDE;François;286;29.33;34.21;M;SARKOZY;Nicolas;550;56.41;65.79;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;86;Fleurieux-sur-l'Arbresle;1755;246;14.02;1509;85.98;90;5.13;5.96;1419;80.85;94.04;M;HOLLANDE;François;604;34.42;42.57;M;SARKOZY;Nicolas;815;46.44;57.43;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;87;Fontaines-Saint-Martin;2110;254;12.04;1856;87.96;60;2.84;3.23;1796;85.12;96.77;M;HOLLANDE;François;711;33.7;39.59;M;SARKOZY;Nicolas;1085;51.42;60.41;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;88;Fontaines-sur-Saône;4297;733;17.06;3564;82.94;146;3.4;4.1;3418;79.54;95.9;M;HOLLANDE;François;1456;33.88;42.6;M;SARKOZY;Nicolas;1962;45.66;57.4;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;89;Francheville;8851;1247;14.09;7604;85.91;325;3.67;4.27;7279;82.24;95.73;M;HOLLANDE;François;3325;37.57;45.68;M;SARKOZY;Nicolas;3954;44.67;54.32;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;90;Frontenas;591;78;13.2;513;86.8;22;3.72;4.29;491;83.08;95.71;M;HOLLANDE;François;190;32.15;38.7;M;SARKOZY;Nicolas;301;50.93;61.3;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;91;Givors;10858;2815;25.93;8043;74.07;418;3.85;5.2;7625;70.22;94.8;M;HOLLANDE;François;5141;47.35;67.42;M;SARKOZY;Nicolas;2484;22.88;32.58;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;92;Gleizé;5343;1065;19.93;4278;80.07;252;4.72;5.89;4026;75.35;94.11;M;HOLLANDE;François;1804;33.76;44.81;M;SARKOZY;Nicolas;2222;41.59;55.19;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;93;Grandris;818;152;18.58;666;81.42;27;3.3;4.05;639;78.12;95.95;M;HOLLANDE;François;252;30.81;39.44;M;SARKOZY;Nicolas;387;47.31;60.56;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;94;Grézieu-la-Varenne;3630;521;14.35;3109;85.65;147;4.05;4.73;2962;81.6;95.27;M;HOLLANDE;François;1164;32.07;39.3;M;SARKOZY;Nicolas;1798;49.53;60.7;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;95;Grézieu-le-Marché;595;69;11.6;526;88.4;54;9.08;10.27;472;79.33;89.73;M;HOLLANDE;François;174;29.24;36.86;M;SARKOZY;Nicolas;298;50.08;63.14;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;96;Grigny;5803;1387;23.9;4416;76.1;253;4.36;5.73;4163;71.74;94.27;M;HOLLANDE;François;2564;44.18;61.59;M;SARKOZY;Nicolas;1599;27.55;38.41;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;97;Les Haies;590;86;14.58;504;85.42;37;6.27;7.34;467;79.15;92.66;M;HOLLANDE;François;227;38.47;48.61;M;SARKOZY;Nicolas;240;40.68;51.39;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;98;Les Halles;321;55;17.13;266;82.87;16;4.98;6.02;250;77.88;93.98;M;HOLLANDE;François;95;29.6;38;M;SARKOZY;Nicolas;155;48.29;62;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;99;Haute-Rivoire;954;139;14.57;815;85.43;55;5.77;6.75;760;79.66;93.25;M;HOLLANDE;François;307;32.18;40.39;M;SARKOZY;Nicolas;453;47.48;59.61;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;100;Irigny;5948;909;15.28;5039;84.72;286;4.81;5.68;4753;79.91;94.32;M;HOLLANDE;François;2382;40.05;50.12;M;SARKOZY;Nicolas;2371;39.86;49.88;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;101;Jarnioux;475;64;13.47;411;86.53;17;3.58;4.14;394;82.95;95.86;M;HOLLANDE;François;172;36.21;43.65;M;SARKOZY;Nicolas;222;46.74;56.35;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;102;Joux;498;82;16.47;416;83.53;34;6.83;8.17;382;76.71;91.83;M;HOLLANDE;François;167;33.53;43.72;M;SARKOZY;Nicolas;215;43.17;56.28;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;103;Juliénas;706;80;11.33;626;88.67;43;6.09;6.87;583;82.58;93.13;M;HOLLANDE;François;215;30.45;36.88;M;SARKOZY;Nicolas;368;52.12;63.12;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;104;Jullié;322;64;19.88;258;80.12;20;6.21;7.75;238;73.91;92.25;M;HOLLANDE;François;86;26.71;36.13;M;SARKOZY;Nicolas;152;47.2;63.87;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;105;Lacenas;709;93;13.12;616;86.88;27;3.81;4.38;589;83.07;95.62;M;HOLLANDE;François;199;28.07;33.79;M;SARKOZY;Nicolas;390;55.01;66.21;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;106;Lachassagne;690;63;9.13;627;90.87;28;4.06;4.47;599;86.81;95.53;M;HOLLANDE;François;184;26.67;30.72;M;SARKOZY;Nicolas;415;60.14;69.28;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;107;Lamure-sur-Azergues;740;134;18.11;606;81.89;28;3.78;4.62;578;78.11;95.38;M;HOLLANDE;François;247;33.38;42.73;M;SARKOZY;Nicolas;331;44.73;57.27;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;108;Lancié;574;85;14.81;489;85.19;37;6.45;7.57;452;78.75;92.43;M;HOLLANDE;François;179;31.18;39.6;M;SARKOZY;Nicolas;273;47.56;60.4;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;109;Lantignié;602;65;10.8;537;89.2;38;6.31;7.08;499;82.89;92.92;M;HOLLANDE;François;173;28.74;34.67;M;SARKOZY;Nicolas;326;54.15;65.33;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;110;Larajasse;1396;189;13.54;1207;86.46;72;5.16;5.97;1135;81.3;94.03;M;HOLLANDE;François;345;24.71;30.4;M;SARKOZY;Nicolas;790;56.59;69.6;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;111;Légny;428;50;11.68;378;88.32;24;5.61;6.35;354;82.71;93.65;M;HOLLANDE;François;163;38.08;46.05;M;SARKOZY;Nicolas;191;44.63;53.95;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;112;Lentilly;4100;664;16.2;3436;83.8;120;2.93;3.49;3316;80.88;96.51;M;HOLLANDE;François;1243;30.32;37.48;M;SARKOZY;Nicolas;2073;50.56;62.52;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;113;Létra;559;76;13.6;483;86.4;27;4.83;5.59;456;81.57;94.41;M;HOLLANDE;François;193;34.53;42.32;M;SARKOZY;Nicolas;263;47.05;57.68;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;114;Liergues;1327;176;13.26;1151;86.74;69;5.2;5.99;1082;81.54;94.01;M;HOLLANDE;François;345;26;31.89;M;SARKOZY;Nicolas;737;55.54;68.11;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;115;Limas;3151;488;15.49;2663;84.51;143;4.54;5.37;2520;79.97;94.63;M;HOLLANDE;François;978;31.04;38.81;M;SARKOZY;Nicolas;1542;48.94;61.19;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;116;Limonest;2311;230;9.95;2081;90.05;74;3.2;3.56;2007;86.85;96.44;M;HOLLANDE;François;541;23.41;26.96;M;SARKOZY;Nicolas;1466;63.44;73.04;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;117;Lissieu;2437;304;12.47;2133;87.53;77;3.16;3.61;2056;84.37;96.39;M;HOLLANDE;François;612;25.11;29.77;M;SARKOZY;Nicolas;1444;59.25;70.23;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;118;Loire-sur-Rhône;1741;261;14.99;1480;85.01;85;4.88;5.74;1395;80.13;94.26;M;HOLLANDE;François;563;32.34;40.36;M;SARKOZY;Nicolas;832;47.79;59.64;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;119;Longes;727;129;17.74;598;82.26;58;7.98;9.7;540;74.28;90.3;M;HOLLANDE;François;221;30.4;40.93;M;SARKOZY;Nicolas;319;43.88;59.07;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;120;Longessaigne;454;56;12.33;398;87.67;27;5.95;6.78;371;81.72;93.22;M;HOLLANDE;François;128;28.19;34.5;M;SARKOZY;Nicolas;243;53.52;65.5;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;121;Lozanne;1719;248;14.43;1471;85.57;95;5.53;6.46;1376;80.05;93.54;M;HOLLANDE;François;512;29.78;37.21;M;SARKOZY;Nicolas;864;50.26;62.79;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;122;Lucenay;1268;157;12.38;1111;87.62;44;3.47;3.96;1067;84.15;96.04;M;HOLLANDE;François;321;25.32;30.08;M;SARKOZY;Nicolas;746;58.83;69.92;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;123;Lyon;292719;61375;20.97;231344;79.03;9034;3.09;3.91;222310;75.95;96.09;M;HOLLANDE;François;118089;40.34;53.12;M;SARKOZY;Nicolas;104221;35.6;46.88;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;124;Marchampt;366;60;16.39;306;83.61;23;6.28;7.52;283;77.32;92.48;M;HOLLANDE;François;111;30.33;39.22;M;SARKOZY;Nicolas;172;46.99;60.78;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;125;Marcilly-d'Azergues;689;70;10.16;619;89.84;29;4.21;4.68;590;85.63;95.32;M;HOLLANDE;François;182;26.42;30.85;M;SARKOZY;Nicolas;408;59.22;69.15;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;126;Marcy;534;58;10.86;476;89.14;20;3.75;4.2;456;85.39;95.8;M;HOLLANDE;François;132;24.72;28.95;M;SARKOZY;Nicolas;324;60.67;71.05;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;127;Marcy-l'Etoile;2220;287;12.93;1933;87.07;76;3.42;3.93;1857;83.65;96.07;M;HOLLANDE;François;748;33.69;40.28;M;SARKOZY;Nicolas;1109;49.95;59.72;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;128;Mardore;415;55;13.25;360;86.75;21;5.06;5.83;339;81.69;94.17;M;HOLLANDE;François;136;32.77;40.12;M;SARKOZY;Nicolas;203;48.92;59.88;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;129;Marnand;467;70;14.99;397;85.01;35;7.49;8.82;362;77.52;91.18;M;HOLLANDE;François;115;24.63;31.77;M;SARKOZY;Nicolas;247;52.89;68.23;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;130;Meaux-la-Montagne;187;31;16.58;156;83.42;12;6.42;7.69;144;77.01;92.31;M;HOLLANDE;François;56;29.95;38.89;M;SARKOZY;Nicolas;88;47.06;61.11;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;131;Messimy;2362;278;11.77;2084;88.23;105;4.45;5.04;1979;83.78;94.96;M;HOLLANDE;François;738;31.24;37.29;M;SARKOZY;Nicolas;1241;52.54;62.71;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;132;Meys;588;75;12.76;513;87.24;30;5.1;5.85;483;82.14;94.15;M;HOLLANDE;François;149;25.34;30.85;M;SARKOZY;Nicolas;334;56.8;69.15;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;133;Millery;2816;317;11.26;2499;88.74;125;4.44;5;2374;84.3;95;M;HOLLANDE;François;987;35.05;41.58;M;SARKOZY;Nicolas;1387;49.25;58.42;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;134;Moiré;161;12;7.45;149;92.55;8;4.97;5.37;141;87.58;94.63;M;HOLLANDE;François;64;39.75;45.39;M;SARKOZY;Nicolas;77;47.83;54.61;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;135;Monsols;601;115;19.13;486;80.87;31;5.16;6.38;455;75.71;93.62;M;HOLLANDE;François;212;35.27;46.59;M;SARKOZY;Nicolas;243;40.43;53.41;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;136;Montagny;1749;212;12.12;1537;87.88;86;4.92;5.6;1451;82.96;94.4;M;HOLLANDE;François;538;30.76;37.08;M;SARKOZY;Nicolas;913;52.2;62.92;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;137;Montmelas-Saint-Sorlin;253;31;12.25;222;87.75;7;2.77;3.15;215;84.98;96.85;M;HOLLANDE;François;100;39.53;46.51;M;SARKOZY;Nicolas;115;45.45;53.49;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;138;Montromant;318;37;11.64;281;88.36;16;5.03;5.69;265;83.33;94.31;M;HOLLANDE;François;113;35.53;42.64;M;SARKOZY;Nicolas;152;47.8;57.36;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;139;Montrottier;1088;186;17.1;902;82.9;79;7.26;8.76;823;75.64;91.24;M;HOLLANDE;François;347;31.89;42.16;M;SARKOZY;Nicolas;476;43.75;57.84;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;140;Morancé;1508;208;13.79;1300;86.21;65;4.31;5;1235;81.9;95;M;HOLLANDE;François;417;27.65;33.77;M;SARKOZY;Nicolas;818;54.24;66.23;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;141;Mornant;3962;456;11.51;3506;88.49;192;4.85;5.48;3314;83.64;94.52;M;HOLLANDE;François;1519;38.34;45.84;M;SARKOZY;Nicolas;1795;45.31;54.16;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;142;La Mulatière;4101;895;21.82;3206;78.18;143;3.49;4.46;3063;74.69;95.54;M;HOLLANDE;François;1542;37.6;50.34;M;SARKOZY;Nicolas;1521;37.09;49.66;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
