Code du département;Libellé du département;Code de la commune;Libellé de la commune;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs et nuls;% BlNuls/Ins;% BlNuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Sexe_1;Nom_1;Prénom_1;Voix_1;% Voix/Ins_1;% Voix/Exp_1;Sexe_2;Nom_2;Prénom_2;Voix_2;% Voix/Ins_2;% Voix/Exp_2;source_sheet_name;extraction_source_url;ingestion_timestamp;source_file_name
69;RHONE;17;Bagnols;568;83;14.61;485;85.39;24;4.23;4.95;461;81.16;95.05;M;HOLLANDE;François;204;35.92;44.25;M;SARKOZY;Nicolas;257;45.25;55.75;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;18;Beaujeu;1220;243;19.92;977;80.08;46;3.77;4.71;931;76.31;95.29;M;HOLLANDE;François;310;25.41;33.3;M;SARKOZY;Nicolas;621;50.9;66.7;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;19;Belleville;4515;961;21.28;3554;78.72;195;4.32;5.49;3359;74.4;94.51;M;HOLLANDE;François;1484;32.87;44.18;M;SARKOZY;Nicolas;1875;41.53;55.82;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;20;Belmont-d'Azergues;463;51;11.02;412;88.98;31;6.7;7.52;381;82.29;92.48;M;HOLLANDE;François;192;41.47;50.39;M;SARKOZY;Nicolas;189;40.82;49.61;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;21;Bessenay;1544;224;14.51;1320;85.49;72;4.66;5.45;1248;80.83;94.55;M;HOLLANDE;François;554;35.88;44.39;M;SARKOZY;Nicolas;694;44.95;55.61;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;22;Bibost;348;45;12.93;303;87.07;12;3.45;3.96;291;83.62;96.04;M;HOLLANDE;François;107;30.75;36.77;M;SARKOZY;Nicolas;184;52.87;63.23;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;23;Blacé;1002;133;13.27;869;86.73;64;6.39;7.36;805;80.34;92.64;M;HOLLANDE;François;213;21.26;26.46;M;SARKOZY;Nicolas;592;59.08;73.54;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;24;Le Bois-d'Oingt;1656;228;13.77;1428;86.23;73;4.41;5.11;1355;81.82;94.89;M;HOLLANDE;François;607;36.65;44.8;M;SARKOZY;Nicolas;748;45.17;55.2;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;25;Bourg-de-Thizy;1762;402;22.81;1360;77.19;94;5.33;6.91;1266;71.85;93.09;M;HOLLANDE;François;567;32.18;44.79;M;SARKOZY;Nicolas;699;39.67;55.21;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;26;Le Breuil;306;36;11.76;270;88.24;14;4.58;5.19;256;83.66;94.81;M;HOLLANDE;François;85;27.78;33.2;M;SARKOZY;Nicolas;171;55.88;66.8;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;27;Brignais;8291;1585;19.12;6706;80.88;335;4.04;5;6371;76.84;95;M;HOLLANDE;François;2970;35.82;46.62;M;SARKOZY;Nicolas;3401;41.02;53.38;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
