CODGEO,NBMENFISC17,NBPERSMENFISC17,MED17,PIMP17,TP6017,TP60AGE117,TP60AGE217,TP60AGE317,TP60AGE417,TP60AGE517,TP60AGE617,TP60TOL117,TP60TOL217,PACT17,PTSA17,PCHO17,PBEN17,PPEN17,PPAT17,PPSOC17,PPFAM17,PPMINI17,PPLOGT17,PIMPOT17,D117,D917,RD17,year,extraction_source_url,ingestion_timestamp,source_file_name
69001,136,383,22610,,,,,,,,,,,,,,,,,,,,,,,,,2017,https://www.insee.fr/fr/statistiques/fichier/4507225/base-filosofi-2017_CSV.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2017
69002,115,242,19550,,,,,,,,,,,,,,,,,,,,,,,,,2017,https://www.insee.fr/fr/statistiques/fichier/4507225/base-filosofi-2017_CSV.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2017
69003,972,2326,23390,61,10,,,,,,,,23,81.8,73.3,3.7,4.8,23.8,9.7,4.5,2.1,1.4,1,-19.8,12500,45230,3.6,2017,https://www.insee.fr/fr/statistiques/fichier/4507225/base-filosofi-2017_CSV.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2017
69004,253,693,25360,,,,,,,,,,,,,,,,,,,,,,,,,2017,https://www.insee.fr/fr/statistiques/fichier/4507225/base-filosofi-2017_CSV.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2017
69005,209,580,25820,,,,,,,,,,,,,,,,,,,,,,,,,2017,https://www.insee.fr/fr/statistiques/fichier/4507225/base-filosofi-2017_CSV.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2017
69006,2095,4621,19180,41,14,,,,,,,,27,62.9,54.5,2.5,5.9,35,9.3,6.7,2.8,2.2,1.7,-13.9,11430,31870,2.8,2017,https://www.insee.fr/fr/statistiques/fichier/4507225/base-filosofi-2017_CSV.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2017
69007,1131,2656,24550,65,,,,,,,,,,79.4,67.5,2,9.9,23.5,14.1,2.6,1.4,0.7,0.5,-19.6,15150,41470,2.7,2017,https://www.insee.fr/fr/statistiques/fichier/4507225/base-filosofi-2017_CSV.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2017
69008,250,688,22710,,,,,,,,,,,,,,,,,,,,,,,,,2017,https://www.insee.fr/fr/statistiques/fichier/4507225/base-filosofi-2017_CSV.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2017
69009,2746,7133,23110,58,8,,,,,,,,17,82.4,75.8,2.7,3.9,21.4,7.9,4.5,2.5,1.1,0.9,-16.2,13650,37930,2.8,2017,https://www.insee.fr/fr/statistiques/fichier/4507225/base-filosofi-2017_CSV.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2017
69010,2618,6133,21320,51,14,,,15,,,,,26,75.7,69.8,3.1,2.8,26,6.6,6.5,2.8,2.1,1.6,-14.8,11540,34390,3,2017,https://www.insee.fr/fr/statistiques/fichier/4507225/base-filosofi-2017_CSV.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2017
