CODGEO,NBMENFISC18,NBPERSMENFISC18,MED18,PIMP18,TP6018,TP60AGE118,TP60AGE218,TP60AGE318,TP60AGE418,TP60AGE518,TP60AGE618,TP60TOL118,TP60TOL218,PACT18,PTSA18,PCHO18,PBEN18,PPEN18,PPAT18,PPSOC18,PPFAM18,PPMINI18,PPLOGT18,PIMPOT18,D118,D918,RD18,year,extraction_source_url,ingestion_timestamp,source_file_name
69001,145,399,22520,,,,,,,,,,,,,,,,,,,,,,,,,2018,https://www.insee.fr/fr/statistiques/fichier/5009236/base-cc-filosofi-2018_CSV_geo2021.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2018
69002,110,231,21030,,,,,,,,,,,,,,,,,,,,,,,,,2018,https://www.insee.fr/fr/statistiques/fichier/5009236/base-cc-filosofi-2018_CSV_geo2021.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2018
69003,975,2366,24880,62,10,,,,,,,,,83.4,75.5,3.2,4.7,23.7,10,4.3,2,1.4,0.9,-21.4,12830,44510,3.5,2018,https://www.insee.fr/fr/statistiques/fichier/5009236/base-cc-filosofi-2018_CSV_geo2021.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2018
69004,255,677,25720,,,,,,,,,,,,,,,,,,,,,,,,,2018,https://www.insee.fr/fr/statistiques/fichier/5009236/base-cc-filosofi-2018_CSV_geo2021.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2018
69005,204,572,25350,,,,,,,,,,,,,,,,,,,,,,,,,2018,https://www.insee.fr/fr/statistiques/fichier/5009236/base-cc-filosofi-2018_CSV_geo2021.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2018
69006,2061,4548,19860,42,14,,,20,,,,7,27,63.3,55.4,2.6,5.3,35.6,9,7,2.8,2.5,1.7,-14.9,11890,31600,2.7,2018,https://www.insee.fr/fr/statistiques/fichier/5009236/base-cc-filosofi-2018_CSV_geo2021.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2018
69007,1147,2665,24950,65,,,,,,,,,,81,67.3,1.8,11.9,22.3,14,2.5,1.3,0.7,0.5,-19.8,15470,44480,2.9,2018,https://www.insee.fr/fr/statistiques/fichier/5009236/base-cc-filosofi-2018_CSV_geo2021.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2018
69008,250,667,23150,,,,,,,,,,,,,,,,,,,,,,,,,2018,https://www.insee.fr/fr/statistiques/fichier/5009236/base-cc-filosofi-2018_CSV_geo2021.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2018
69009,2776,7077,23820,58,8,,,,,,,,18,83.2,76.2,2.9,4.1,21.6,8.4,4.6,2.5,1.2,0.9,-17.8,13990,38860,2.8,2018,https://www.insee.fr/fr/statistiques/fichier/5009236/base-cc-filosofi-2018_CSV_geo2021.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2018
69010,2652,6132,21630,50,14,,18,14,,,,,28,76.5,70.9,3,2.6,26.9,6.3,6.2,2.7,2.1,1.4,-15.9,11640,34850,3,2018,https://www.insee.fr/fr/statistiques/fichier/5009236/base-cc-filosofi-2018_CSV_geo2021.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2018
69012,240,602,22240,,,,,,,,,,,,,,,,,,,,,,,,,2018,https://www.insee.fr/fr/statistiques/fichier/5009236/base-cc-filosofi-2018_CSV_geo2021.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2018
69013,1490,3793,24400,59,8,,,,,,,,,77.4,70.7,2.6,4.1,26.8,9.9,3.7,2.1,0.9,0.7,-17.8,14010,38840,2.8,2018,https://www.insee.fr/fr/statistiques/fichier/5009236/base-cc-filosofi-2018_CSV_geo2021.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2018
69014,381,981,22480,,,,,,,,,,,,,,,,,,,,,,,,,2018,https://www.insee.fr/fr/statistiques/fichier/5009236/base-cc-filosofi-2018_CSV_geo2021.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2018
