Code du département;Libellé du département;Code de la commune;Libellé de la commune;Etat saisie;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;N°Panneau_1;Sexe_1;Nom_1;Prénom_1;Voix_1;% Voix/Ins_1;% Voix/Exp_1;N°Panneau_2;Sexe_2;Nom_2;Prénom_2;Voix_2;% Voix/Ins_2;% Voix/Exp_2;extraction_source_url;ingestion_timestamp;source_file_name
69;Rhône;017;Bagnols;Complet;583;115;19.73;468;80.27;24;4.12;5.13;6;1.03;1.28;438;75.13;93.59;1;M;MACRON;Emmanuel;257;44.08;58.68;2;F;LE PEN;Marine;181;31.05;41.32;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;018;Beaujeu;Complet;1298;315;24.27;983;75.73;60;4.62;6.1;10;0.77;1.02;913;70.34;92.88;1;M;MACRON;Emmanuel;449;34.59;49.18;2;F;LE PEN;Marine;464;35.75;50.82;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;019;Belleville-en-Beaujolais;Complet;8451;2506;29.65;5945;70.35;319;3.77;5.37;78;0.92;1.31;5548;65.65;93.32;1;M;MACRON;Emmanuel;2988;35.36;53.86;2;F;LE PEN;Marine;2560;30.29;46.14;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;020;Belmont-d'Azergues;Complet;518;88;16.99;430;83.01;36;6.95;8.37;6;1.16;1.4;388;74.9;90.23;1;M;MACRON;Emmanuel;227;43.82;58.51;2;F;LE PEN;Marine;161;31.08;41.49;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;021;Bessenay;Complet;1676;354;21.12;1322;78.88;93;5.55;7.03;18;1.07;1.36;1211;72.26;91.6;1;M;MACRON;Emmanuel;727;43.38;60.03;2;F;LE PEN;Marine;484;28.88;39.97;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;022;Bibost;Complet;411;80;19.46;331;80.54;19;4.62;5.74;2;0.49;0.6;310;75.43;93.66;1;M;MACRON;Emmanuel;171;41.61;55.16;2;F;LE PEN;Marine;139;33.82;44.84;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;023;Blacé;Complet;1154;203;17.59;951;82.41;57;4.94;5.99;21;1.82;2.21;873;75.65;91.8;1;M;MACRON;Emmanuel;468;40.55;53.61;2;F;LE PEN;Marine;405;35.1;46.39;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;024;Val d'Oingt;Complet;3284;706;21.5;2578;78.5;160;4.87;6.21;45;1.37;1.75;2373;72.26;92.05;1;M;MACRON;Emmanuel;1492;45.43;62.87;2;F;LE PEN;Marine;881;26.83;37.13;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;026;Le Breuil;Complet;372;85;22.85;287;77.15;11;2.96;3.83;4;1.08;1.39;272;73.12;94.77;1;M;MACRON;Emmanuel;142;38.17;52.21;2;F;LE PEN;Marine;130;34.95;47.79;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;027;Brignais;Complet;9156;2428;26.52;6728;73.48;405;4.42;6.02;114;1.25;1.69;6209;67.81;92.29;1;M;MACRON;Emmanuel;4225;46.14;68.05;2;F;LE PEN;Marine;1984;21.67;31.95;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
