CODGEO,NBMENFISC19,NBPERSMENFISC19,MED19,PIMP19,TP6019,TP60AGE119,TP60AGE219,TP60AGE319,TP60AGE419,TP60AGE519,TP60AGE619,TP60TOL119,TP60TOL219,PACT19,PTSA19,PCHO19,PBEN19,PPEN19,PPAT19,PPSOC19,PPFAM19,PPMINI19,PPLOGT19,PIMPOT19,D119,D919,RD19,year,extraction_source_url,ingestion_timestamp,source_file_name
69024,1733,4144,25040,68,6,,,,,,,,,74.6,66.7,2.3,5.6,29.6,10,3.4,1.7,1.2,0.5,-17.6,15080,40290,2.7,2019,https://www.insee.fr/fr/statistiques/fichier/6036907/indic-struct-distrib-revenu-2019-COMMUNES_csv.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2019
69026,177,491,24700,,,,,,,,,,,,,,,,,,,,,,,,,2019,https://www.insee.fr/fr/statistiques/fichier/6036907/indic-struct-distrib-revenu-2019-COMMUNES_csv.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2019
69027,5196,12310,25250,68,9,,11,10,8,,,,19,76.2,69.9,2.4,3.9,27.6,10.6,4.1,1.8,1.5,0.8,-18.5,13640,44270,3.2,2019,https://www.insee.fr/fr/statistiques/fichier/6036907/indic-struct-distrib-revenu-2019-COMMUNES_csv.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2019
69028,2571,6724,28110,74,5,,,,,,,,14,83.5,77.1,2.1,4.3,21.1,14,2.9,1.5,0.9,0.5,-21.5,16040,49720,3.1,2019,https://www.insee.fr/fr/statistiques/fichier/6036907/indic-struct-distrib-revenu-2019-COMMUNES_csv.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2019
69029,16939,39129,20920,59,20,24,25,25,18,13,10,7,33,74.6,67,3.2,4.4,26.9,8.3,7.6,2.8,3,1.8,-17.4,10430,38240,3.7,2019,https://www.insee.fr/fr/statistiques/fichier/6036907/indic-struct-distrib-revenu-2019-COMMUNES_csv.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2019
69030,315,779,22840,,,,,,,,,,,,,,,,,,,,,,,,,2019,https://www.insee.fr/fr/statistiques/fichier/6036907/indic-struct-distrib-revenu-2019-COMMUNES_csv.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2019
69031,520,1406,23810,,,,,,,,,,,,,,,,,,,,,,,,,2019,https://www.insee.fr/fr/statistiques/fichier/6036907/indic-struct-distrib-revenu-2019-COMMUNES_csv.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2019
69032,829,2093,25540,68,,,,,,,,,,83.7,74.3,3,6.4,19.8,10.9,3.1,1.8,0.9,0.4,-17.5,15110,40950,2.7,2019,https://www.insee.fr/fr/statistiques/fichier/6036907/indic-struct-distrib-revenu-2019-COMMUNES_csv.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2019
69033,1047,2872,32200,83,,,,,,,,,,68.4,61.6,1.5,5.3,16.6,36.8,1.4,0.9,0.4,0.1,-23.2,18900,57360,3,2019,https://www.insee.fr/fr/statistiques/fichier/6036907/indic-struct-distrib-revenu-2019-COMMUNES_csv.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2019
69034,19567,41853,25870,70,10,16,13,13,9,6,5,5,20,77.1,68.5,2.7,5.9,27.8,14.2,3.6,1.4,1.4,0.8,-22.7,13090,50900,3.9,2019,https://www.insee.fr/fr/statistiques/fichier/6036907/indic-struct-distrib-revenu-2019-COMMUNES_csv.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2019
