Libellé de la commune;Code du département;Libellé du département;Code de la circonscription;Libellé de la circonscription;Inscrits;Abstentions;Votants;Blancs;Nuls;Exprimés;Voix_1;Voix_2;N°Panneau_1;Sexe_1;Nom_1;Prénom_1;N°Panneau_2;Sexe_2;Nom_2;Prénom_2;% Abs/Ins;% Vot/Ins;% Blancs/Ins;% Blancs/Vot;% Nuls/Ins;% Nuls/Vot;% Exp/Ins;% Exp/Vot;% Voix/Ins_1;% Voix/Exp_1;% Voix/Ins_2;% Voix/Exp_2;extraction_source_url;ingestion_timestamp;source_file_name
Bagnols;69;Rhône;08;8ème circonscription;589.0;116.0;473.0;58.0;4.0;411.0;261.0;150.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;19.69;80.31;9.85;12.26;0.68;0.85;69.78;86.89;44.31;63.5;25.47;36.5;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Beaujeu;69;Rhône;09;9ème circonscription;1331.0;348.0;983.0;122.0;20.0;841.0;465.0;376.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;26.15;73.85;9.17;12.41;1.5;2.03;63.19;85.55;34.94;55.29;28.25;44.71;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Belleville;69;Rhône;09;9ème circonscription;4714.0;1302.0;3412.0;292.0;91.0;3029.0;1814.0;1215.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;27.62;72.38;6.19;8.56;1.93;2.67;64.26;88.77;38.48;59.89;25.77;40.11;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Belmont-d'Azergues;69;Rhône;09;9ème circonscription;494.0;93.0;401.0;36.0;6.0;359.0;243.0;116.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;18.83;81.17;7.29;8.98;1.21;1.5;72.67;89.53;49.19;67.69;23.48;32.31;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Bessenay;69;Rhône;08;8ème circonscription;1632.0;350.0;1282.0;128.0;31.0;1123.0;757.0;366.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;21.45;78.55;7.84;9.98;1.9;2.42;68.81;87.6;46.38;67.41;22.43;32.59;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Bibost;69;Rhône;08;8ème circonscription;377.0;61.0;316.0;41.0;4.0;271.0;159.0;112.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;16.18;83.82;10.88;12.97;1.06;1.27;71.88;85.76;42.18;58.67;29.71;41.33;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Blacé;69;Rhône;09;9ème circonscription;1133.0;197.0;936.0;68.0;19.0;849.0;489.0;360.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;17.39;82.61;6.0;7.26;1.68;2.03;74.93;90.71;43.16;57.6;31.77;42.4;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Brignais;69;Rhône;10;10ème circonscription;8734.0;2313.0;6421.0;551.0;137.0;5733.0;4292.0;1441.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;26.48;73.52;6.31;8.58;1.57;2.13;65.64;89.29;49.14;74.86;16.5;25.14;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Brindas;69;Rhône;10;10ème circonscription;4416.0;783.0;3633.0;336.0;60.0;3237.0;2321.0;916.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;17.73;82.27;7.61;9.25;1.36;1.65;73.3;89.1;52.56;71.7;20.74;28.3;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Bron;69;Rhône;07;7ème circonscription;21956.0;5763.0;16193.0;1167.0;393.0;14633.0;10908.0;3725.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;26.25;73.75;5.32;7.21;1.79;2.43;66.65;90.37;49.68;74.54;16.97;25.46;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
