Libellé de la commune;Code du département;Libellé du département;Code de la circonscription;Libellé de la circonscription;Inscrits;Abstentions;Votants;Blancs;Nuls;Exprimés;Voix_1;Voix_2;N°Panneau_1;Sexe_1;Nom_1;Prénom_1;N°Panneau_2;Sexe_2;Nom_2;Prénom_2;% Abs/Ins;% Vot/Ins;% Blancs/Ins;% Blancs/Vot;% Nuls/Ins;% Nuls/Vot;% Exp/Ins;% Exp/Vot;% Voix/Ins_1;% Voix/Exp_1;% Voix/Ins_2;% Voix/Exp_2;extraction_source_url;ingestion_timestamp;source_file_name
Coise;69;Rhône;10;10ème circonscription;608.0;96.0;512.0;34.0;11.0;467.0;304.0;163.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;15.79;84.21;5.59;6.64;1.81;2.15;76.81;91.21;50.0;65.1;26.81;34.9;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Collonges-au-Mont-d'Or;69;Rhône;05;5ème circonscription;3290.0;657.0;2633.0;201.0;54.0;2378.0;1875.0;503.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;19.97;80.03;6.11;7.63;1.64;2.05;72.28;90.32;56.99;78.85;15.29;21.15;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Colombier-Saugnieu;69;Rhône;13;13ème circonscription;1867.0;384.0;1483.0;118.0;26.0;1339.0;575.0;764.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;20.57;79.43;6.32;7.96;1.39;1.75;71.72;90.29;30.8;42.94;40.92;57.06;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Communay;69;Rhône;11;11ème circonscription;3371.0;672.0;2699.0;239.0;70.0;2390.0;1638.0;752.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;19.93;80.07;7.09;8.86;2.08;2.59;70.9;88.55;48.59;68.54;22.31;31.46;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Condrieu;69;Rhône;11;11ème circonscription;2703.0;644.0;2059.0;199.0;69.0;1791.0;1241.0;550.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;23.83;76.17;7.36;9.66;2.55;3.35;66.26;86.98;45.91;69.29;20.35;30.71;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Corbas;69;Rhône;14;14ème circonscription;7224.0;1646.0;5578.0;458.0;163.0;4957.0;3059.0;1898.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;22.79;77.21;6.34;8.21;2.26;2.92;68.62;88.87;42.34;61.71;26.27;38.29;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Corcelles-en-Beaujolais;69;Rhône;09;9ème circonscription;661.0;113.0;548.0;57.0;18.0;473.0;207.0;266.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;17.1;82.9;8.62;10.4;2.72;3.28;71.56;86.31;31.32;43.76;40.24;56.24;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Cours;69;Rhône;08;8ème circonscription;3288.0;751.0;2537.0;265.0;80.0;2192.0;1203.0;989.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;22.84;77.16;8.06;10.45;2.43;3.15;66.67;86.4;36.59;54.88;30.08;45.12;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Courzieu;69;Rhône;10;10ème circonscription;866.0;168.0;698.0;57.0;21.0;620.0;365.0;255.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;19.4;80.6;6.58;8.17;2.42;3.01;71.59;88.83;42.15;58.87;29.45;41.13;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Couzon-au-Mont-d'Or;69;Rhône;05;5ème circonscription;1782.0;375.0;1407.0;120.0;31.0;1256.0;933.0;323.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;21.04;78.96;6.73;8.53;1.74;2.2;70.48;89.27;52.36;74.28;18.13;25.72;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Craponne;69;Rhône;10;10ème circonscription;7961.0;1721.0;6240.0;507.0;154.0;5579.0;4074.0;1505.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;21.62;78.38;6.37;8.12;1.93;2.47;70.08;89.41;51.17;73.02;18.9;26.98;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Cublize;69;Rhône;08;8ème circonscription;897.0;171.0;726.0;76.0;19.0;631.0;318.0;313.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;19.06;80.94;8.47;10.47;2.12;2.62;70.35;86.91;35.45;50.4;34.89;49.6;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Curis-au-Mont-d'Or;69;Rhône;05;5ème circonscription;840.0;165.0;675.0;53.0;14.0;608.0;468.0;140.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;19.64;80.36;6.31;7.85;1.67;2.07;72.38;90.07;55.71;76.97;16.67;23.03;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Dardilly;69;Rhône;08;8ème circonscription;6487.0;1447.0;5040.0;400.0;112.0;4528.0;3559.0;969.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;22.31;77.69;6.17;7.94;1.73;2.22;69.8;89.84;54.86;78.6;14.94;21.4;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Dareizé;69;Rhône;08;8ème circonscription;370.0;71.0;299.0;47.0;6.0;246.0;155.0;91.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;19.19;80.81;12.7;15.72;1.62;2.01;66.49;82.27;41.89;63.01;24.59;36.99;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Denicé;69;Rhône;09;9ème circonscription;1129.0;175.0;954.0;88.0;15.0;851.0;570.0;281.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;15.5;84.5;7.79;9.22;1.33;1.57;75.38;89.2;50.49;66.98;24.89;33.02;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Dième;69;Rhône;08;8ème circonscription;126.0;21.0;105.0;6.0;0.0;99.0;45.0;54.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;16.67;83.33;4.76;5.71;0.0;0.0;78.57;94.29;35.71;45.45;42.86;54.55;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Dommartin;69;Rhône;08;8ème circonscription;2178.0;395.0;1783.0;166.0;29.0;1588.0;1138.0;450.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;18.14;81.86;7.62;9.31;1.33;1.63;72.91;89.06;52.25;71.66;20.66;28.34;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Dracé;69;Rhône;09;9ème circonscription;686.0;128.0;558.0;49.0;13.0;496.0;203.0;293.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;18.66;81.34;7.14;8.78;1.9;2.33;72.3;88.89;29.59;40.93;42.71;59.07;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Duerne;69;Rhône;10;10ème circonscription;577.0;97.0;480.0;30.0;6.0;444.0;289.0;155.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;16.81;83.19;5.2;6.25;1.04;1.25;76.95;92.5;50.09;65.09;26.86;34.91;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Décines-Charpieu;69;Rhône;13;13ème circonscription;17508.0;5145.0;12363.0;1078.0;287.0;10998.0;6995.0;4003.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;29.39;70.61;6.16;8.72;1.64;2.32;62.82;88.96;39.95;63.6;22.86;36.4;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Echalas;69;Rhône;11;11ème circonscription;1235.0;212.0;1023.0;98.0;18.0;907.0;501.0;406.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;17.17;82.83;7.94;9.58;1.46;1.76;73.44;88.66;40.57;55.24;32.87;44.76;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Ecully;69;Rhône;08;8ème circonscription;13521.0;4254.0;9267.0;755.0;220.0;8292.0;6596.0;1696.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;31.46;68.54;5.58;8.15;1.63;2.37;61.33;89.48;48.78;79.55;12.54;20.45;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Emeringes;69;Rhône;09;9ème circonscription;202.0;31.0;171.0;31.0;1.0;139.0;75.0;64.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;15.35;84.65;15.35;18.13;0.5;0.58;68.81;81.29;37.13;53.96;31.68;46.04;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Eveux;69;Rhône;08;8ème circonscription;852.0;143.0;709.0;59.0;15.0;635.0;460.0;175.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;16.78;83.22;6.92;8.32;1.76;2.12;74.53;89.56;53.99;72.44;20.54;27.56;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Feyzin;69;Rhône;14;14ème circonscription;6214.0;1806.0;4408.0;383.0;107.0;3918.0;2454.0;1464.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;29.06;70.94;6.16;8.69;1.72;2.43;63.05;88.88;39.49;62.63;23.56;37.37;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Fleurie;69;Rhône;09;9ème circonscription;974.0;180.0;794.0;72.0;19.0;703.0;424.0;279.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;18.48;81.52;7.39;9.07;1.95;2.39;72.18;88.54;43.53;60.31;28.64;39.69;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Fleurieu-sur-Saône;69;Rhône;05;5ème circonscription;1034.0;157.0;877.0;84.0;21.0;772.0;591.0;181.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;15.18;84.82;8.12;9.58;2.03;2.39;74.66;88.03;57.16;76.55;17.5;23.45;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Fleurieux-sur-l'Arbresle;69;Rhône;08;8ème circonscription;1808.0;308.0;1500.0;120.0;27.0;1353.0;938.0;415.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;17.04;82.96;6.64;8.0;1.49;1.8;74.83;90.2;51.88;69.33;22.95;30.67;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Fontaines-Saint-Martin;69;Rhône;05;5ème circonscription;2284.0;413.0;1871.0;142.0;22.0;1707.0;1367.0;340.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;18.08;81.92;6.22;7.59;0.96;1.18;74.74;91.23;59.85;80.08;14.89;19.92;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Fontaines-sur-Saône;69;Rhône;05;5ème circonscription;4768.0;1260.0;3508.0;287.0;65.0;3156.0;2280.0;876.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;26.43;73.57;6.02;8.18;1.36;1.85;66.19;89.97;47.82;72.24;18.37;27.76;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Francheville;69;Rhône;12;12ème circonscription;9521.0;1785.0;7736.0;611.0;178.0;6947.0;5525.0;1422.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;18.75;81.25;6.42;7.9;1.87;2.3;72.97;89.8;58.03;79.53;14.94;20.47;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Frontenas;69;Rhône;08;8ème circonscription;640.0;134.0;506.0;49.0;9.0;448.0;280.0;168.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;20.94;79.06;7.66;9.68;1.41;1.78;70.0;88.54;43.75;62.5;26.25;37.5;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Genas;69;Rhône;13;13ème circonscription;10244.0;2250.0;7994.0;615.0;135.0;7244.0;4837.0;2407.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;21.96;78.04;6.0;7.69;1.32;1.69;70.71;90.62;47.22;66.77;23.5;33.23;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Genay;69;Rhône;05;5ème circonscription;3950.0;912.0;3038.0;260.0;52.0;2726.0;1807.0;919.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;23.09;76.91;6.58;8.56;1.32;1.71;69.01;89.73;45.75;66.29;23.27;33.71;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Givors;69;Rhône;11;11ème circonscription;11193.0;4229.0;6964.0;495.0;719.0;5750.0;3928.0;1822.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;37.78;62.22;4.42;7.11;6.42;10.32;51.37;82.57;35.09;68.31;16.28;31.69;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Gleizé;69;Rhône;09;9ème circonscription;5572.0;1570.0;4002.0;351.0;108.0;3543.0;2365.0;1178.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;28.18;71.82;6.3;8.77;1.94;2.7;63.59;88.53;42.44;66.75;21.14;33.25;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Grandris;69;Rhône;08;8ème circonscription;766.0;179.0;587.0;53.0;16.0;518.0;332.0;186.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;23.37;76.63;6.92;9.03;2.09;2.73;67.62;88.25;43.34;64.09;24.28;35.91;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Grigny;69;Rhône;11;11ème circonscription;6025.0;1860.0;4165.0;386.0;154.0;3625.0;2322.0;1303.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;30.87;69.13;6.41;9.27;2.56;3.7;60.17;87.03;38.54;64.06;21.63;35.94;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Grézieu-la-Varenne;69;Rhône;10;10ème circonscription;3981.0;754.0;3227.0;283.0;62.0;2882.0;2014.0;868.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;18.94;81.06;7.11;8.77;1.56;1.92;72.39;89.31;50.59;69.88;21.8;30.12;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Grézieu-le-Marché;69;Rhône;10;10ème circonscription;597.0;101.0;496.0;48.0;15.0;433.0;259.0;174.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;16.92;83.08;8.04;9.68;2.51;3.02;72.53;87.3;43.38;59.82;29.15;40.18;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Haute-Rivoire;69;Rhône;10;10ème circonscription;984.0;196.0;788.0;69.0;16.0;703.0;369.0;334.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;19.92;80.08;7.01;8.76;1.63;2.03;71.44;89.21;37.5;52.49;33.94;47.51;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Irigny;69;Rhône;12;12ème circonscription;6366.0;1477.0;4889.0;453.0;93.0;4343.0;2954.0;1389.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;23.2;76.8;7.12;9.27;1.46;1.9;68.22;88.83;46.4;68.02;21.82;31.98;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Jarnioux;69;Rhône;08;8ème circonscription;495.0;91.0;404.0;25.0;10.0;369.0;258.0;111.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;18.38;81.62;5.05;6.19;2.02;2.48;74.55;91.34;52.12;69.92;22.42;30.08;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Jonage;69;Rhône;13;13ème circonscription;4559.0;933.0;3626.0;299.0;66.0;3261.0;1915.0;1346.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;20.47;79.53;6.56;8.25;1.45;1.82;71.53;89.93;42.0;58.72;29.52;41.28;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Jons;69;Rhône;13;13ème circonscription;1010.0;238.0;772.0;74.0;9.0;689.0;333.0;356.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;23.56;76.44;7.33;9.59;0.89;1.17;68.22;89.25;32.97;48.33;35.25;51.67;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Joux;69;Rhône;08;8ème circonscription;533.0;106.0;427.0;54.0;13.0;360.0;203.0;157.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;19.89;80.11;10.13;12.65;2.44;3.04;67.54;84.31;38.09;56.39;29.46;43.61;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Juliénas;69;Rhône;09;9ème circonscription;712.0;138.0;574.0;58.0;9.0;507.0;343.0;164.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;19.38;80.62;8.15;10.1;1.26;1.57;71.21;88.33;48.17;67.65;23.03;32.35;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Jullié;69;Rhône;09;9ème circonscription;338.0;79.0;259.0;33.0;10.0;216.0;108.0;108.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;23.37;76.63;9.76;12.74;2.96;3.86;63.91;83.4;31.95;50.0;31.95;50.0;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
L'Arbresle;69;Rhône;08;8ème circonscription;4131.0;1022.0;3109.0;276.0;86.0;2747.0;1958.0;789.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;24.74;75.26;6.68;8.88;2.08;2.77;66.5;88.36;47.4;71.28;19.1;28.72;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
La Chapelle-sur-Coise;69;Rhône;10;10ème circonscription;416.0;59.0;357.0;39.0;6.0;312.0;191.0;121.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;14.18;85.82;9.38;10.92;1.44;1.68;75.0;87.39;45.91;61.22;29.09;38.78;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
La Mulatière;69;Rhône;12;12ème circonscription;3947.0;1204.0;2743.0;187.0;64.0;2492.0;1842.0;650.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;30.5;69.5;4.74;6.82;1.62;2.33;63.14;90.85;46.67;73.92;16.47;26.08;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
La Tour-de-Salvagny;69;Rhône;08;8ème circonscription;3201.0;575.0;2626.0;212.0;52.0;2362.0;1831.0;531.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;17.96;82.04;6.62;8.07;1.62;1.98;73.79;89.95;57.2;77.52;16.59;22.48;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Lacenas;69;Rhône;09;9ème circonscription;724.0;103.0;621.0;58.0;16.0;547.0;349.0;198.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;14.23;85.77;8.01;9.34;2.21;2.58;75.55;88.08;48.2;63.8;27.35;36.2;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Lachassagne;69;Rhône;09;9ème circonscription;834.0;115.0;719.0;67.0;13.0;639.0;411.0;228.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;13.79;86.21;8.03;9.32;1.56;1.81;76.62;88.87;49.28;64.32;27.34;35.68;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Lamure-sur-Azergues;69;Rhône;08;8ème circonscription;744.0;155.0;589.0;70.0;10.0;509.0;282.0;227.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;20.83;79.17;9.41;11.88;1.34;1.7;68.41;86.42;37.9;55.4;30.51;44.6;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Lancié;69;Rhône;09;9ème circonscription;675.0;127.0;548.0;49.0;6.0;493.0;279.0;214.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;18.81;81.19;7.26;8.94;0.89;1.09;73.04;89.96;41.33;56.59;31.7;43.41;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Lantignié;69;Rhône;09;9ème circonscription;677.0;140.0;537.0;68.0;16.0;453.0;275.0;178.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;20.68;79.32;10.04;12.66;2.36;2.98;66.91;84.36;40.62;60.71;26.29;39.29;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Larajasse;69;Rhône;10;10ème circonscription;1422.0;302.0;1120.0;84.0;19.0;1017.0;580.0;437.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;21.24;78.76;5.91;7.5;1.34;1.7;71.52;90.8;40.79;57.03;30.73;42.97;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Le Breuil;69;Rhône;08;8ème circonscription;344.0;65.0;279.0;32.0;10.0;237.0;144.0;93.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;18.9;81.1;9.3;11.47;2.91;3.58;68.9;84.95;41.86;60.76;27.03;39.24;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Le Perréon;69;Rhône;09;9ème circonscription;1040.0;167.0;873.0;103.0;23.0;747.0;371.0;376.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;16.06;83.94;9.9;11.8;2.21;2.63;71.83;85.57;35.67;49.67;36.15;50.33;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Lentilly;69;Rhône;08;8ème circonscription;4460.0;923.0;3537.0;279.0;59.0;3199.0;2257.0;942.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;20.7;79.3;6.26;7.89;1.32;1.67;71.73;90.44;50.61;70.55;21.12;29.45;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
