CODGEO,LIBGEO,NBMENFISC16,NBPERSMENFISC16,MED16,PIMP16,TP6016,TP60AGE116,TP60AGE216,TP60AGE316,TP60AGE416,TP60AGE516,TP60AGE616,TP60TOL116,TP60TOL216,PACT16,PTSA16,PCHO16,PBEN16,PPEN16,PPAT16,PPSOC16,PPFAM16,PPMINI16,PPLOGT16,PIMPOT16,D116,D916,RD16,year,extraction_source_url,ingestion_timestamp,source_file_name
69001,Affoux,133,382.5,21615.7142857143,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69002,Aigueperse,118,246,20848.6666666667,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69003,Albigny-sur-Saône,943,2327,23448.2142857143,60,9,,,,,,,,,79.9,72.2,3.3,4.4,23.9,10.8,4.5,2.1,1.3,1.1,-19.1,12754.2307692308,45281.4285714286,3.5503065132449,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69004,Alix,248,677,23805.5,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69005,Ambérieux,209,588,24149.7142857143,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69006,Amplepuis,2119,4725.5,18955.2,40,15,,,,,,,7,27,63.2,54.8,2.8,5.6,34.5,9,6.9,2.9,2.1,1.9,-13.6,11555,31072,2.68905235828646,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69007,Ampuis,1126,2659,24411.5,63,,,,,,,,,,79.2,65.3,2.2,11.7,22.8,14.2,2.5,1.3,0.7,0.5,-18.7,14878.0952380952,40601.3333333333,2.72893355524261,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69008,Ancy,243,671.5,21757.2,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69009,Anse,2657,6886,22729.3333333333,59,7,,,,,,,,16,81.8,75.4,2.8,3.6,22.3,8,4.5,2.5,1,1,-16.6,13545.3333333333,36654.6666666667,2.70607343242445,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69010,L'Arbresle,2601,6150.5,21196.6666666667,53,13,,,16,,,,,26,76.4,70.5,3.3,2.7,25.6,6.9,6.1,2.7,1.8,1.5,-15,11327,33908.0952380952,2.99356363009581,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69012,Les Ardillats,243,626,20935,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69013,Arnas,1434,3765,22978,60,7,,,,,,,,,76.8,70.2,2.7,3.8,26,10.4,3.6,2.3,0.6,0.7,-16.8,13796,38721.9565217391,2.80675242981583,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69014,Aveize,381,976.5,20865.2380952381,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69016,Azolette,49,130,18406.6666666667,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
69017,Bagnols,301,789,24334,,,,,,,,,,,,,,,,,,,,,,,,,2016,https://www.insee.fr/fr/statistiques/fichier/4190004/filosofi-revenu-pauvrete-menage-2016.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2016
