CODGEO,LIBGEO,NBMENFISC15,NBPERSMENFISC15,MED15,PIMP15,TP6015,TP60AGE115,TP60AGE215,TP60AGE315,TP60AGE415,TP60AGE515,TP60AGE615,TP60TOL115,TP60TOL215,PACT15,PTSA15,PCHO15,PBEN15,PPEN15,PPAT15,PPSOC15,PPFAM15,PPMINI15,PPLOGT15,PIMPOT15,D115,D915,RD15,year,extraction_source_url,ingestion_timestamp,source_file_name
69022,Bibost,213,560,21751.25,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69023,Blacé,585,1567.5,24231.7391304348,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69024,Le Bois-d'Oingt,981,2359.5,23365,64,,,,,,,,,,73.2,66.5,2.5,4.1,29.1,10.9,3.6,2,0.9,0.8,-16.8,14255.2380952381,39018.5714285714,2.7371392303581,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69026,Le Breuil,174,493,23343,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69027,Brignais,4617,11455,24050.6451612903,66,8,,11,11,8,,,,19,74.8,68,2.7,4.1,28.3,11.3,3.8,2,0.9,0.9,-18.2,13007.5862068966,41123.2666666667,3.16148330770726,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69028,Brindas,2316,6217,26469.5,73,5,,,,,,,,,81.1,73.6,2.4,5,22.4,14.7,2.6,1.7,0.4,0.5,-20.8,15283.2,47228.6666666667,3.09023415689559,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69029,Bron,16194,38152.5,19808.8888888889,57,20,25,25,25,17,13,8,7,32,72.9,65.2,3.3,4.4,28.1,9.8,6.7,2.8,2,1.9,-17.5,9714,37301.1111111111,3.83993320064969,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69030,Brullioles,330,866,20975.5,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69031,Brussieu,506,1369,22065.2380952381,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69032,Bully,759,1964.5,23265.3333333333,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69033,Cailloux-sur-Fontaines,967,2753.5,29849.3333333333,80,,,,,,,,,,86.3,76.5,2.7,7.1,20.2,14.1,1.9,1.4,0.3,0.2,-22.5,17444.6666666667,49466.6666666667,2.83563266709978,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69034,Caluire-et-Cuire,19118,41991.5,24542,68,9,14,12,12,9,6,,5,18,74.1,65.7,2.8,5.7,29.1,15.2,3.4,1.5,0.9,1,-21.8,12546,48666.8,3.87906902598438,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69035,Cenves,162,383,21895.2380952381,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69036,Cercié,421,1138.5,21518.8,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69037,Chambost-Allières,333,789.5,20819.5,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69038,Chambost-Longessaigne,377,948,19996.6666666667,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69039,Chamelet,292,711,20451.1904761905,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69040,Champagne-au-Mont-d'Or,2490,5667,24776.5,68,9,,,,,,,,18,72.1,64.9,2.9,4.3,30.4,14.1,3.6,1.7,1,0.9,-20.2,12974.7058823529,47780.4761904762,3.6825864588933,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69042,La Chapelle-sur-Coise,209,609,21867.2142857143,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69043,Chaponost,3419,8960.5,28070,75,5,,,,,,,,14,77.3,69,2.4,5.8,26.7,14.5,2.5,1.5,0.4,0.5,-21,15007.1428571429,51851.2,3.4551013802951,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
