CODGEO,NBMENFISC21,NBPERSMENFISC21,MED21,PIMP21,TP6021,TP60AGE121,TP60AGE221,TP60AGE321,TP60AGE421,TP60AGE521,TP60AGE621,TP60TOL121,TP60TOL221,PACT21,PTSA21,PCHO21,PBEN21,PPEN21,PPAT21,PPSOC21,PPFAM21,PPMINI21,PPLOGT21,PIMPOT21,D121,D921,RD21,year,extraction_source_url,ingestion_timestamp,source_file_name
69001,138,349,24970,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2021,https://www.insee.fr/fr/statistiques/fichier/7756855/indic-struct-distrib-revenu-2021-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2021
69002,112,227,21290,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2021,https://www.insee.fr/fr/statistiques/fichier/7756855/indic-struct-distrib-revenu-2021-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2021
69003,1085,2568,27080,"65,0","11,0",s,s,s,s,s,s,s,"23,0","83,8","76,4","2,6","4,8","21,9","11,5","3,6","1,5","1,5","0,6","-20,8",13400,47970,"3,6",2021,https://www.insee.fr/fr/statistiques/fichier/7756855/indic-struct-distrib-revenu-2021-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2021
69004,260,699,26980,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2021,https://www.insee.fr/fr/statistiques/fichier/7756855/indic-struct-distrib-revenu-2021-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2021
69005,213,575,25550,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2021,https://www.insee.fr/fr/statistiques/fichier/7756855/indic-struct-distrib-revenu-2021-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2021
69006,2196,4671,21120,"41,0","16,0",s,s,s,s,s,s,"8,0","31,0","63,3","55,3","2,8","5,2","34,1","8,6","7,0","2,5","3,1","1,4","-13,0",12000,33080,"2,8",2021,https://www.insee.fr/fr/statistiques/fichier/7756855/indic-struct-distrib-revenu-2021-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2021
69007,1182,2682,26440,"66,0",s,s,s,s,s,s,s,s,s,"82,4","68,0","2,5","11,9","23,4","13,2","2,5","1,3","0,9","0,3","-21,5",16410,45180,"2,8",2021,https://www.insee.fr/fr/statistiques/fichier/7756855/indic-struct-distrib-revenu-2021-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2021
69008,256,670,25170,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,2021,https://www.insee.fr/fr/statistiques/fichier/7756855/indic-struct-distrib-revenu-2021-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2021
69009,3110,7621,24690,"59,0","10,0",s,"13,0","10,0",s,s,s,s,"21,0","83,0","76,2","3,0","3,8","21,0","7,7","4,9","2,3","1,7","0,9","-16,6",13760,40610,"3,0",2021,https://www.insee.fr/fr/statistiques/fichier/7756855/indic-struct-distrib-revenu-2021-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2021
69010,2808,6272,23450,"55,0","12,0",s,"16,0","13,0",s,s,s,s,"25,0","77,2","71,6","3,1","2,5","26,0","5,2","6,1","2,4","2,6","1,1","-14,5",12780,36940,"2,9",2021,https://www.insee.fr/fr/statistiques/fichier/7756855/indic-struct-distrib-revenu-2021-COMMUNES_csv.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2021
