CODGEO,LIBGEO,NBMENFISC14,NBPERSMENFISC14,MED14,PIMP14,TP6014,TP60AGE114,TP60AGE214,TP60AGE314,TP60AGE414,TP60AGE514,TP60AGE614,TP60TOL114,TP60TOL214,PRA14,PTSAC14,PBEN14,PPEN14,PPAT14,PPSOC14,PPFAM14,PPMINI14,PPLOGT14,PIMPOT14,D114,D914,RD14,year,extraction_source_url,ingestion_timestamp,source_file_name
69023,Blacé,577,1565.5,23602.6086956522,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69024,Le Bois-d'Oingt,978,2379.5,23156.8,65,,,,,,,,,,72.6,67,5.6,28.7,11.1,3.8,2.2,0.8,0.8,-16.2,13311,38245,2.87318758921193,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69026,Le Breuil,180,498,24046.7857142857,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69027,Brignais,4635,11548,23663.5,70,8,,13,10,,,,,19,74.7,70.6,4.1,28,11.4,3.9,2.1,0.9,0.9,-18,12758.0952380952,40774.6666666667,3.19598387578382,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69028,Brindas,2212,5990,26182.3076923077,76,5,,,,,,,,,80.1,75,5.1,22.7,15.2,2.7,1.9,0.3,0.5,-20.7,14867,46664.5833333333,3.13880294163808,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69029,Bron,15930,37885.5,19565.3333333333,59,19,22,26,25,17,14,8,7,32,72.9,68.5,4.4,28.1,9.6,6.7,2.9,1.9,1.9,-17.3,9575,36942.962962963,3.85827289430423,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69030,Brullioles,336,871.5,20327.2,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69031,Brussieu,495,1345.5,22434.3333333333,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69032,Bully,756,1965.5,22939.5238095238,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69033,Cailloux-sur-Fontaines,939,2670.5,29844,82,,,,,,,,,,86.4,78.3,8.1,19.6,13.8,2,1.5,0.3,0.2,-21.8,16560,50435.3333333333,3.04561191626409,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69034,Caluire-et-Cuire,19120,42060,24108.9473684211,70,10,15,13,12,9,5,,5,19,74.1,68.2,5.9,29.7,14.3,3.5,1.6,0.9,1,-21.6,12385.625,47781.3333333333,3.85780558779499,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69035,Cenves,159,386,21485.9047619048,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69036,Cercié,417,1129.5,21250.9523809524,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69037,Chambost-Allières,336,783,20018,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69038,Chambost-Longessaigne,381,945.5,19844,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69039,Chamelet,283,692,20092.8,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69040,Champagne-au-Mont-d'Or,2479,5689.5,24032.6666666667,69,9,,,,,,,,18,72.7,68.1,4.6,30.5,13.3,3.7,1.8,0.9,1,-20.2,12537.6,47014.6666666667,3.74989365322443,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
