Unnamed: 0;code_insee;nom_standard;nom_sans_pronom;nom_a;nom_de;nom_sans_accent;nom_standard_majuscule;typecom;typecom_texte;reg_code;reg_nom;dep_code;dep_nom;canton_code;canton_nom;epci_code;epci_nom;academie_code;academie_nom;code_postal;codes_postaux;zone_emploi;code_insee_centre_zone_emploi;code_unite_urbaine;nom_unite_urbaine;taille_unite_urbaine;type_commune_unite_urbaine;statut_commune_unite_urbaine;population;superficie_hectare;superficie_km2;densite;altitude_moyenne;altitude_minimale;altitude_maximale;latitude_mairie;longitude_mairie;latitude_centre;longitude_centre;grille_densite;grille_densite_texte;niveau_equipements_services;niveau_equipements_services_texte;gentile;url_wikipedia;url_villedereve;extraction_source_url;ingestion_timestamp;source_file_name
26979;69012;Les Ardillats;Ardillats;aux Ardillats;des Ardillats;les-ardillats;LES ARDILLATS;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6903;Belleville-en-Beaujolais;200067817;CC Saône-Beaujolais;10;Lyon;69430;69430;08434;69264;69000;;0.0;HORS UNITE URBAINE;H;603;2286;23;26.0;583;334.0;1004.0;46.179;4.542;46.189;4.536;7;Rural à habitat très dispersé;0.0;communes non pôle;;https://fr.wikipedia.org/wiki/fr:Les Ardillats;https://villedereve.fr/ville/69012-les-ardillats;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18T14:30:18.054404;liste_communes_france.csv
26980;69013;Arnas;Arnas;à Arnas;d'Arnas;arnas;ARNAS;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6907;Gleizé;200040590;CA Villefranche Beaujolais Saône;10;Lyon;69400;69654, 69656, 69653, 69657, 69659, 69652, 69400, 69655, 69658;08434;69264;00760;Lyon;7.0;UNITE URBAINE;B;4215;1778;18;237.0;191;167.0;264.0;46.024;4.707;46.019;4.711;5;Bourgs ruraux;2.0;centres intermédiaires d'équipements et de services;Arnassiennes, Arnassiens;https://fr.wikipedia.org/wiki/fr:Arnas;https://villedereve.fr/ville/69013-arnas;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18T14:30:18.054404;liste_communes_france.csv
26981;69014;Aveize;Aveize;à Aveize;d'Aveize;aveize;AVEIZE;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6912;Vaugneray;200066587;CC des Monts du Lyonnais;10;Lyon;69610;69610;08428;42218;69000;;0.0;HORS UNITE URBAINE;H;1115;1688;17;66.0;687;426.0;933.0;45.683;4.476;45.679;4.476;6;Rural à habitat dispersé;1.0;centres locaux d'équipements et de services;;https://fr.wikipedia.org/wiki/fr:Aveize;https://villedereve.fr/ville/69014-aveize;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18T14:30:18.054404;liste_communes_france.csv
26982;69016;Azolette;Azolette;à Azolette;d'Azolette;azolette;AZOLETTE;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6911;Thizy-les-Bourgs;200067817;CC Saône-Beaujolais;10;Lyon;69790;69790;08434;69264;69000;;0.0;HORS UNITE URBAINE;H;122;427;4;29.0;581;480.0;650.0;46.193;4.418;46.192;4.413;7;Rural à habitat très dispersé;0.0;communes non pôle;Azolettons;https://fr.wikipedia.org/wiki/fr:Azolette;https://villedereve.fr/ville/69016-azolette;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18T14:30:18.054404;liste_communes_france.csv
26983;69017;Bagnols;Bagnols;à Bagnols;de Bagnols;bagnols;BAGNOLS;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6904;Val d'Oingt;200040574;CC Beaujolais Pierres Dorées;10;Lyon;69620;69620;08421;69123;69301;Val d'Oingt;3.0;UNITE URBAINE;B;752;748;7;101.0;327;240.0;441.0;45.917;4.608;45.909;4.62;6;Rural à habitat dispersé;1.0;centres locaux d'équipements et de services;Bagnolais, Bagnolaises;https://fr.wikipedia.org/wiki/fr:Bagnols (Rhône);https://villedereve.fr/ville/69017-bagnols;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18T14:30:18.054404;liste_communes_france.csv
26984;69018;Beaujeu;Beaujeu;à Beaujeu;de Beaujeu;beaujeu;BEAUJEU;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6903;Belleville-en-Beaujolais;200067817;CC Saône-Beaujolais;10;Lyon;69430;69430;08434;69264;69103;Beaujeu;1.0;UNITE URBAINE;C;2123;1781;18;119.0;512;277.0;880.0;46.154;4.587;46.156;4.584;5;Bourgs ruraux;2.0;centres intermédiaires d'équipements et de services;Beaujolais, Beaujolaises;https://fr.wikipedia.org/wiki/fr:Beaujeu (Rhône);https://villedereve.fr/ville/69018-beaujeu;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18T14:30:18.054404;liste_communes_france.csv
26985;69019;Belleville-en-Beaujolais;Belleville-en-Beaujolais;à Belleville-en-Beaujolais;de Belleville-en-Beaujolais;belleville-en-beaujolais;BELLEVILLE-EN-BEAUJOLAIS;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6903;Belleville-en-Beaujolais;200067817;CC Saône-Beaujolais;10;Lyon;69220;69823, 69822, 69824, 69220;08434;69264;00451;Belleville-en-Beaujolais;4.0;UNITE URBAINE;C;13542;1041;10;1301.0;183;169.0;245.0;46.11;4.745;46.102;4.731;2;Centres urbains intermédiaires;3.0;centres structurants d'équipements et de services;Bellevillois, Bellevilloises;https://fr.wikipedia.org/wiki/fr:Belleville-en-Beaujolais;https://villedereve.fr/ville/69019-belleville-en-beaujolais;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18T14:30:18.054404;liste_communes_france.csv
26986;69020;Belmont-d'Azergues;Belmont-d'Azergues;à Belmont-d'Azergues;de Belmont-d'Azergues;belmont-d-azergues;BELMONT-D'AZERGUES;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6904;Val d'Oingt;200040574;CC Beaujolais Pierres Dorées;10;Lyon;69380;69380;08421;69123;00760;Lyon;7.0;UNITE URBAINE;B;705;154;2;458.0;291;200.0;383.0;45.868;4.67;45.868;4.668;4;Ceintures urbaines;0.0;communes non pôle;Belmontois, Belmontoises;https://fr.wikipedia.org/wiki/fr:Belmont-d'Azergues;https://villedereve.fr/ville/69020-belmont-d-azergues;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18T14:30:18.054404;liste_communes_france.csv
26987;69021;Bessenay;Bessenay;à Bessenay;de Bessenay;bessenay;BESSENAY;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6902;L'Arbresle;246900625;CC du Pays de l'Arbresle (CCPA);10;Lyon;69690;69690, 69595;08421;69123;69000;;0.0;HORS UNITE URBAINE;H;2348;1403;14;167.0;406;254.0;664.0;45.777;4.554;45.774;4.547;5;Bourgs ruraux;2.0;centres intermédiaires d'équipements et de services;;https://fr.wikipedia.org/wiki/fr:Bessenay;https://villedereve.fr/ville/69021-bessenay;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18T14:30:18.054404;liste_communes_france.csv
26988;69022;Bibost;Bibost;à Bibost;de Bibost;bibost;BIBOST;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6902;L'Arbresle;246900625;CC du Pays de l'Arbresle (CCPA);10;Lyon;69690;69690;08421;69123;69000;;0.0;HORS UNITE URBAINE;H;542;531;5;102.0;432;279.0;584.0;45.798;4.547;45.797;4.549;6;Rural à habitat dispersé;0.0;communes non pôle;;https://fr.wikipedia.org/wiki/fr:Bibost;https://villedereve.fr/ville/69022-bibost;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18T14:30:18.054404;liste_communes_france.csv
