id_commune,target_nuance,inscrits_2017_t2,abstentions_2017_t2,votants_2017_t2,blancs_2017_t2,nuls_2017_t2,exprimes_2017_t2,pct_abs_ins_2017_t2,pct_vot_ins_2017_t2,pct_blancs_ins_2017_t2,pct_nuls_ins_2017_t2,inscrits_2017_t1,abstentions_2017_t1,votants_2017_t1,blancs_2017_t1,nuls_2017_t1,exprimes_2017_t1,pct_abs_ins_2017_t1,pct_vot_ins_2017_t1,pct_blancs_ins_2017_t1,pct_nuls_ins_2017_t1,share_nuance_rem_2017_t2,share_nuance_rn_2017_t2,share_nuance_dlf_2017_t1,share_nuance_div_2017_t1,share_nuance_lr_2017_t1,share_nuance_rn_2017_t1,share_nuance_rem_2017_t1,share_nuance_soc_2017_t1,share_nuance_exg_2017_t1,share_nuance_res_2017_t1,share_nuance_fi_2017_t1,insee_pop,insee_log,sec_rate_cambriolages_de_logement,sec_count_cambriolages_de_logement,sec_rate_destructions_et_degradations_volontaires,sec_count_destructions_et_degradations_volontaires,sec_rate_escroqueries_et_fraudes_aux_moyens_de_paiement,sec_count_escroqueries_et_fraudes_aux_moyens_de_paiement,sec_rate_trafic_de_stupefiants,sec_count_trafic_de_stupefiants,sec_rate_usage_de_stupefiants,sec_count_usage_de_stupefiants,sec_rate_usage_de_stupefiants_afd,sec_count_usage_de_stupefiants_afd,sec_rate_violences_physiques_hors_cadre_familial,sec_count_violences_physiques_hors_cadre_familial,sec_rate_violences_physiques_intrafamiliales,sec_count_violences_physiques_intrafamiliales,sec_rate_violences_sexuelles,sec_count_violences_sexuelles,sec_rate_vols_avec_armes,sec_count_vols_avec_armes,sec_rate_vols_d_accessoires_sur_vehicules,sec_count_vols_d_accessoires_sur_vehicules,sec_rate_vols_dans_les_vehicules,sec_count_vols_dans_les_vehicules,sec_rate_vols_de_vehicule,sec_count_vols_de_vehicule,sec_rate_vols_sans_violence_contre_des_personnes,sec_count_vols_sans_violence_contre_des_personnes,sec_rate_vols_violents_sans_arme,sec_count_vols_violents_sans_arme
69012,REM,508.0,84.0,424.0,34.0,11.0,379.0,16.54,83.46,6.69,2.17,508.0,71.0,437.0,14.0,0.0,423.0,13.98,86.02,2.76,0.0,56.46,43.54,6.62,0.48,21.04,29.79,19.39,6.38,1.66,0.47,14.18,616.0,285.0,5.1599952,2.6492537,3.5081804,3.3106061,5.0485131,4.2666667,0.0,0.0,1.306157,3.0299401,0.0,0.0,0.0,0.0,1.9820933,3.0404624,1.0619796,2.4517766,0.0,0.0,1.1839424,2.7266667,0.0,0.0,1.4076726,2.3846154,2.2745888,2.6805556,0.0,0.0
69013,REM,2644.0,592.0,2052.0,166.0,35.0,1851.0,22.39,77.61,6.28,1.32,2644.0,553.0,2091.0,47.0,8.0,2036.0,20.92,79.08,1.78,0.3,57.43,42.57,5.65,0.84,23.77,28.93,20.28,4.81,0.9299999999999999,0.74,14.05,4408.0,1772.0,12.9797562,23.0,9.3012704,41.0,4.9909256,22.0,0.3375502,1.7521368,1.306157,3.0299401,1.7948427,6.2348485,1.4219906,2.721519,4.0834846,18.0,1.0619796,2.4517766,0.1055371,1.046875,2.0417423,9.0,3.6297641,16.0,1.4076726,2.3846154,2.4954628,11.0,0.0,0.0
69014,REM,786.0,139.0,647.0,42.0,11.0,594.0,17.68,82.32,5.34,1.4,786.0,116.0,670.0,5.0,3.0,662.0,14.76,85.24,0.64,0.38,65.15,34.85,12.69,1.3599999999999999,18.28,24.02,21.9,7.25,1.36,0.76,12.39,1108.0,470.0,5.1599952,2.6492537,3.5081804,3.3106061,5.0485131,4.2666667,0.3375502,1.7521368,1.306157,3.0299401,0.0,0.0,0.0,0.0,1.9820933,3.0404624,1.0619796,2.4517766,0.0,0.0,1.1839424,2.7266667,0.0,0.0,1.4076726,2.3846154,2.2745888,2.6805556,0.0,0.0
69016,REM,128.0,30.0,98.0,13.0,2.0,83.0,23.44,76.56,10.16,1.56,128.0,18.0,110.0,5.0,0.0,105.0,14.06,85.94,3.91,0.0,56.63,43.37,11.43,2.86,23.81,27.62,20.0,0.95,1.9,1.9,9.52,122.0,88.0,0.0,0.0,0.0,0.0,5.0485131,4.2666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69017,REM,589.0,116.0,473.0,58.0,4.0,411.0,19.69,80.31,9.85,0.68,589.0,116.0,473.0,7.0,2.0,464.0,19.69,80.31,1.19,0.34,63.5,36.5,7.76,0.65,24.35,21.12,21.55,6.03,2.37,1.51,14.66,758.0,353.0,5.1599952,2.6492537,3.5081804,3.3106061,5.0485131,4.2666667,0.0,0.0,1.306157,3.0299401,1.7948427,6.2348485,0.0,0.0,1.9820933,3.0404624,1.0619796,2.4517766,0.0,0.0,0.0,0.0,0.0,0.0,1.4076726,2.3846154,2.2745888,2.6805556,0.0,0.0
69018,RN,1331.0,348.0,983.0,122.0,20.0,841.0,26.15,73.85,9.17,1.5,1331.0,321.0,1010.0,23.0,4.0,983.0,24.12,75.88,1.73,0.3,55.29,44.71,7.73,0.61,25.64,26.04,21.57,3.76,1.22,1.53,11.9,2103.0,1238.0,5.1599952,2.6492537,7.6081788,16.0,5.0485131,4.2666667,0.3375502,1.7521368,1.306157,3.0299401,0.0,0.0,2.3775559,5.0,7.1326676,15.0,1.0619796,2.4517766,0.0,0.0,1.1839424,2.7266667,1.5184457,2.4964539,1.4076726,2.3846154,2.2745888,2.6805556,0.3546356,1.7640449
69019,RN,4714.0,1302.0,3412.0,292.0,91.0,3029.0,27.62,72.38,6.19,1.93,4720.0,1152.0,3568.0,79.0,29.0,3460.0,24.41,75.59,1.67,0.61,59.89,40.11,6.18,1.3900000000000001,19.71,26.68,22.46,4.83,1.5,0.78,16.47,13767.0,6117.0,7.3568275,45.0,6.8279218,94.0,5.7383598,79.0,0.3375502,1.7521368,1.5253868,21.0,1.7948427,6.2348485,2.6875863,37.0,3.268686,45.0,2.6149488,36.0,0.1055371,1.046875,1.0169245,14.0,2.179124,30.0,1.8885741,26.0,5.8109973,80.0,0.3546356,1.7640449
69020,REM,494.0,93.0,401.0,36.0,6.0,359.0,18.83,81.17,7.29,1.21,494.0,81.0,413.0,7.0,1.0,405.0,16.4,83.6,1.42,0.2,67.69,32.31,1.73,1.48,14.07,23.7,27.41,7.16,2.96,1.23,20.25,717.0,285.0,5.1599952,2.6492537,3.5081804,3.3106061,5.0485131,4.2666667,0.0,0.0,0.0,0.0,0.0,0.0,1.4219906,2.721519,1.9820933,3.0404624,1.0619796,2.4517766,0.0,0.0,1.1839424,2.7266667,1.5184457,2.4964539,1.4076726,2.3846154,2.2745888,2.6805556,0.0,0.0
69021,REM,1632.0,350.0,1282.0,128.0,31.0,1123.0,21.45,78.55,7.84,1.9,1632.0,247.0,1385.0,28.0,11.0,1346.0,15.13,84.87,1.72,0.67,67.41,32.59,7.65,2.6,18.28,19.61,22.44,6.24,1.63,0.89,20.65,2351.0,1137.0,5.1599952,2.6492537,3.8281582,9.0,7.6563165,18.0,0.3375502,1.7521368,1.306157,3.0299401,0.0,0.0,1.4219906,2.721519,3.4028073,8.0,1.0619796,2.4517766,0.0,0.0,1.1839424,2.7266667,1.5184457,2.4964539,1.4076726,2.3846154,2.2745888,2.6805556,0.0,0.0
69022,RN,377.0,61.0,316.0,41.0,4.0,271.0,16.18,83.82,10.88,1.06,377.0,47.0,330.0,9.0,0.0,321.0,12.47,87.53,2.39,0.0,58.67,41.33,8.41,0.9299999999999999,23.99,25.23,18.69,4.67,1.55,1.25,15.26,543.0,263.0,5.1599952,2.6492537,3.5081804,3.3106061,5.0485131,4.2666667,0.0,0.0,0.0,0.0,0.0,0.0,1.4219906,2.721519,1.9820933,3.0404624,1.0619796,2.4517766,0.0,0.0,0.0,0.0,1.5184457,2.4964539,1.4076726,2.3846154,0.0,0.0,0.0,0.0
69023,REM,1133.0,197.0,936.0,68.0,19.0,849.0,17.39,82.61,6.0,1.68,1133.0,177.0,956.0,19.0,1.0,936.0,15.62,84.38,1.68,0.09,57.6,42.4,8.55,0.75,29.27,25.96,20.73,3.42,0.32,1.07,9.94,1692.0,725.0,5.1599952,2.6492537,3.5081804,3.3106061,5.0485131,4.2666667,0.3375502,1.7521368,1.306157,3.0299401,0.0,0.0,1.4219906,2.721519,1.9820933,3.0404624,1.0619796,2.4517766,0.0,0.0,1.1839424,2.7266667,1.5184457,2.4964539,1.4076726,2.3846154,2.2745888,2.6805556,0.0,0.0
69024,REM,3077.0,603.0,2474.0,253.0,42.0,2179.0,19.6,80.4,8.22,1.36,3078.0,514.0,2564.0,40.0,22.0,2502.0,16.7,83.3,1.3,0.71,67.65,32.35,6.2,0.9600000000000001,22.94,20.62,26.62,6.04,1.48,1.16,13.99,4143.0,2000.0,5.1599952,2.6492537,8.6893555,36.0,4.8274197,20.0,0.3375502,1.7521368,1.306157,3.0299401,1.7948427,6.2348485,2.1723389,9.0,1.4482259,6.0,1.0619796,2.4517766,0.0,0.0,1.1839424,2.7266667,1.5184457,2.4964539,1.4076726,2.3846154,5.3101617,22.0,0.0,0.0
69026,REM,344.0,65.0,279.0,32.0,10.0,237.0,18.9,81.1,9.3,2.91,344.0,48.0,296.0,5.0,0.0,291.0,13.95,86.05,1.45,0.0,60.76,39.24,6.53,0.68,30.24,25.77,21.99,3.09,0.69,1.03,9.97,528.0,216.0,5.1599952,2.6492537,3.5081804,3.3106061,5.0485131,4.2666667,0.0,0.0,1.306157,3.0299401,0.0,0.0,1.4219906,2.721519,1.9820933,3.0404624,0.0,0.0,0.0,0.0,1.1839424,2.7266667,0.0,0.0,0.0,0.0,2.2745888,2.6805556,0.0,0.0
69027,REM,8734.0,2313.0,6421.0,551.0,137.0,5733.0,26.48,73.52,6.31,1.57,8807.0,2116.0,6691.0,109.0,40.0,6542.0,24.03,75.97,1.24,0.45,74.86,25.14,5.0,1.2100000000000002,24.27,16.08,28.11,5.44,1.51,0.69,17.69,12330.0,5713.0,10.3272511,59.0,6.6504461,82.0,6.4882401,80.0,0.3375502,1.7521368,2.919708,36.0,1.7948427,6.2348485,2.351987,29.0,3.487429,43.0,1.459854,18.0,0.0,0.0,2.189781,27.0,3.568532,44.0,4.05515,50.0,6.8937551,85.0,0.3546356,1.7640449
69028,REM,4416.0,783.0,3633.0,336.0,60.0,3237.0,17.73,82.27,7.61,1.36,4416.0,662.0,3754.0,56.0,15.0,3683.0,14.99,85.01,1.27,0.34,71.7,28.3,4.64,1.41,29.24,16.43,27.26,5.27,0.84,0.71,14.2,6718.0,2814.0,17.4104233,49.0,4.0190533,27.0,5.6564454,38.0,0.3375502,1.7521368,1.306157,3.0299401,1.7948427,6.2348485,1.4219906,2.721519,1.4885383,10.0,1.0619796,2.4517766,0.0,0.0,1.1839424,2.7266667,1.0419768,7.0,2.6793689,18.0,2.6793689,18.0,0.3546356,1.7640449
69029,FI,21956.0,5763.0,16193.0,1167.0,393.0,14633.0,26.25,73.75,5.32,1.79,21948.0,5088.0,16860.0,208.0,67.0,16585.0,23.18,76.82,0.95,0.31,74.54,25.46,4.2,1.48,19.22,16.18,26.87,7.7,1.32,0.8,22.22,42850.0,19831.0,11.7995221,234.0,9.9883314,428.0,7.7712952,333.0,0.9801634,42.0,3.5239207,151.0,2.3570595,101.0,3.7339557,160.0,3.5239207,151.0,1.7502917,75.0,0.2333722,10.0,3.6406068,156.0,9.4749125,406.0,3.0805134,132.0,11.1318553,477.0,1.5869312,68.0
